"building_id","borough","certification_class","of_carriers","coax_cable_connections","fiber_connection","satellite_fixed_wireless_connection","fiber_distribution","isps_1","multiple_points_of_entry","designated_telecom_utility_space","additional_telecom_space","riser_space_for_current_providers","riser_space_for_additional_providers","diverse_riser_locations","signed_poes","agreements","new_service_providers","isps_2"
"building_120","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon,Cogent,Abovenet"
"building_121","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon,Cogent,Abovenet"
"building_122","Manhattan","Silver","3","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon"
"building_123","Manhattan","Silver","4","Yes","Yes","No","Partial Distribution (some floors)","4","No","Dedicated room","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Abovenet,RGTS,Time Warner Cable,Verizon"
"building_124","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Yes","Yes - for installed connections","Yes","Yes","RGTS,Time Warner Cable,Verizon,Cogent,Abovenet"
"building_125","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_126","Bronx","Connected","2","Yes","Yes","No","Partial Distribution (some floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_127","Queens","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_128","Staten Island","Not certified","1","Yes","No","No","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_129","Queens","Connected","2","Yes","Yes","Yes","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_130","Bronx","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_131","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_132","Staten Island","Connected","1","Yes","Yes","No","Full Distribution (all floors)","1","No","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_133","Manhattan","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_134","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_135","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_136","Brooklyn","Not certified","1","Yes","No","No","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_137","Bronx","Not certified","2","Yes","No","No","No Distribution","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_138","Brooklyn","Not certified","1","Yes","Yes","No","Partial Distribution (some floors)","1","No","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","None available","No","Yes",
"building_139","Brooklyn","Silver","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_140","Manhattan","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_141","Brooklyn","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_142","Brooklyn","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_143","Manhattan","Not certified","1","Yes","No","No","No Distribution","2","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_144","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_145","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_146","Manhattan","Connected","1","Yes","Yes","No","Full Distribution (all floors)","1","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_147","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_148","Queens","Not certified","1","Yes","No","No","No Distribution","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_149","Bronx","Not certified","1","Yes","Yes","No","Partial Distribution (some floors)","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_150","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_151","Brooklyn","Connected","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_152","Brooklyn","Not certified","1","Yes","No","No","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_153","Manhattan","Connected","4","Yes","Yes","No","Full Distribution (all floors)","4","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_154","Bronx","Connected","4","Yes","Yes","No","Full Distribution (all floors)","4","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_155","Bronx","Connected","4","Yes","Yes","No","Full Distribution (all floors)","4","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes",,
"building_156","Staten Island","Not certified","1","Yes","No","No","No Distribution","1","Combination of open"," shared"," and dedicated  space","No","Current Providers","No","Yes","Does not have two or more diverse riser locations","None available","No"
"building_157","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_158","Brooklyn","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_159","Queens","Not certified","1","Yes","Yes","No","Partial Distribution (some floors)","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_160","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_161","Staten Island","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_162","Queens","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_163","Manhattan","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_164","Queens","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","Combination of open"," shared"," and dedicated  space","No","Current Providers","No","Yes","Does not have two or more diverse riser locations","None available","No"
"building_165","Brooklyn","Not certified","1","Yes","No","No","No Distribution","2","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_166","Manhattan","Not certified","1","Yes","No","No","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","None available","No","Yes",
"building_167","Bronx","Not certified","1","Yes","No","No","No Distribution","2","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_168","Manhattan","Not certified","1","Yes","Yes","No","Full Distribution (all floors)","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_169","Staten Island","Not certified","1","Yes","No","No","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_170","Staten Island","Not certified","1","Yes","No","No","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_171","Manhattan","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_172","Manhattan","Connected","2","Yes","Yes","No","Full Distribution (all floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_258","Manhattan","Not certified","3","Yes","Yes","Yes","Partial Distribution (some floors)","3","No","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon"
"building_173","Staten Island","Connected","2","Yes","Yes","No","Partial Distribution (some floors)","2","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_174","Manhattan","Connected","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","No","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_175","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Lightower,Cogent,Time Warner Cable,Verizon"
"building_176","Manhattan","Not certified","5 or more","Yes","Yes","No","No Distribution","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Wave 2 Wave,Verizon,Time Warner Cable,Cogent,AT&T"
"building_177","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none,none,none"
"building_178","Manhattan","Platinum","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none"
"building_179","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none,none,none"
"building_180","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none,none"
"building_181","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none,none"
"building_182","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","none,none,none,none"
"building_183","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","3","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none,none"
"building_184","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","none,none,none,none,none,none,none,none,none,none,none,none,none,none"
"building_185","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","Yes","none,none,none,none"
"building_186","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon FIOS,Verizon,Time Warner Cable,Lightower"
"building_187","Manhattan","Not certified",,"No","No","No",,,,,,"No","No",,,,,
"building_188","Manhattan","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","4","No","Hallway/Open Space","Yes","Yes","No","Does not have two or more diverse riser locations","None available","Yes","Yes",
"building_189","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Hallway/Open Space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes",
"building_190","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","4","No","Hallway/Open Space","No","Yes","No","Does not have two or more diverse riser locations","None available","Yes","Yes",
"building_191","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","4","No","Hallway/Open Space","Yes","No","Yes","Yes","None available","Yes","Yes",
"building_192","Manhattan","Not certified","1","No","No","Yes","Full Distribution (all floors)","1","No","Combination of open, shared, and dedicated  space","No","Yes","No","Does not have two or more diverse riser locations","None available","No","Yes",
"building_193","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Yes","None available","Yes","Yes","Zayo,XO Communications,Verizon,Time Warner Cable,Sidera,RCN,Lightower,Eureka,Cogent"
"building_194","Manhattan","Not certified","1","Yes","No","No","No Distribution","1","Yes","Common (shared) room","Yes","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Verizon"
"building_195","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","No","Yes","Does not have two or more diverse riser locations","None available","No","Yes",
"building_196","Manhattan","Not certified","1","Yes","No","No","No Distribution","1","No","Hallway/Open Space","No","No","No","Does not have two or more diverse riser locations","None available","No","Yes","Verizon"
"building_197","Manhattan","Not certified","1","Yes","No","Yes","No Distribution","1","No","Combination of open, shared, and dedicated  space","No","No","No","Does not have two or more diverse riser locations","None available","No","No capability available","Verizon"
"building_198","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Dedicated room","No","Yes","No","Does not have two or more diverse riser locations","None available","No","Yes","Other,Time Warner Cable,Verizon"
"building_199","Brooklyn","Not certified","2","Yes","Yes","No","Partial Distribution (some floors)","2","Yes","Dedicated room","Yes","No","No","Yes","None available","No","No capability available","Time Warner Cable,Verizon"
"building_200","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","3","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","No capability available","Other,Time Warner Cable,Verizon"
"building_201","Manhattan","Not certified","1","Yes","Yes","No","Partial Distribution (some floors)","4","No","Hallway/Open Space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","XO Communications,Other,Cablevision,Verizon,XO Communications"
"building_204","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Does not have two or more diverse riser locations","None available","No","No capability available","Zayo,RCN,Other,AT&T,Time Warner Cable,Verizon,Cogent,Sidera"
"building_205","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","No","Yes","No","Does not have two or more diverse riser locations","None available","No","Yes","Level(3),AT&T,Lightower,Time Warner Cable,Verizon"
"building_206","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","No capability available","AT&T,Verizon,Other"
"building_207","Manhattan","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","AT&T,Other,Time Warner Cable,Verizon"
"building_208","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable,Cablevision,AT&T"
"building_209","Manhattan","Silver","4","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Combination of open, shared, and dedicated  space","No","Yes","Yes","Yes","None available","No","Yes","Lightower,Time Warner Cable,Verizon"
"building_210","Manhattan","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","No","Common (shared) room","Yes","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Cogent,Cablevision,Other,Time Warner Cable,Verizon"
"building_211","Manhattan","Not certified","4","Yes","Yes","Yes","Partial Distribution (some floors)","2","No","Dedicated room","No","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Other,Time Warner Cable,Cablevision"
"building_212","Manhattan","Silver","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Common (shared) room","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","No","No capability available","Other,Verizon,Time Warner Cable,Cogent,AT&T,Abovenet"
"building_213","Manhattan","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","No capability available","Verizon,TW Telecom,Time Warner Cable,Cogent,Broadview,AT&T"
"building_214","Manhattan","Connected","3","Yes","Yes","No","No Distribution","2","Yes","Combination of open, shared, and dedicated  space","Yes","No","No","Does not have two or more diverse riser locations","None available","Yes","Yes","none"
"building_215","Manhattan","Gold","4","Yes","Yes","No","Full Distribution (all floors)","4","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","No capability available","Verizon,Time Warner Cable,Cogent,AT&T"
"building_216","Manhattan","Silver","4","Yes","Yes","No","Full Distribution (all floors)","3","No","Hallway/Open Space","No","Yes","Yes","Yes","None available","Yes","Yes","XO Communications,Verizon,Time Warner Cable"
"building_217","Manhattan","Silver","5 or more","Yes","Yes","No","Partial Distribution (some floors)","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","Cablevision,AT&T,Time Warner Cable,Verizon"
"building_218","Manhattan","Gold","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","No","Yes","No","Yes","Yes - for installed connections","No","No capability available","Verizon,Time Warner Cable,Lightower,Broadview"
"building_219","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Cogent,Cablevision,AT&T"
"building_220","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","No","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","None available","Yes","No capability available","Other,Time Warner Cable,Verizon"
"building_221","Manhattan","Gold","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","Verizon,Time Warner Cable,Cogent,Broadview"
"building_222","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Cogent,Other,Cablevision,Time Warner Cable,Verizon"
"building_223","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Verizon,Time Warner Cable,Earthlink,Covad,Cogent,Broadview,AT&T"
"building_224","Manhattan","Not certified","4","Yes","Yes","Yes","Partial Distribution (some floors)","4","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","Yes","Yes","Other,Cablevision,Time Warner Cable,Verizon"
"building_225","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","RCN,Time Warner Cable,Lightower,AT&T,Verizon"
"building_226","Manhattan","Gold","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Verizon,Time Warner Cable,Lightower,Cogent,AT&T,Abovenet"
"building_227","Manhattan","Gold","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Common (shared) room","Yes","Yes","Yes","Yes","None available","No","Yes","Other,Verizon,Time Warner Cable,Lightpath,Cablevision,AT&T"
"building_228","Manhattan","Gold","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Broadview,Zayo,Time Warner Cable,Verizon,Cogent,AT&T"
"building_229","Manhattan","Platinum","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Other,Lightower,Level(3),Time Warner Cable,Verizon,Cogent,AT&T"
"building_230","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","XO Communications,Lightpath,Level(3),RCN,Time Warner Cable,Verizon,Cogent,Abovenet"
"building_231","Manhattan","Not certified","5 or more","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Sprint,MCI,Dynalink,Lightpath,Time Warner Cable,Verizon,Cogent,Avaya"
"building_232","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","RCN,Time Warner Cable,Verizon"
"building_233","Manhattan","Not certified","3","Yes","Yes","Yes","Partial Distribution (some floors)","2","Yes","Dedicated room","Yes","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Time Warner Cable,Verizon"
"building_234","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","2","Yes","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","Lightpath,Verizon"
"building_235","Manhattan","Not certified","5 or more","Yes","Yes","Yes","Full Distribution (all floors)","5 or more","No","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","RCN,Abovenet"
"building_236","Manhattan","Not certified","2","Yes","No","No","No Distribution","2","No","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","Time Warner Cable,Verizon"
"building_237","Manhattan","Not certified","3","Yes","Yes","No","Partial Distribution (some floors)","5 or more","Yes","Hallway/Open Space","Yes","Yes","No","Yes","Yes - for installed connections","No","Yes","Broadview,XO Communications,Signal Point,Towerstream,Time Warner Cable,Verizon,Covad"
"building_238","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Yes","Yes - for installed connections","No","Yes","TW Telecom,AT&T,Time Warner Cable,Verizon"
"building_239","Manhattan","Not certified","2","Yes","No","No","No Distribution","2","Yes","Hallway/Open Space","No","Yes","No","Does not have two or more diverse riser locations","None available","No","No capability available","Time Warner Cable,Verizon"
"building_240","Manhattan","Not certified","4","Yes","No","No","No Distribution","3","Yes","Hallway/Open Space","No","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","No","No capability available","Eureka,Time Warner Cable,Verizon"
"building_241","Manhattan","Not certified","3","Yes","Yes","No","No Distribution","3","No","Combination of open, shared, and dedicated  space","Yes","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Wave 2 Wave,Verizon,Cogent"
"building_242","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","4","Yes","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Everest Broadband,Time Warner Cable,Verizon,Cogent"
"building_243","Manhattan","Not certified","4","Yes","Yes","No","No Distribution","3","Yes","Combination of open, shared, and dedicated  space","Yes","Yes","No","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Verizon FIOS,Verizon,Time Warner Cable,Lightower"
"building_244","Manhattan","Not certified","3","Yes","Yes","No","Full Distribution (all floors)","3","No","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","No","Yes","Verizon FIOS,Verizon,Time Warner Cable,Eureka"
"building_245","Manhattan","Not certified","5 or more","Yes","Yes","No","No Distribution","3","No","Hallway/Open Space","No","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","No","Yes","Verizon FIOS,Verizon,Time Warner Cable,Lightpath"
"building_246","Manhattan","Connected","1","No","Yes","No","Full Distribution (all floors)","1","No","Dedicated room","Yes","Yes","Yes","Does not have two or more diverse riser locations","None available","No","Yes","none"
"building_247","Manhattan","Silver","3","Yes","Yes","Yes","No Distribution","4","Yes","Common (shared) room","Yes","Yes","Yes","Yes","None available","No","Yes","Towerstream,Verizon,Cogent"
"building_248","Manhattan","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","4","Yes","Common (shared) room","Yes","Yes","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes","Cogent,TW Telecom,Verizon,Other"
"building_249","Manhattan","Not certified","4","Yes","Yes","No","Partial Distribution (some floors)","4","No","Dedicated room","Yes","Yes","Yes","Yes","Yes - for installed connections","Yes","Yes","XO Communications,Time Warner Cable,Verizon,AT&T,Zayo"
"building_250","Manhattan","Not certified","2","Yes","Yes","No","Full Distribution (all floors)","2","Yes","Combination of open, shared, and dedicated  space","Yes","No","Yes","Yes","Yes - for installed connections","Yes","Yes",
"building_251","Manhattan","Not certified","5 or more","Yes","Yes","No","Full Distribution (all floors)","5 or more","Yes","Dedicated room","Yes","No","Yes","Does not have two or more diverse riser locations","Yes - for installed connections","Yes","Yes",
