"maprojid","magency","projectid","descriptio","ccnonexemp","ccexempt","totalcityp","nccstate","nccfederal","nccother","totalnonci","totalplann","totalspend","maxdate","mindate","magencyacr","magencynam","typecatego","ccpversion","the_geom"
"850E12-0043","850","E12-0043","NYPD 84th Precinct - EE Upgrade","253000","0.0","253000","0.0","0.0","0.0","0.0","253000","2650302.74","2024-06-01T00:00:00.000","2015-05-11T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.98281989559707 40.69545418721162), (-73.90153179593709 40.67258002891899))"
"850E14-0010","850","E14-0010","DCAS - QUEENS SUPREME COURT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","97352.69","2023-06-01T00:00:00.000","2016-09-21T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.80840698793601 40.70449353463963))"
"850E16-0002","850","E16-0002","DCAS - Queens Civil Court","796000","0.0","796000","0.0","0.0","0.0","0.0","796000","277497.06","2025-06-01T00:00:00.000","2017-11-27T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.80800213892982 40.70348150112518))"
"850E16-0003","850","E16-0003","DCAS - Manhattan Civil Court","808000","0.0","808000","0.0","0.0","0.0","0.0","808000","293526.08","2025-06-01T00:00:00.000","2017-11-14T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00142952556227 40.71681442588073))"
"850E16-0004","850","E16-0004","DSNY - Queens  7  District Garage Annex","74000","0.0","74000","0.0","0.0","0.0","0.0","74000","1012866.21","2025-06-01T00:00:00.000","2017-08-21T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.84606927683274 40.770069634669454))"
"850E16-0005","850","E16-0005","DSNY -Manhattan 3 District Garage","85000","0.0","85000","0.0","0.0","0.0","0.0","85000","983991.58","2025-06-01T00:00:00.000","2017-08-24T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9862586763402 40.709637674886814))"
"850EP06-MAR1","850","EP06-MAR1","RENOVATE BLDG FOR RELOC OF BWSO NITE-OPS UNIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","62192.0","2023-06-01T00:00:00.000","2010-02-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.92857445654953 40.713797653694414))"
"850EP06-REM","850","EP06-REM","REMSEN YARD RECONSTRUCTION","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34526207.46","2023-06-01T00:00:00.000","2010-02-09T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.91286976622702 40.6470785323159), (-73.91226252843455 40.6475086264416))"
"850EP06-SLVR","850","EP06-SLVR","Silver Lake Roof Replacement","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2023-06-01T00:00:00.000","2023-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.09605029035701 40.62675756743779))"
"850EP6-KENT2","850","EP6-KENT2","356 FLUSING, BUILDING REPAIR/UPGRADE","632000","0.0","632000","0.0","0.0","0.0","0.0","632000","29756853.32","2023-06-01T00:00:00.000","2010-02-26T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.96056404056442 40.698069969991906))"
"850HH112BLEN","850","HH112BLEN","Bellevue Auditorium Structural Reconstruction","8284000","0.0","8284000","0.0","0.0","0.0","0.0","8284000","0.0","2029-06-01T00:00:00.000","2022-08-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.97465134889727 40.74055359717101))"
"850HH112CGIU","850","HH112CGIU","Keener Assessment Shelter - Fire Alarm Upgrade","23000","0.0","23000","0.0","0.0","0.0","0.0","23000","47075.74","2026-06-01T00:00:00.000","2018-07-23T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.93190362364308 40.78436704142062))"
"850HHDNWOMAN","850","HHDNWOMAN","Women In Need, Inc. - I/O","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2026-06-01T00:00:00.000","2026-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.90349448021881 40.672786825864314))"
"850HL82ARCH","850","HL82ARCH","CATHOLIC MANAGED LONG TERM CARE, INC.- RICHMONE NURSING HOME","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2032-06-01T00:00:00.000","2032-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.94603560773405 40.8018092496736))"
"850HLDNINCUB","850","HLDNINCUB","Maimonides Medical Center-Neonatal Transport Incubator","215000","0.0","215000","0.0","0.0","0.0","0.0","215000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.99895246526438 40.639670554243246))"
"850HLDNICLTL","850","HLDNICLTL","Institute for Community Living, Inc-Technology Upgrades","44000","0.0","44000","0.0","0.0","0.0","0.0","44000","0.0","2026-06-01T00:00:00.000","2026-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-74.01051362970301 40.70232212887594))"
"850HLDNICLBR","850","HLDNICLBR","Institute for Community Living, Inc-Technology Upgrades","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2026-06-01T00:00:00.000","2026-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-74.01051362970301 40.70232212887594))"
"81921200603","819","21200603","JACOBI:  CENTRALIZE REPRODUCTIVE HEALTH SERVICES","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","461439.63","2024-06-01T00:00:00.000","2010-01-27T00:00:00.000","HHC","Health and Hospitals Corporation","Lump Sum","fisa_2023","MULTIPOINT ((-73.84531000852884 40.85567822135916))"
"850HLKNBPZMC","850","HLKNBPZMC","Brooklyn Plaza Medical Center, Inc.- I/O","1000000","0.0","1000000","0.0","0.0","0.0","0.0","1000000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DDC","Department of Design and Construction","Lump Sum","fisa_2023","MULTIPOINT ((-73.97617552673061 40.68673096381753))"
"81922200801","819","22200801","ENY RENOVATE THIRD FLOOR CLINICAL AREAS","64000","0.0","64000","0.0","0.0","0.0","0.0","64000","1856974.96","2033-04-01T00:00:00.000","2010-09-13T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89521788547829 40.67172681238535))"
"850HLQDNSMHS","850","HLQDNSMHS","St Mary's Hospital for Children-CSM Medication Dispensers","496000","0.0","496000","0.0","0.0","0.0","0.0","496000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.76851157618012 40.77655058728606))"
"850HLMNTOUCH","850","HLMNTOUCH","Upper Manhattan Mental Health Center","58000","0.0","58000","0.0","0.0","0.0","0.0","58000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94691879879089 40.82537329915039))"
"850HLQNAPICH","850","HLQNAPICH","APICHA COMMUNITY HEALTH CENTER: OUTFITTING OF CLINICAL EXAM","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2027-06-01T00:00:00.000","2027-06-01T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-74.00243113703391 40.71863444244547))"
"81925201401","819","25201401","LINCOLN: RENOVATE ADOLESCENT CLINIC","1246000","0.0","1246000","0.0","0.0","0.0","0.0","1246000","1951.85","2032-06-01T00:00:00.000","2017-10-17T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.92447705599831 40.816749376665754))"
"850HRQN942","850","HRQN942","Emerald Isle immigration Center","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35122.0","2033-06-01T00:00:00.000","2019-09-16T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.90469375326826 40.744905072372035))"
"81926201101","819","26201101","GOTHAM: CONSTRUCT VANDERBILT AVENUE HEALTH CENTER AT S.I.","4134000","0.0","4134000","0.0","0.0","0.0","0.0","4134000","20010107.97","2033-05-01T00:00:00.000","2015-10-07T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.96486710327912 40.585637694834844))"
"81926201402","819","26201402","CONEY ADD DEHUMIDICATION & ADD'L COOLING CAPACITY TO THE ORs","36000","0.0","36000","0.0","0.0","0.0","0.0","36000","929340.49","2033-06-01T00:00:00.000","2015-03-03T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.96486710327912 40.585637694834844))"
"81927201201","819","27201201","CUMBERLAND: RENOVATE CHEMICAL DEPENDENCY DEPARTMENT","273000","0.0","273000","0.0","0.0","0.0","0.0","273000","0.0","2032-06-01T00:00:00.000","2032-06-01T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.97683240860405 40.695207057282595))"
"81933201301","819","33201301","ELMHURST RENOVATION OF ADULT ER","30339000","0.0","30339000","0.0","0.0","0.0","0.0","30339000","1316156.25","2026-06-01T00:00:00.000","2016-10-24T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.88563993715752 40.745112705080835))"
"81934201402","819","34201402","QUEENS RENOVATE/EXPAND ADULT EMERGENCY DEPARTMENT","897000","0.0","897000","0.0","0.0","0.0","0.0","897000","4987364.65","2033-06-01T00:00:00.000","2017-05-30T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.80567803959342 40.717728114743736))"
"81934201501","819","34201501","QHC: ENDOSCOPY ROOM CONVERSION","76000","0.0","76000","0.0","0.0","0.0","0.0","76000","0.0","2026-06-01T00:00:00.000","2026-06-01T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.80567803959342 40.717728114743736))"
"81937201301","819","37201301","METROPOLITAN COMPLETE RENOVATION OF SIXTH FLOOR 6C MAIN BLDG","678000","0.0","678000","0.0","0.0","0.0","0.0","678000","208654.0","2024-06-01T00:00:00.000","2017-05-31T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94495883340497 40.78504565874042))"
"81937201401","819","37201401","METROPOLITAN PERIMETER GATE/FENCING & SIGNAGE-LANDSCAPING","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","451324.77","2024-06-01T00:00:00.000","2017-04-12T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94495883340497 40.78504565874042))"
"81937201501","819","37201501","METROPOLITAN COMPREHENSIVE LGBTQ HEALTH CENTER","832000","0.0","832000","0.0","0.0","0.0","0.0","832000","2259290.06","2025-06-01T00:00:00.000","2017-05-31T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94495883340497 40.78504565874042))"
"81942201301","819","42201301","MORRISANIA: RENOVATE DENTAL SUITE","495000","0.0","495000","0.0","0.0","0.0","0.0","495000","0.0","2032-06-01T00:00:00.000","2032-03-01T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.92036395423459 40.836332900031515))"
"81948201402","819","48201402","WOODHULL:  ESTABLISH CPEP","127000","0.0","127000","0.0","0.0","0.0","0.0","127000","1594864.75","2032-05-01T00:00:00.000","2014-09-17T00:00:00.000","HHC","Health and Hospitals Corporation",,"fisa_2023","MULTIPOINT ((-73.94276464557066 40.69947973748775))"
"81948201505","819","48201505","WOODHULL: INSTALL PERMANENT EMERGENCY POWER FEEDER","10000","0.0","10000","0.0","0.0","0.0","0.0","10000","7583597.97","2032-06-01T00:00:00.000","2016-04-06T00:00:00.000","HHC","Health and Hospitals Corporation",,"fisa_2023","MULTIPOINT ((-73.94276464557066 40.69947973748775))"
"819QHC2","819","QHC2","QUEENS CONSTRUCT AN AMBULATORY CARE PAVILION (QHC MAJOR 2)","1142000","0.0","1142000","0.0","0.0","0.0","0.0","1142000","142651.56","2029-06-01T00:00:00.000","2010-07-06T00:00:00.000","HHC","Health and Hospitals Corporation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.80567803959342 40.717728114743736))"
"826GI-NYCHA","826","GI-NYCHA","GI - NYCHA GREEN INFRASTRUCTURE AT EDENWALD HOUSES - NO & SO","0.0","10000","10000","0.0","0.0","0.0","0.0","10000","5808539.02","2024-06-01T00:00:00.000","2017-01-24T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.84526830423682 40.885640067295896))"
"826HED-CROOS","826","HED-CROOS","CROTON FILTRATION PLANT - OFF-SITE FACILITIES","0.0","274000","274000","0.0","0.0","0.0","0.0","274000","132747086.67","2023-06-01T00:00:00.000","2010-01-13T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.8825674778677 40.883015425505356))"
"826HP-238-L","826","HP-238-L","REPLACEMENT OF THE DIGESTER @ THE HUNTS POINT WWTP","0.0","19282000","19282000","0.0","0.0","0.0","0.0","19282000","14513100.64","2030-06-01T00:00:00.000","2016-06-13T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.88297191087457 40.803235377460304))"
"826HP-241-L","826","HP-241-L","RECONSTRUCTION OF THE FINAL SETTLING STYSTEM @ HUNTS POINT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2027-06-01T00:00:00.000","2023-06-01T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.88297191087457 40.803235377460304))"
"826HP-242-L","826","HP-242-L","RECONSTRUCTION OF SEAWALL/SLUDGE LOADING DOCK AT HUNTS POINT","0.0","4000000","4000000","0.0","0.0","0.0","0.0","4000000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.88297191087457 40.803235377460304))"
"826NC-163","826","NC-163","CONSTRUCTION OF  PERIMETER FENCE AT NEWTOWN CREEK WPCP","0.0","6000","6000","0.0","0.0","0.0","0.0","6000","4245575.29","2025-06-01T00:00:00.000","2018-10-09T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94761008646675 40.73362960840792))"
"826TI-166-L","826","TI-166-L","RECONSTRUCTION OF FINAL TANKS AT TALLMAN ISLAND WPCP","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2025-06-01T00:00:00.000","2023-06-01T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.83934034440371 40.79492941743239))"
"826TI-167-L","826","TI-167-L","RECONSTRUCTION OF SEAWALL/DOCK @ TALLMAN ISLAND WPCP","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3485366.28","2028-06-01T00:00:00.000","2018-08-30T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.83934034440371 40.79492941743239))"
"826TI-168-L","826","TI-168-L","HEADWORKS IMPROVEMENTS AT THE TALLMAN ISLAND WPCP","0.0","51976000","51976000","0.0","0.0","0.0","0.0","51976000","1975858.11","2032-06-01T00:00:00.000","2018-08-13T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.83934034440371 40.79492941743239))"
"826TI-169-L","826","TI-169-L","RECONSTRUCT OF THE POWER DISTRIBUTION AT TALLMAN ISLAND WPCP","0.0","61664000","61664000","0.0","0.0","0.0","0.0","61664000","3783181.61","2030-06-01T00:00:00.000","2018-10-15T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.83934034440371 40.79492941743239))"
"826TI-170-L","826","TI-170-L","RECONSTRUCT SLUDGE HANDLING SYSTEM @ TALLMAN ISLAND WWTP","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2026-06-01T00:00:00.000","2023-06-01T00:00:00.000","DEP","Department of Environmental Protection","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89433293885033 40.779765169402225))"
"850LNCA09KIP","850","LNCA09KIP","KIPS BAY - Exterior Rehabilitation","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55137.98","2025-06-01T00:00:00.000","2010-09-08T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.9799155888945 40.743820694240895))"
"850LNCA10AGL","850","LNCA10AGL","AGUILAR - Facade Restoration","759000","0.0","759000","0.0","0.0","0.0","0.0","759000","65574.09","2023-06-01T00:00:00.000","2012-08-07T00:00:00.000","DDC","Department of Design and Construction","Fixed Asset","fisa_2023","MULTIPOINT ((-73.94347759790232 40.794160682793866))"
"850LNXA11WFM","850","LNXA11WFM","WEST FARMS - New Front Entry","615000","0.0","615000","0.0","0.0","0.0","0.0","615000","20088.53","2024-06-01T00:00:00.000","2020-05-15T00:00:00.000","DDC","Department of Design and Construction",,"fisa_2023","MULTIPOINT ((-73.88310161408674 40.84468367108586))"
"827S136-432","827","S136-432","MANHATTAN 44 BEAVER ST REHABILITATION","1748000","0.0","1748000","0.0","0.0","0.0","0.0","1748000","14196.33","2025-05-01T00:00:00.000","2021-11-15T00:00:00.000","DSNY","Department of Sanitation","Fixed Asset","fisa_2023","MULTIPOINT ((-74.01085175300663 40.704969455019345))"
"827S136-433","827","S136-433","Brooklyn 10 Pier /53rd St  Rehab","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2024-06-01T00:00:00.000","2023-05-01T00:00:00.000","DSNY","Department of Sanitation","Fixed Asset","fisa_2023","MULTIPOINT ((-74.02012146808666 40.64995351637384))"
"841BRX287S","841","BRX287S","MACOMBS DAM BRIDGE - REHAB OF FENDER SYSTEM & 155TH VIA","195000","0.0","195000","78000","509000","0.0","587000","782000","59188325.64","2026-06-01T00:00:00.000","2010-08-24T00:00:00.000","DOT","Department of Transportation","Lump Sum","fisa_2023","MULTIPOINT ((-73.93392042548454 40.82810183657809))"
"841HBBA07692","841","HBBA07692","BRUCKNER EXPRESSWAY over CSX - HUNTS POINT 2076929","20656000","0.0","20656000","0.0","0.0","0.0","0.0","20656000","0.0","2031-06-01T00:00:00.000","2028-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.8850037160116 40.82270939063576))"
"841HB1070MD","841","HB1070MD","Protective Coating of Macombs Dam Bridge","42005000","0.0","42005000","0.0","0.0","0.0","0.0","42005000","0.0","2025-06-01T00:00:00.000","2025-06-01T00:00:00.000","DOT","Department of Transportation","Lump Sum","fisa_2023","MULTIPOINT ((-73.93387163211163 40.82813839303126))"
"841HBBA23025","841","HBBA23025","MOSHOLU PKWY/BRONX RIVER 2-23025-0 (TD PKG)","71957000","0.0","71957000","0.0","0.0","0.0","0.0","71957000","0.0","2030-06-01T00:00:00.000","2026-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.87426145822828 40.86682514820272))"
"841HBBA26654","841","HBBA26654","278I over BRUCKNER BOULVARD 2266540","163554000","0.0","163554000","0.0","0.0","0.0","0.0","163554000","0.0","2032-06-01T00:00:00.000","2028-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.91661965526504 40.80319339786485))"
"841HBBA66671","841","HBBA66671","BRUCKNER EXPESSWAY SOUTHBOUND over BRONX RIVER 2066671","61718000","0.0","61718000","0.0","0.0","0.0","0.0","61718000","0.0","2033-06-01T00:00:00.000","2031-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.88435998546284 40.822871299115604))"
"841HBBA66672","841","HBBA66672","BRUCKNER EXRESSWAY NORTHBOUND OVER BRONX RIVER 2066672","100215000","0.0","100215000","0.0","0.0","0.0","0.0","100215000","0.0","2033-06-01T00:00:00.000","2031-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.88429973648502 40.822700687320484))"
"841HBBA24180","841","HBBA24180","East 183rd St over MNRR Har BIN 2241800","17057000","0.0","17057000","0.0","39680000","0.0","39680000","56737000","520764.05","2025-06-01T00:00:00.000","2020-03-23T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89460712705633 40.85584204759053))"
"841HBBA24181","841","HBBA24181","East 188th St over MNRR Har BIN 2241810","28845000","0.0","28845000","0.0","21760000","0.0","21760000","50605000","837395.21","2025-06-01T00:00:00.000","2019-02-19T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.89209980560078 40.85931507645109))"
"841HBBA24214","841","HBBA24214","EAST TREMONT AVENUE over BRONX RIVER BIN 2242149","58183000","0.0","58183000","0.0","0.0","0.0","0.0","58183000","0.0","2033-06-01T00:00:00.000","2030-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.87839967154851 40.8400033782816))"
"841HBBA24236","841","HBBA24236","GRAND CONCOURSE over BURNSIDE AVENUE BIN 2242360","36673000","0.0","36673000","0.0","0.0","0.0","0.0","36673000","0.0","2031-06-01T00:00:00.000","2027-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.90365965286234 40.85241337651593))"
"841HBBA24245","841","HBBA24245","EAST 233RD ST/ BRONX RIVER BIN # 2242459","24201000","0.0","24201000","0.0","0.0","0.0","0.0","24201000","699904.6","2029-06-01T00:00:00.000","2020-07-16T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.86218657840219 40.89492635675902))"
"841HBBA42081","841","HBBA42081","BRONX BOULEVARD SOUTHBOUND over BRONX RIVER  BIN 2242081","13712000","0.0","13712000","0.0","0.0","0.0","0.0","13712000","0.0","2029-06-01T00:00:00.000","2026-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.87025966859655 40.876363362632055))"
"841HBBA42082","841","HBBA42082","BRONX BOULEVARD NORTHBOUND over BRONX RIVER  BIN 2242082","14152000","0.0","14152000","0.0","0.0","0.0","0.0","14152000","0.0","2029-06-01T00:00:00.000","2026-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.87005966849124 40.876373362662704))"
"841HBCR21A","841","HBCR21A","COMPONENT REHAB OF BRIDGES 21A","32987000","0.0","32987000","0.0","0.0","0.0","0.0","32987000","1425771.17","2028-06-01T00:00:00.000","2019-07-16T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-74.12699656187547 40.56460430111389), (-74.11837490578542 40.622731581880856), (-74.07490460910343 40.61744390180922), (-73.99671104795193 40.75926135551047), (-73.9961532412543 40.75990334316758), (-73.99515073347435 40.76115268611469), (-73.99325709087675 40.7636786757248), (-73.9928287182263 40.76426055112857), (-73.99232226523432 40.76492854661879), (-73.9913990899869 40.76612132672943), (-73.99112161497436 40.76682704942464), (-73.9908061775458 40.77092703686055), (-73.99078555105673 40.7683332144618))"
"841HBQ002C","841","HBQ002C","COOPER AVE PED TREATMENT","0.0","0.0","0.0","200000","0.0","0.0","200000","200000","0.0","2026-06-01T00:00:00.000","2026-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.87205450355651 40.70833511276205))"
"841HBMA24666","841","HBMA24666","RIVERSIDE DRIVE over W 125TH ST - W 134TH ST 2246660","154107000","0.0","154107000","0.0","0.0","0.0","0.0","154107000","0.0","2033-06-01T00:00:00.000","2030-06-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.96032962393305 40.818043398103924))"
"841HBQ1114","841","HBQ1114","HEMPSTEAD AVE BR/CIP 2231780","50819000","0.0","50819000","0.0","46237000","0.0","46237000","97056000","0.0","2027-06-01T00:00:00.000","2022-10-01T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.72858968872862 40.7112617494134))"
"841HBM1221","841","HBM1221","E25TH STREET PEDESTRIAN BRIDGE OVER FDR","9976000","0.0","9976000","0.0","0.0","0.0","0.0","9976000","355527.73","2026-06-01T00:00:00.000","2010-05-04T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.97464221674603 40.737030276070385))"
"841HBM191TUN","841","HBM191TUN","191st St Pedestrian Tunnel over Broadway & IRT #1 Subway","44130000","0.0","44130000","0.0","0.0","0.0","0.0","44130000","0.0","2028-06-01T00:00:00.000","2022-10-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.93262284691077 40.856700185245465))"
"841HBM224624","841","HBM224624","WEST DRIVE OVER TRANSVERSE ROAD #2 BIN 2246240","30945000","0.0","30945000","0.0","0.0","0.0","0.0","30945000","0.0","2028-06-01T00:00:00.000","2025-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.97102106713444 40.779931684590544))"
"841HBM224625","841","HBM224625","EAST DRIVE OVER TRANSVERSE ROAD #3 BIN 2246250","20470000","0.0","20470000","0.0","0.0","0.0","0.0","20470000","0.0","2027-06-01T00:00:00.000","2024-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.96287106947605 40.78159168338085))"
"841HBM224627","841","HBM224627","EAST DRIVE OVER TRANSVERSE ROAD #4 BIN 2246270","100608000","0.0","100608000","0.0","0.0","0.0","0.0","100608000","0.0","2030-06-01T00:00:00.000","2026-06-01T00:00:00.000","DOT","Department of Transportation","Fixed Asset","fisa_2023","MULTIPOINT ((-73.95738107089801 40.78944168156828))"
"841HBQ1115","841","HBQ1115","UNION TURNPIKE / CROSS ISLAND PKWY 2-23185-0","66230000","0.0","66230000","0.0","0.0","0.0","0.0","66230000","56992.25","2028-06-01T00:00:00.000","2021-05-05T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.72672730036668 40.74077664498874), (-73.72670054968675 40.740844038829565), (-73.72662609821413 40.74079616203301), (-73.72656729640588 40.74081517632062), (-73.72656353802697 40.74075587771805), (-73.7258631943648 40.741042839360546), (-73.72582608891284 40.74099316616577))"
"841HBQA24750","841","HBQA24750","METROPOLITAN AVE OVER CSX TRANSPORT","64135000","0.0","64135000","0.0","0.0","0.0","0.0","64135000","626610.93","2031-06-01T00:00:00.000","2018-11-14T00:00:00.000","DOT","Department of Transportation",,"fisa_2023","MULTIPOINT ((-73.88890892038629 40.71217249347014))"
