"license_nbr","lic_status","business_name","business_name2","building","street","city","state","zip","swc_type","swc_sq_ft","swc_tables","swc_chairs","dohmh","final_x","final_y","community_district","city_council_district","cd_url","app_id","app_swc_type","app_sq_ft","app_tables","app_chairs","app_status","app_status_date","expiration_date","app_too_date","submit_date","intake","intake_dd","dpqa","send_package_dd","cp","cp_dd","cb","cb_dd","hearing","hearing_dd","hearing_public","hearing_public_dd","cc","cc_dd","moo","moo_dd","issuance","issuance_dd"
"1260890-DCA","Inactive","GOAT FIFTY, LLC","COCO BISTRO","36","PECK SLIP","NEW YORK","NY","10038","Unenclosed","311","12","24","41254287","983813","197044","101","1","http://www.nyc.gov/html/mancb1/html/home/home.shtml","3166-2020-RSWC","Unenclosed","311","12","24","Pending Review","2020-02-25T00:00:00.000","2019-12-15T00:00:00.000","2020-04-23T00:00:00.000","2020-02-12T00:00:00.000","Ready For Review","2020-02-12T00:00:00.000","Under Review","2020-02-25T00:00:00.000","Pending Review","2020-02-25T00:00:00.000","Pending Review","2020-02-25T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-04-15T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1271565-DCA","Inactive","MAGNOLIA COLUMBUS AVENUE, LLC","NULL","200","COLUMBUS AVE","NEW YORK","NY","10023","Enclosed","365","15","34","41282506","989732","221902","107","6","http://www.nyc.gov/mcb7","20849-2019-RSWC","Enclosed","365","15","34","Pending Review","2019-12-31T00:00:00.000","2020-06-30T00:00:00.000","2020-06-30T00:00:00.000","2019-05-28T00:00:00.000","Ready For Review","2019-05-28T00:00:00.000","Issued Temp Op Letter","2019-05-28T00:00:00.000","Pending Review","2019-05-28T00:00:00.000","Pending Review","2019-05-28T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1274929-DCA","Inactive","LA MELA RISTORANTE ITALIANO, INC.","NULL","167","MULBERRY ST","NEW YORK","NY","10013","Unenclosed","133","9","19","40384188","985022","201565","102","1","http://www.nyc.gov/manhattancb2","26093-2019-RSWC","Unenclosed","133","9","19","Pending Review","2020-05-28T00:00:00.000","2020-06-30T00:00:00.000","2020-06-30T00:00:00.000","2019-08-29T00:00:00.000","Ready For Review","2019-08-29T00:00:00.000","Issued Temp Op Letter","2019-08-30T00:00:00.000","Pending Review","2019-08-30T00:00:00.000","Review Period Expired","2019-10-25T00:00:00.000","Waived","2019-10-25T00:00:00.000","NULL",,"Review Period Expired","2020-05-11T00:00:00.000","Pending Review","2020-05-11T00:00:00.000","Pending Review",
"1280217-DCA","Inactive","CALOUNE CORP.","NULL","5012","VERNON BLVD","LONG ISLAND CITY","NY","11101","Unenclosed","112","4","8","40880194","996898","209759","402","26","http://www.cb2queens.org/","3682-2020-RSWC","Unenclosed","112","4","8","Pending Review","2020-02-21T00:00:00.000","2020-03-21T00:00:00.000","2020-03-21T00:00:00.000","2020-02-21T00:00:00.000","Ready For Review","2020-02-21T00:00:00.000","Issued Temp Op Letter","2020-02-21T00:00:00.000","Pending Review","2020-02-21T00:00:00.000","Review Period Expired","2020-04-17T00:00:00.000","Waived","2020-04-17T00:00:00.000","NULL",,"Review Period Expired","2020-05-08T00:00:00.000","Pending Review",,"Pending Review",
"1281431-DCA","Inactive","BEN TAS CORP.","OTHELLO DELI","2619","24TH AVE","ASTORIA","NY","11102","Unenclosed","185","4","12","41324916","1006974","221355","401","22","http://www.nyc.gov/html/qnscb1/html/home/home.shtml","8316-2016-RSWC","Unenclosed","185","4","12","Pending Review","2019-12-30T00:00:00.000","2020-03-10T00:00:00.000","2020-03-10T00:00:00.000","2018-11-05T00:00:00.000","Ready For Review","2016-05-19T00:00:00.000","Issued Temp Op Letter","2018-11-07T00:00:00.000","Proceed","2016-05-19T00:00:00.000","Pending Review","2018-11-07T00:00:00.000","Waived","2016-05-19T00:00:00.000","SWC Public Hearing",,"Approved","2016-05-19T00:00:00.000","Approved","2016-05-19T00:00:00.000","Pending Review",
"1283643-DCA","Inactive","JPS VENTURES INC.","NULL","441","AMSTERDAM AVE","NEW YORK","NY","10024","Enclosed","224","5","16","41326189","990579","225113","107","6","http://www.nyc.gov/mcb7","8278-2018-RSWC","Enclosed","224","5","16","Pending Review","2019-11-26T00:00:00.000","2020-03-17T00:00:00.000","2020-03-17T00:00:00.000","2018-05-10T00:00:00.000","Ready For Review","2018-05-10T00:00:00.000","Issued Temp Op Letter","2018-05-10T00:00:00.000","Pending Review","2018-05-10T00:00:00.000","Pending Review","2018-05-10T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1299629-DCA","Inactive","GREEK KITCHEN INC.","THE GREEK KITCHEN","885","10TH AVE","NEW YORK","NY","10019","Enclosed","447","13","26","40734589","987474","219719","104","6","http://www.nyc.gov/mcb4","10179-2018-RSWC","Enclosed","447","13","26","Pending Review","2020-04-30T00:00:00.000","2020-07-11T00:00:00.000","2020-07-11T00:00:00.000","2018-07-10T00:00:00.000","Ready For Review","2018-07-10T00:00:00.000","Issued Temp Op Letter","2018-07-11T00:00:00.000","Pending Review","2018-07-11T00:00:00.000","Pending Review","2018-07-11T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1305734-DCA","Inactive","POLLOS MARIO WOODHAVEN CORP.","NULL","6320","WOODHAVEN BLVD","REGO PARK","NY","11374","Enclosed","412","10","40","41379215","1020539","202977","405","30","http://www.nyc.gov/html/qnscb5/html/home/home.shtml","6549-2020-RSWC","Enclosed","412","10","40","Pending Review","2020-06-18T00:00:00.000","2020-07-18T00:00:00.000","2020-07-18T00:00:00.000","2020-06-18T00:00:00.000","Ready For Review","2020-06-18T00:00:00.000","Issued Temp Op Letter",,"Pending Review","2020-06-18T00:00:00.000","Pending Review",,"Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1308999-DCA","Inactive","DESMO 916 CORP.","LAVAGNA","545","E 5TH ST","NEW YORK","NY","10009","Unenclosed","162","6","20","41364268","989020","203079","103","2","http://www.nyc.gov/manhattancb3","26293-2019-RSWC","Unenclosed","162","6","20","Pending Review","2020-03-11T00:00:00.000","2020-06-11T00:00:00.000","2020-06-11T00:00:00.000","2019-09-06T00:00:00.000","Ready For Review","2019-09-06T00:00:00.000","Issued Temp Op Letter","2019-09-11T00:00:00.000","Pending Review","2019-09-06T00:00:00.000","Review Period Expired","2019-11-07T00:00:00.000","Waived","2019-11-07T00:00:00.000","NULL",,"Review Period Expired","2019-11-28T00:00:00.000","Pending Review",,"Pending Review",
"1309603-DCA","Inactive","CHOW DOWN, INC.","EL CENTRO","824","9TH AVE","NEW YORK","NY","10019","Unenclosed","275","11","22","40698537","987888","218337","104","3","http://www.nyc.gov/mcb4","25449-2019-RSWC","Unenclosed","275","11","22","Pending Review","2020-01-22T00:00:00.000","2020-04-22T00:00:00.000","2020-04-22T00:00:00.000","2019-08-06T00:00:00.000","Ready For Review","2019-08-06T00:00:00.000","Issued Temp Op Letter","2019-08-06T00:00:00.000","Pending Review","2019-08-06T00:00:00.000","Review Period Expired","2020-01-29T00:00:00.000","Waived","2020-01-29T00:00:00.000","NULL",,"Review Period Expired","2020-02-19T00:00:00.000","Pending Review",,"Pending Review",
"1310240-DCA","Inactive","401 W 50 TAVERN INC.","NULL","401","W 50TH ST","NEW YORK","NY","10019","Small Unenclosed","108","6","12","41347045","987220","217519","104","3","http://www.nyc.gov/mcb4","33314-2019-RSWC","Small Unenclosed","108","6","12","Pending Review","2020-05-20T00:00:00.000","2020-07-31T00:00:00.000","2020-07-31T00:00:00.000","2019-11-22T00:00:00.000","Ready For Review","2019-11-22T00:00:00.000","Issued Temp Op Letter","2019-11-26T00:00:00.000","Pending Review","2019-11-26T00:00:00.000","Review Period Expired","2020-01-14T00:00:00.000","Waived","2020-01-14T00:00:00.000","NULL",,"Review Period Expired","2020-02-04T00:00:00.000","Pending Review",,"Pending Review",
"1310982-DCA","Inactive","SEAN OG ENTERPRISES LLC","SEAN OG'S","6002","WOODSIDE AVE","WOODSIDE","NY","11377","Unenclosed","342","15","30","40673089","1010773","210644","402","26","http://www.cb2queens.org/","34752-2019-RSWC","Unenclosed","342","15","30","Pending Review","2020-02-18T00:00:00.000","2020-05-18T00:00:00.000","2020-05-18T00:00:00.000","2019-12-09T00:00:00.000","Ready For Review","2019-12-09T00:00:00.000","Issued Temp Op Letter","2019-12-10T00:00:00.000","Pending Review","2019-12-10T00:00:00.000","Review Period Expired","2020-02-13T00:00:00.000","Waived","2020-02-13T00:00:00.000","NULL",,"Review Period Expired","2020-03-05T00:00:00.000","Pending Review",,"Pending Review",
"1311304-DCA","Inactive","IFETA CORP.","NULL","4115","31ST AVE","ASTORIA","NY","11103","Unenclosed","144","6","16","41372224","1007568","216494","401","22","http://www.nyc.gov/html/qnscb1/html/home/home.shtml","2621-2020-RSWC","Unenclosed","144","6","16","Pending Review","2020-06-05T00:00:00.000","2020-09-05T00:00:00.000","2020-09-05T00:00:00.000","2020-02-04T00:00:00.000","Ready For Review","2020-02-04T00:00:00.000","Issued Temp Op Letter","2020-02-11T00:00:00.000","Pending Review","2020-02-04T00:00:00.000","Pending Review","2020-02-11T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-04-01T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1348216-DCA","Inactive","151 BLEECKER LLC","THE RED LION","151","BLEECKER ST","NEW YORK","NY","10012","Enclosed","172","7","13","41478531","984412","204698","102","1","http://www.nyc.gov/manhattancb2","19320-2019-RSWC","Enclosed","172","7","13","Pending Review","2020-03-04T00:00:00.000","2020-03-31T00:00:00.000","2020-03-31T00:00:00.000","2019-05-08T00:00:00.000","Ready For Review","2019-05-08T00:00:00.000","Issued Temp Op Letter","2019-05-08T00:00:00.000","Pending Review","2019-05-08T00:00:00.000","Pending Review","2019-05-08T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1312044-DCA","Inactive","OSTERIA CASANO LLC","NULL","28","WEST ST","NEW YORK","NY","10004","Unenclosed","320","16","31","41380930","979926","196905","101","1","http://www.nyc.gov/html/mancb1/html/home/home.shtml","3174-2020-RSWC","Unenclosed","320","16","31","Pending Review","2020-02-25T00:00:00.000","2020-03-25T00:00:00.000","2020-03-25T00:00:00.000","2020-02-12T00:00:00.000","Ready For Review","2020-02-12T00:00:00.000","Issued Temp Op Letter","2020-02-25T00:00:00.000","Pending Review","2020-02-25T00:00:00.000","Pending Review","2020-02-25T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-04-15T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1312716-DCA","Inactive","KANG YUE USA CORPORATION","MOCA ASIAN BISTRO","10718","70TH RD","FOREST HILLS","NY","11375","Unenclosed","184","7","14","41310853","1027125","201977","406","29","http://queenscb6.org/","29629-2019-RSWC","Unenclosed","184","7","14","Pending Review","2020-01-06T00:00:00.000","2020-02-06T00:00:00.000","2020-02-06T00:00:00.000","2019-10-23T00:00:00.000","Ready For Review","2019-10-23T00:00:00.000","Issued Temp Op Letter","2019-10-29T00:00:00.000","Pending Review","2019-10-29T00:00:00.000","Pending Review","2019-10-29T00:00:00.000","Pending Review",,"SWC Public Hearing","2019-12-18T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1316170-DCA","Inactive","MARCO POLO TAKE OUT LLC","NULL","347","COURT ST","BROOKLYN","NY","11231","Unenclosed","99","4","8","41296556","985406","187797","306","39","http://www.brooklyncb6.org/","34518-2019-RSWC","Unenclosed","99","4","8","Pending Review","2020-06-05T00:00:00.000","2020-09-05T00:00:00.000","2020-09-05T00:00:00.000","2019-12-05T00:00:00.000","Ready For Review","2019-12-05T00:00:00.000","Issued Temp Op Letter","2019-12-27T00:00:00.000","Pending Review","2019-12-05T00:00:00.000","Review Period Expired","2020-03-06T00:00:00.000","Waived","2020-03-06T00:00:00.000","NULL",,"Review Period Expired","2020-03-27T00:00:00.000","Pending Review",,"Pending Review",
"1317766-DCA","Active","BROOKLYN HEIGHTS WINE BAR LLC","NULL","50","HENRY ST","BROOKLYN","NY","11201","Unenclosed","138","6","12","41388348","986429","194136","302","33","http://www.nyc.gov/html/bkncb2/html/home/home.shtml","31913-2019-RSWC","Unenclosed","138","6","12","Application Review Completed","2020-05-14T00:00:00.000","2020-05-20T00:00:00.000","2020-05-20T00:00:00.000","2019-11-08T00:00:00.000","Ready For Review","2019-11-08T00:00:00.000","Process Completed","2019-11-20T00:00:00.000","NULL",,"Review Period Expired","2020-01-29T00:00:00.000","Waived","2020-01-29T00:00:00.000","NULL",,"Review Period Expired","2020-02-19T00:00:00.000","NULL",,"NULL",
"1323228-DCA","Inactive","112 RESTAURANT CORP.","BUILDING ON BOND","112","BOND ST","BROOKLYN","NY","11217","Unenclosed","153","6","12","41369267","988309","189263","302","33","http://www.nyc.gov/html/bkncb2/html/home/home.shtml","33346-2015-RSWC","Unenclosed","153","6","12","Pending Review","2020-05-26T00:00:00.000","2020-07-17T00:00:00.000","2020-07-17T00:00:00.000","2020-01-31T00:00:00.000","Ready For Review","2015-12-17T00:00:00.000","Issued Temp Op Letter","2015-12-22T00:00:00.000","Pending Review","2015-12-17T00:00:00.000","Review Period Expired","2016-02-11T00:00:00.000","Pending Review","2016-02-11T00:00:00.000","NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1323280-DCA","Inactive","SYLVIA WOODS, INC.","SYLVIA'S RESTAURANT","328","LENOX AVE","NEW YORK","NY","10027","Unenclosed","533","15","38","40841272","999589","233879","110","9","http://www.nyc.gov/html/mancb10/html/home/home.shtml","2668-2020-RSWC","Unenclosed","533","15","38","Pending Review","2020-02-27T00:00:00.000","2020-05-27T00:00:00.000","2020-05-27T00:00:00.000","2020-02-04T00:00:00.000","Ready For Review","2020-02-04T00:00:00.000","Issued Temp Op Letter","2020-02-05T00:00:00.000","Pending Review","2020-02-05T00:00:00.000","Review Period Expired","2020-03-26T00:00:00.000","Waived","2020-03-26T00:00:00.000","NULL",,"Review Period Expired","2020-04-16T00:00:00.000","Pending Review",,"Pending Review",
"1323624-DCA","Inactive","SHARAKU, INC.","NULL","14","STUYVESANT ST","NEW YORK","NY","10003","Enclosed","254","9","18","40397520","987232","205128","103","2","http://www.nyc.gov/manhattancb3","20815-2019-RSWC","Enclosed","254","9","18","Pending Review","2019-12-26T00:00:00.000","2020-03-28T00:00:00.000","2020-03-28T00:00:00.000","2019-05-28T00:00:00.000","Ready For Review","2019-05-28T00:00:00.000","Issued Temp Op Letter","2019-05-28T00:00:00.000","Pending Review","2019-05-28T00:00:00.000","Pending Review","2019-05-28T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1325458-DCA","Inactive","SPUNTO, INC.","NULL","65","CARMINE ST","NEW YORK","NY","10014","Unenclosed","320","14","28","41381168","982995","205175","102","3","http://www.nyc.gov/manhattancb2","463-2020-RSWC","Unenclosed","320","14","28","Pending Review","2020-05-28T00:00:00.000","2020-07-19T00:00:00.000","2020-07-19T00:00:00.000","2020-01-10T00:00:00.000","Ready For Review","2020-01-10T00:00:00.000","Issued Temp Op Letter","2020-01-13T00:00:00.000","Pending Review","2020-01-13T00:00:00.000","Pending Review","2020-05-19T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-03-04T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1334619-DCA","Inactive","MADISON GLOBAL LLC","NULL","696","MADISON AVE","NEW YORK","NY","10065","Small Unenclosed","126","3","12","41437526","992561","218273","108","4","http://www.cb8m.com/","26490-2019-RSWC","Small Unenclosed","126","3","12","Pending Review","2019-12-13T00:00:00.000","2020-03-15T00:00:00.000","2020-03-15T00:00:00.000","2019-09-12T00:00:00.000","Ready For Review","2019-09-12T00:00:00.000","Issued Temp Op Letter","2019-09-16T00:00:00.000","Pending Review","2019-09-16T00:00:00.000","Review Period Expired","2019-11-07T00:00:00.000","Waived","2019-11-07T00:00:00.000","NULL",,"Review Period Expired","2019-11-28T00:00:00.000","Pending Review",,"Pending Review",
"1338890-DCA","Inactive","TUTTO BENE RESTAURANT INC.","CHELSEA RISTORANTE ITALIANO","108","8TH AVE","NEW YORK","NY","10011","Unenclosed","126","6","12","40512520","983790","209109","104","3","http://www.nyc.gov/mcb4","1737-2020-RSWC","Unenclosed","126","6","12","Pending Review","2020-04-02T00:00:00.000","2020-06-05T00:00:00.000","2020-06-05T00:00:00.000","2020-01-24T00:00:00.000","Ready For Review","2020-01-24T00:00:00.000","Issued Temp Op Letter","2020-01-24T00:00:00.000","Pending Review","2020-01-24T00:00:00.000","Pending Review","2020-01-24T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-03-11T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1339224-DCA","Inactive","VINO FIVE GROUP LLC","Vinotapa","201","E 31ST ST","NEW YORK","NY","10016","Unenclosed","253","10","20","41353228","990028","210262","106","2","http://cbsix.org","872-2020-RSWC","Unenclosed","253","10","20","Pending Review","2020-02-18T00:00:00.000","2020-03-18T00:00:00.000","2020-03-18T00:00:00.000","2020-01-15T00:00:00.000","Ready For Review","2020-01-15T00:00:00.000","Issued Temp Op Letter","2020-01-15T00:00:00.000","Pending Review","2020-01-15T00:00:00.000","Review Period Expired","2020-04-17T00:00:00.000","Waived","2020-04-17T00:00:00.000","NULL",,"Review Period Expired","2020-05-08T00:00:00.000","Pending Review",,"Pending Review",
"1341402-DCA","Inactive","DONIZETTI LLC","5 NAPKIN BURGER","2315","BROADWAY","NEW YORK","NY","10024","Unenclosed","360","12","34","41460077","990362","226016","107","6","http://www.nyc.gov/mcb7","2751-2020-RSWC","Unenclosed","360","12","34","Pending Review","2020-05-28T00:00:00.000","2020-07-17T00:00:00.000","2020-07-17T00:00:00.000","2020-02-05T00:00:00.000","Ready For Review","2020-02-05T00:00:00.000","Issued Temp Op Letter","2020-02-06T00:00:00.000","Pending Review","2020-02-06T00:00:00.000","Pending Review","2020-02-06T00:00:00.000","Pending Review",,"SWC Public Hearing","2020-03-25T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1347394-DCA","Inactive","CAFE ARGENTINO INC.","CAFE ARGENTINO","499","GRAND ST","BROOKLYN","NY","11211","Unenclosed","299","7","18","41456654","997761","198369","301","34","http://www.nyc.gov/brooklyncb1","7337-2019-RSWC","Unenclosed","299","7","18","Pending Review","2019-08-21T00:00:00.000","2019-11-19T00:00:00.000","2019-11-19T00:00:00.000","2019-02-11T00:00:00.000","Ready For Review","2019-02-14T00:00:00.000","Issued Temp Op Letter","2019-02-14T00:00:00.000","Pending Review","2019-02-14T00:00:00.000","Review Period Expired","2019-04-10T00:00:00.000","Waived","2019-04-10T00:00:00.000","NULL",,"Review Period Expired","2019-05-01T00:00:00.000","Pending Review",,"Pending Review",
"1347915-DCA","Inactive","VIDA MEXICANA INC.","NULL","223","DYCKMAN ST","NEW YORK","NY","10034","Unenclosed","438","18","36","41477055","1004377","254791","112","10","http://www.nyc.gov/html/mancb12/html/home/home.shtml","6032-2020-RSWC","Unenclosed","438","18","36","Pending Review","2020-06-16T00:00:00.000","2020-07-16T00:00:00.000","2020-07-16T00:00:00.000","2020-06-11T00:00:00.000","Ready For Review","2020-06-16T00:00:00.000","Issued Temp Op Letter",,"Pending Review","2020-06-16T00:00:00.000","Pending Review",,"Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1352645-DCA","Inactive","KARABINIS DINER CORP","OASIS DINER","2132","FLATBUSH AVE","BROOKLYN","NY","11234","Enclosed","473","15","46","41317827","1003134","164386","318","46","http://www.nyc.gov/html/cau/html/cb/cb.shtml","10199-2018-RSWC","Enclosed","473","15","46","Pending Review","2020-03-09T00:00:00.000","2020-09-15T00:00:00.000","2020-09-15T00:00:00.000","2018-07-11T00:00:00.000","Ready For Review","2018-07-11T00:00:00.000","Issued Temp Op Letter","2018-07-11T00:00:00.000","Pending Review","2018-07-11T00:00:00.000","Pending Review","2018-07-11T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1359208-DCA","Inactive","TECTON CAFE INC.","NULL","460","GREENWICH ST","NEW YORK","NY","10013","Unenclosed","79","4","10","40402026","981585","202972","101","1","http://www.nyc.gov/html/mancb1/html/home/home.shtml","3852-2019-RSWC","Unenclosed","79","4","10","Pending Review","2020-01-07T00:00:00.000","2020-04-07T00:00:00.000","2020-04-07T00:00:00.000","2019-01-25T00:00:00.000","Ready For Review","2019-01-25T00:00:00.000","Issued Temp Op Letter","2019-01-25T00:00:00.000","Pending Review","2019-01-25T00:00:00.000","Review Period Expired","2019-03-06T00:00:00.000","Waived","2019-03-06T00:00:00.000","NULL",,"Review Period Expired","2019-03-27T00:00:00.000","Pending Review",,"Pending Review",
"1360215-DCA","Inactive","TANOREEN CATERERS INC.","TANOREEN","7523","3RD AVE","BROOKLYN","NY","11209","Enclosed","222","4","16","41431607","976529","169092","310","43","http://www.bkcb10.org/","20681-2019-RSWC","Enclosed","222","4","16","Pending Review","2020-01-02T00:00:00.000","2020-07-02T00:00:00.000","2020-07-02T00:00:00.000","2019-05-23T00:00:00.000","Ready For Review","2019-05-23T00:00:00.000","Issued Temp Op Letter","2019-05-23T00:00:00.000","Pending Review","2019-05-23T00:00:00.000","Pending Review","2019-05-23T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1361524-DCA","Inactive","3 IN 1 KITCHEN AMK CORP.","3 IN 1 KITCHEN","4902","FORT HAMILTON PKWY","BROOKLYN","NY","11219","Enclosed","191","8","16","50049907","984835","171880","312","44","http://www.brooklyncb12.org/","8539-2018-RSWC","Enclosed","191","8","16","Pending Review","2020-02-26T00:00:00.000","2020-03-26T00:00:00.000","2020-03-26T00:00:00.000","2018-05-16T00:00:00.000","Ready For Review","2018-05-16T00:00:00.000","Issued Temp Op Letter","2018-05-18T00:00:00.000","Pending Review","2018-05-18T00:00:00.000","Pending Review","2018-05-18T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1379700-DCA","Inactive","MY MOST FAVORITE 72ND ST. CORP.","MY MOST FAVORITE FOOD","247","W 72ND ST","NEW YORK","NY","10023","Enclosed","350","10","27","41469473","988891","223312","107","6","http://www.nyc.gov/mcb7","4810-2018-RSWC","Enclosed","350","10","27","Pending Review","2020-03-06T00:00:00.000","2020-05-30T00:00:00.000","2020-05-30T00:00:00.000","2018-03-19T00:00:00.000","Ready For Review","2018-03-19T00:00:00.000","Issued Temp Op Letter","2018-03-19T00:00:00.000","Pending Review","2018-03-19T00:00:00.000","Pending Review","2018-03-19T00:00:00.000","Pending Review",,"NULL",,"Pending Review",,"Pending Review",,"Pending Review",
"1381393-DCA","Inactive","ALA TURK INC","NULL","1417","2ND AVE","NEW YORK","NY","10021","Enclosed","481","12","39","41204031","995986","219858","108","4","http://www.cb8m.com/","136-2013-RSWC","Enclosed","481","12","39","Pending Review","2020-02-14T00:00:00.000","2020-04-26T00:00:00.000","2020-04-26T00:00:00.000","2016-08-12T00:00:00.000","NULL",,"Issued Temp Op Letter",,"Proceed","2016-04-19T00:00:00.000","Review Period Expired","2016-04-19T00:00:00.000","Waived","2016-04-19T00:00:00.000","NULL",,"Review Period Expired","2016-04-19T00:00:00.000","Approved","2016-04-19T00:00:00.000","NULL",
"1382062-DCA","Inactive","753 WASHINGTON TRATTORIA INC.","NULL","753","WASHINGTON ST","NEW YORK","NY","10014","Unenclosed","267","10","24","41491940","981992","207739","102","3","http://www.nyc.gov/manhattancb2","3018-2020-RSWC","Unenclosed","267","10","24","Pending Review","2020-03-06T00:00:00.000","2020-04-15T00:00:00.000","2020-04-15T00:00:00.000","2020-02-11T00:00:00.000","Ready For Review","2020-02-11T00:00:00.000","Issued Temp Op Letter","2020-02-11T00:00:00.000","Pending Review","2020-02-11T00:00:00.000","Review Period Expired","2020-04-07T00:00:00.000","Waived","2020-04-07T00:00:00.000","NULL",,"Review Period Expired","2020-04-28T00:00:00.000","Pending Review",,"Pending Review",
"1382144-DCA","Inactive","IL RIFUGIO INC.","TARALLUCCI E VINO","475","COLUMBUS AVE","NEW YORK","NY","10024","Unenclosed","195","8","16","41552593","991580","225021","107","6","http://www.nyc.gov/mcb7","35189-2019-RSWC","Unenclosed","195","8","16","Pending Review","2020-06-17T00:00:00.000","2020-08-17T00:00:00.000","2020-08-17T00:00:00.000","2019-12-12T00:00:00.000","Ready For Review","2019-12-12T00:00:00.000","Issued Temp Op Letter","2019-12-13T00:00:00.000","Pending Review","2019-12-13T00:00:00.000","Review Period Expired","2020-02-13T00:00:00.000","Waived","2020-02-13T00:00:00.000","NULL",,"Review Period Expired","2020-03-05T00:00:00.000","Pending Review",,"Pending Review",
"1382366-DCA","Inactive","SUD123 INCORPORATED","CIAO","178","MULBERRY ST","NEW YORK","NY","10012","Unenclosed","171","9","19","41561855","985162","201834","102","1","http://www.nyc.gov/manhattancb2","26411-2019-RSWC","Unenclosed","171","9","19","Pending Review","2020-02-19T00:00:00.000","2020-03-19T00:00:00.000","2020-03-19T00:00:00.000","2019-09-11T00:00:00.000","Ready For Review","2019-09-11T00:00:00.000","Issued Temp Op Letter","2019-09-12T00:00:00.000","Pending Review","2019-09-12T00:00:00.000","Pending Review","2019-09-12T00:00:00.000","Pending Review",,"SWC Public Hearing","2019-10-30T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1383044-DCA","Inactive","PSSP NY INC.","NULL","143","MULBERRY ST","NEW YORK","NY","10013","Unenclosed","61","5","10","41564000","984891","201189","102","1","http://www.nyc.gov/manhattancb2","33225-2019-RSWC","Unenclosed","61","5","10","Pending Review","2019-11-26T00:00:00.000","2020-02-15T00:00:00.000","2020-02-15T00:00:00.000","2019-11-21T00:00:00.000","Ready For Review","2019-11-21T00:00:00.000","Under Review","2019-11-26T00:00:00.000","Pending Review","2019-11-26T00:00:00.000","Recommend Approval","2019-12-31T00:00:00.000","Waived","2020-01-06T00:00:00.000","NULL",,"Review Period Expired","2020-01-27T00:00:00.000","Pending Review",,"Pending Review",
"1383186-DCA","Inactive","CHERRY LANE, INC.","THE RANDOLPH AT BROOME","349","BROOME ST","NEW YORK","NY","10013","Unenclosed","149","7","16","41022886","985648","201419","102","1","http://www.nyc.gov/manhattancb2","27928-2019-RSWC","Unenclosed","149","7","16","Pending Review","2020-06-11T00:00:00.000","2020-09-11T00:00:00.000","2020-09-11T00:00:00.000","2019-09-26T00:00:00.000","Ready For Review","2019-09-26T00:00:00.000","Issued Temp Op Letter","2019-09-26T00:00:00.000","Pending Review","2019-09-26T00:00:00.000","Pending Review","2019-09-26T00:00:00.000","Pending Review",,"SWC Public Hearing","2019-11-13T00:00:00.000","Pending Review",,"Pending Review",,"Pending Review",
"1384470-DCA","Active","SARABETH'S TRIBECA, LLC","SARABETH'S","339","GREENWICH ST","NEW YORK","NY","10013","Unenclosed","300","12","26","41564700","981385","200960","101","1","http://www.nyc.gov/html/mancb1/html/home/home.shtml","34103-2019-RSWC","Unenclosed","300","12","26","Application Review Completed","2020-06-22T00:00:00.000","2022-12-15T00:00:00.000",,"2019-12-02T00:00:00.000","Ready For Review","2019-12-02T00:00:00.000","Approved","2019-12-03T00:00:00.000","NULL",,"Review Period Expired","2020-01-24T00:00:00.000","Waived","2020-01-24T00:00:00.000","NULL",,"Review Period Expired","2020-02-14T00:00:00.000","Approved","2020-06-22T00:00:00.000","Issued","2020-06-22T00:00:00.000"
