"fiscal_year","system_code","location_code","location_name","beds_number","managed_by_name","location_type_description","location_category_description","grades_text","grades_final_text","open_date","status_descriptions","primary_building_code","primary_address_line_1","state_code","x_coordinate","y_coordinate","longitude","latitude","community_district","council_district","census_tract","borough_block_lot","nta","nta_name","principal_name","principal_title","principal_phone_number","fax_number","geographical_district_code","admin_district_location_code","administrative_district_name","community_school_sup_name","field_support_center_name","field_support_center_leader","school_support_team_name","school_support_team_leader","highschool_network_location","highschool_network_name","highschool_network","geocoded_column"
"2019","307500010000","M501","Home Instruction","307500010000","DOE","Home School","K-12 all grades","0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12","2000-07-01T00:00:00.000","Open","X953","3450 EAST TREMONT AVENUE","NY","1031947","242382","40.831829","-73.827642","210","13","16600","2055310021","BX52","Schuylerville-Throgs Neck-Edgewater Park","Ramona Pizarro","Principal","646-486-3557","646-486-3556","8","DA75","CITYWIDE SPECIAL EDUCATION","LOUISSAINT, KETLER","D75 CITYWIDE FSC","Tillman Roberto","Children First Network 754",,,,,"POINT (40.831829 -73.827642)"
"2019","310300010180","M180","P.S. 180 Hugo Newman","310300010180","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1960-07-01T00:00:00.000","Open","M180","370 WEST 120TH STREET","NY","996469","233500","40.80757","-73.955861","110","9","25700","1019460001","MN11","Central Harlem South","Jeneca Parker","Principal","212-678-2849","212-665-1572","3","M803","COMMUNITY SCHOOL DISTRICT 03","ALTSCHUL, ILENE","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.80757 -73.955861)"
"2019","321000010315","X315","P.S. 315 Lab School","321000010315","DOE","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1997-04-29T00:00:00.000","Open","X779","2865 CLAFLIN AVENUE","NY","1011887","257591","40.873659","-73.900068","208","14","26702","2032500073","BX28","Van Cortlandt Village","Gaby Flores","Principal","929-237-7750","929-237-7752","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 3- Bronx",,,,,"POINT (40.873659 -73.900068)"
"2019","310600010132","M132","P.S. 132 Juan Pablo Duarte","310600010132","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1905-07-01T00:00:00.000","Open","M132","185 WADSWORTH AVENUE","NY","1002519","249167","40.850561","-73.933964","112","10","27100","1021650026","MN35","Washington Heights North","JESSICA TORRES MAHEIA","Principal","212-927-7857","212-568-8163","6","M806","COMMUNITY SCHOOL DISTRICT 06","RAMIREZ, MANUEL","Field Support Center - Manhattan","CHU, YUET","School Support Team 7- Manhattan",,,,,"POINT (40.850561 -73.933964)"
"2019","320800010130","X130","P.S. 130 Abram Stevens Hewitt","320800010130","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1956-07-01T00:00:00.000","Open","X130","750 PROSPECT AVENUE","NY","1011456","237218","40.817742","-73.901709","202","17","8500","2026880001","BX33","Longwood","LOURDES VELAZQUEZ","Principal","718-665-0962","718-292-0417","8","X808","COMMUNITY SCHOOL DISTRICT 08","TOBIA, ERIKA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 7- Bronx",,,,,"POINT (40.817742 -73.901709)"
"2019","310600010209","M209","Hamilton Grange Middle School","310600010209","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2014-07-01T00:00:00.000","Open","M192","500 WEST 138 STREET","NY","997529","238215","40.82051","-73.952023","109","7","22301","1019880200","MN06","Manhattanville","BENJAMIN LEV","Principal","212-281-6184","212-234-4903","6","M806","COMMUNITY SCHOOL DISTRICT 06","RAMIREZ, MANUEL","Field Support Center - Manhattan","CHU, YUET","School Support Team 7- Manhattan",,,,,"POINT (40.82051 -73.952023)"
"2019","320900011350","X350","New Directions Secondary School","320900011350","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","2013-07-01T00:00:00.000","Open","X410","240 EAST 172 STREET","NY","1008775","245072","40.839307","-73.911366","204","16","22500","2028170002","BX14","East Concourse-Concourse Village","James Waslawski","Principal","718-410-4343","718-410-4101","9","HS10",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 1- Bronx",,"HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","POINT (40.839307 -73.911366)"
"2019","320800860872","X165","Grand Concourse Charter School","320800860872","Charter","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05","2004-08-31T00:00:00.000","Open","XAGG","925 HUTCHINSON RIVER PARKWAY","NY","1029002","240149","40.825715","-73.838299","210","13","9000","2055420001","BX09","Soundview-Castle Hill-Clason Point-Harding Park","Ira Victor","PRINCIPAL","718-590-1300","718-590-1065","8",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.825715 -73.838299)"
"2019","320800010312","X312","Millennium Art Academy","320800010312","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2004-09-08T00:00:00.000","Open","X450","1980 LAFAYETTE AVENUE","NY","1024125","238502","40.821218","-73.85593","209","18","1600","2036040039","BX09","Soundview-Castle Hill-Clason Point-Harding Park","HERMAN GUY","Principal","718-824-0978","718-824-0963","8","HS02",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 1- Bronx",,"HS02","HS Network 02 Superintendent Office","STAPLE, CARRON","POINT (40.821218 -73.85593)"
"2019","321000010015","X015","P.S. X015 Institute for Environmental Learning","321000010015","DOE","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1995-07-01T00:00:00.000","Open","X015","2195 ANDREWS AVENUE","NY","1009211","252336","40.859243","-73.909763","207","14","25500","2032240009","BX30","Kingsbridge Heights","Tara Edmonds","Principal","718-563-0473","718-563-1568","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 3- Bronx",,,,,"POINT (40.859243 -73.909763)"
"2019","310300010333","M333","P.S. 333 Manhattan School for Children","310300010333","DOE","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1999-07-01T00:00:00.000","Open","M118","154 WEST  93 STREET","NY","992277","227605","40.791395","-73.971011","107","6","17700","1012230005","MN12","Upper West Side","Claire Lowenstein","Principal","212-222-1450","212-222-1828","3","M803","COMMUNITY SCHOOL DISTRICT 03","ALTSCHUL, ILENE","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.791395 -73.971011)"
"2019","310500861015","M100","Neighborhood Charter School of Harlem","310500861015","Charter","General Academic","K-8","0K,01,02,03,04,05,06,07","0K,01,02,03,04,05,06,07,08","2012-07-01T00:00:00.000","Open","MAKA","132 W 124 STREET","NY","998904","233493","40.807556","-73.947067","110","9","22200","0","MN11","Central Harlem South","Brett Gallini","PRINCIPAL","646-701-7117",,"5",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.807556 -73.947067)"
"2019","320900010215","X215","Kappa","320900010215","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","05,06,07,08","2000-07-01T00:00:00.000","Open","X148","3630 THIRD AVENUE","NY","1010829","242956","40.833493","-73.903951","203","16","14701","2029250001","BX01","Claremont-Bathgate","SHERI WARREN","Principal","718-590-5455","718-681-4266","9","X809","COMMUNITY SCHOOL DISTRICT 09","RODRIGUEZ-ROSARIO, LETICIA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 10- Bronx",,,,,"POINT (40.833493 -73.903951)"
"2019","310100011696","M696","Bard High School Early College","310100011696","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2001-07-01T00:00:00.000","Open","M097","525 EAST HOUSTON STREET","NY","990877","200965","40.718276","-73.976093","103","2","1002","1003250025","MN28","Lower East Side","MICHAEL LERNER","Principal","212-995-8479","212-777-4702","1","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.718276 -73.976093)"
"2019","310100010839","M839","Tompkins Square Middle School","310100010839","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2001-07-01T00:00:00.000","Open","M064","600 EAST  6 STREET","NY","989351","202733","40.72313","-73.981597","103","2","2601","1003870001","MN28","Lower East Side","SONHANDO ESTWICK","Principal","212-995-1430","212-979-1341","1","M801","COMMUNITY SCHOOL DISTRICT 01","CHAN, CARRY","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan",,,,,"POINT (40.72313 -73.981597)"
"2019","321000010254","X254","I.S. 254","321000010254","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1999-07-01T00:00:00.000","Open","X254","2452 WASHINGTON AVENUE","NY","1014712","252152","40.858721","-73.889878","206","15","38700","2030580003","BX06","Belmont","JAVIER OCAMPO","I.A. Principal","718-220-8700","718-220-4881","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 4- Bronx",,,,,"POINT (40.858721 -73.889878)"
"2019","320800010069","X069","P.S. 069 Journey Prep School","320800010069","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1924-07-01T00:00:00.000","Open","X069","560 THIERIOT AVENUE","NY","1022874","236854","40.8167","-73.86046","209","18","1600","2035240020","BX09","Soundview-Castle Hill-Clason Point-Harding Park","Sheila Durant","Principal","718-378-4736","718-328-0925","8","X808","COMMUNITY SCHOOL DISTRICT 08","TOBIA, ERIKA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 7- Bronx",,,,,"POINT (40.8167 -73.86046000000002)"
"2019","320700011379","X379","Jill Chaifetz Transfer High School","320700011379","DOE","Transfer School","High school","09,10,11,12,SE","09,10,11,12","2007-07-01T00:00:00.000","Open","X184","778 FOREST AVENUE","NY","1010437","237567","40.818703","-73.905389","201","17","7700","2026550030","BX34","Melrose South-Mott Haven North","Carlos Benitez","I.A. Principal","718-402-2429","718-402-3120","7","HS10",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 6- Bronx",,"HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","POINT (40.818703 -73.90538900000001)"
"2019","310600861073","M265","Success Academy Charter School - Washington Height","310600861073","Charter","General Academic","Elementary","0K,01,02,03,04,05,SE","0K,01,02,03,04,05","2014-07-01T00:00:00.000","Open","M387","701 FORT WASHINGTON AVENUE","NY","1002079","251924","40.85765","-73.935231","112","10","27300","1021790511","MN35","Washington Heights North","Kelsey Depalo","PRINCIPAL","646-558-0027","646-219-4756","6",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.85765 -73.935231)"
"2019","321000010033","X033","P.S. 033 Timothy Dwight","321000010033","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1899-07-01 00:00:00.000","Open","X033","2424 JEROME AVENUE","NY","1011560","253233","40.861698","-73.901268","205","14","23900","2031880020","BX40","Fordham South","LYNETTE SANTOS","Principal","718-584-3926","718-584-7004","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 4- Bronx",,,,,"POINT (40.861698 -73.901268)"
"2019","320900010070","X070","P.S. 070 Max Schoenfeld","320900010070","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1925-07-01T00:00:00.000","Open","X070","1691 WEEKS AVENUE","NY","1009685","246869","40.844236","-73.90807","204","15","22902","2027930028","BX41","Mount Hope","KERRY CASTELLANO","Principal","718-583-6000","718-583-6006","9","X809","COMMUNITY SCHOOL DISTRICT 09","RODRIGUEZ-ROSARIO, LETICIA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 8- Bronx",,,,,"POINT (40.844236 -73.90807)"
"2019","310400861046","M168","East Harlem Scholars Academy Charter School II","310400861046","Charter","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05","2013-07-01T00:00:00.000","Open","M013","1573 MADISON AVENUE","NY","998513","228429","40.793649","-73.948488","111","8","17401","1016120050","MN33","East Harlem South","Desree Cabrall-Njenga","Principal","212-348-2518","212-348-2848","4",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.793649 -73.948488)"
"2019","310500011499","M499","Frederick Douglass Academy","310500011499","DOE","General Academic","Secondary School","06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12","1996-06-05T00:00:00.000","Open","M010","2581 7TH AVENUE","NY","1002033","239485","40.823988","-73.935746","110","9","23600","1020160100","MN03","Central Harlem North-Polo Grounds","Ayisha Fullerton","Principal","212-491-4107","212-491-4414","5","M805","COMMUNITY SCHOOL DISTRICT 05","RUX, DANIKA","Field Support Center - Manhattan","CHU, YUET","School Support Team 6- Manhattan",,,,,"POINT (40.823988 -73.935746)"
"2019","310200011570","M570","Satellite Academy High School","310200011570","DOE","Transfer School","High school","09,11","09,10,11,12","1999-07-01T00:00:00.000","Open","M920","120 WEST  30 STREET","NY","986865","211584","40.747425","-73.990562","105","3","9500","1008050071","MN17","Midtown-Midtown South","Steven Zbaida","Principal","646-674-2800","646-674-2829","2","HS10",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 2- Manhattan",,"HS10","HS Network 10 Superintendent Office","ROTONDO, PAUL","POINT (40.747425 -73.990562)"
"2019","321000011237","X237","The Marie Curie School for Medicine, Nursing, and","321000011237","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2004-09-08T00:00:00.000","Open","X143","120 WEST 231 STREET","NY","1011472","258311","40.875636","-73.901565","208","14","27300","2032530141","BX28","Van Cortlandt Village","RODNEY FISHER","Principal","718-432-6491","718-796-7051","10","HS02",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 1- Bronx",,"HS02","HS Network 02 Superintendent Office","STAPLE, CARRON","POINT (40.875636 -73.901565)"
"2019","320900860962","X461","Metropolitan Lighthouse Charter School","320900860962","Charter","General Academic","K-12 all grades","0K,01,02,03,04,05,06,07,08,09,10","0K,01,02,03,04,05,06,07,08,09,10,11,12","2010-06-01T00:00:00.000","Open","XAWW","180 West 165th street","NY","1003677","243349","40.834599","-73.929797","204","8","18900","0","BX26","Highbridge","Tyra Williams/Kurt Davidson","Principal","718-893-0640","718-893-0675","9",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.834599 -73.929797)"
"2019","310100010363","M363","Neighborhood School","310100010363","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","M063","121 EAST  3 STREET","NY","988071","203210","40.72444","-73.986214","103","2","3200","1004310014","MN22","East Village","Dyanthe Spielberg","Principal","212-387-0195","212-387-0198","1","M801","COMMUNITY SCHOOL DISTRICT 01","CHAN, CARRY","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan",,,,,"POINT (40.72444 -73.986214)"
"2019","310600011540","M540","A. Philip Randolph Campus High School","310600011540","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","1926-07-01T00:00:00.000","Open","M540","443 WEST 135 STREET","NY","998109","237483","40.8185","-73.949929","109","9","21703","1019570078","MN06","Manhattanville","David Fanning","Principal","212-690-6800","212-690-6805","6","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 2- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.8185 -73.94992900000001)"
"2019","320900010011","X011","P.S. 011 Highbridge","320900010011","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","0K,01,02,03,04","1890-07-01 00:00:00.000","Open","X011","1257 OGDEN AVENUE","NY","1004756","245209","40.839693","-73.92589","204","16","20100","2025290081","BX26","Highbridge","JOAN KONG","Principal","718-681-7553","718-681-7711","9","X809","COMMUNITY SCHOOL DISTRICT 09","RODRIGUEZ-ROSARIO, LETICIA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 8- Bronx",,,,,"POINT (40.839693 -73.92589)"
"2019","321000010360","X360","P.S. 360","321000010360","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1999-07-01T00:00:00.000","Open","X360","2880 KINGSBRIDGE TERRACE","NY","1011293","257976","40.874717","-73.902214","208","14","27300","2032530341","BX28","Van Cortlandt Village","Iris Aldea Pollack","Principal","718-548-1511","718-548-1536","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 3- Bronx",,,,,"POINT (40.874717 -73.902214)"
"2019","321000010003","X003","P.S. 3 Raul Julia Micro Society","321000010003","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1995-07-01T00:00:00.000","Open","X003","2100 LAFONTAINE AVENUE","NY","1014231","249022","40.850131","-73.89163","206","15","37504","2030620043","BX17","East Tremont","DENISE BROWN","Principal","718-584-1899","718-584-3590","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 4- Bronx",,,,,"POINT (40.850131 -73.89163)"
"2019","320800861044","X380","Success Academy Charter School - Bronx 3","320800861044","Charter","General Academic","Elementary","0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05","2013-07-01T00:00:00.000","Open","X145","1000 TELLER AVENUE","NY","1008032","240747","40.827438","-73.914067","204","16","17300","2024240001","BX14","East Concourse-Concourse Village","Dan Rojas","Principal","646-790-2145","914-462-3363","9",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.827438 -73.914067)"
"2019","320900010457","X457","Sheridan Academy for Young Leaders","320900010457","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05","2009-07-01T00:00:00.000","Open","X090","1116 SHERIDAN AVENUE","NY","1007073","242362","40.831873","-73.917526","204","16","18102","2024560100","BX14","East Concourse-Concourse Village","LISETTE FEBUS","Principal","718-538-3411","718-538-3499","9","X809","COMMUNITY SCHOOL DISTRICT 09","RODRIGUEZ-ROSARIO, LETICIA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 8- Bronx",,,,,"POINT (40.831873 -73.917526)"
"2019","320800010123","X123","J.H.S. 123 James M. Kieran","320800010123","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1953-07-01T00:00:00.000","Open","X123","1025 MORRISON AVENUE","NY","1019077","239868","40.824989","-73.874162","209","18","4800","2037180001","BX55","Soundview-Bruckner","RICHARD HALLENBECK JR","Principal","718-328-2105","718-328-8561","8","X808","COMMUNITY SCHOOL DISTRICT 08","TOBIA, ERIKA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 7- Bronx",,,,,"POINT (40.82498900000001 -73.874162)"
"2019","320700011548","X548","Careers in Sports High School","320700011548","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2003-07-01T00:00:00.000","Open","X790","730 CONCOURSE VILLAGE WEST","NY","1005737","238701","40.821828","-73.922366","204","17","6100","2024430078","BX14","East Concourse-Concourse Village","Johanny Garcia","Principal","718-292-7110","718-292-5565","7","HS09",,,"Field Support Center - Bronx","SAFFER, NANCY","School Support Team 1- Bronx",,"HS09","HS Network 09 Superintendent Office","ALCOFF, MICHAEL","POINT (40.821828 -73.922366)"
"2019","310200011551","M551","Urban Assembly New York Harbor School","310200011551","DOE","Career Technical","High school","09,10,11,12,SE","09,10,11,12","2010-07-01T00:00:00.000","Open","M877","10 SOUTH STREET, SLIP 7","NY","978997","190478","40.689493","-74.018941","101","1","500","1000010010","MN99","park-cemetery-etc-Manhattan","JEFFREY CHETIRKO","Principal","212-458-0800","212-458-0801","2","HS03",,,"Affinity Group",,"School Support Team 4- Affinity Group",,"HS03","HS Network 03 Superintendent Office","WALSH, FRED","POINT (40.689493 -74.018941)"
"2019","310300010862","M862","Mott Hall II","310300010862","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","2001-07-01T00:00:00.000","Open","M165","234 WEST 109 STREET","NY","993677","231707","40.802653","-73.965949","107","7","19500","1018800013","MN09","Morningside Heights","Marlon Lowe","Principal","212-678-2960","212-222-0560","3","M803","COMMUNITY SCHOOL DISTRICT 03","ALTSCHUL, ILENE","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.802653 -73.965949)"
"2019","310200010167","M167","J.H.S. 167 Robert F. Wagner","310200010167","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1956-07-01T00:00:00.000","Open","M167","220 EAST  76 STREET","NY","995931","220373","40.771541","-73.957827","108","4","13400","1014300005","MN31","Lenox Hill-Roosevelt Island","Jennifer Rehn","Principal","212-535-8610","212-472-9385","2","M802","COMMUNITY SCHOOL DISTRICT 02","CHUMNEY, DONALDA","Field Support Center - Manhattan","CHU, YUET","School Support Team 4- Manhattan",,,,,"POINT (40.771541 -73.957827)"
"2019","310500011148","M148","Eagle Academy for Young Men of Harlem","310500011148","DOE","General Academic","Secondary School","06,07,08,09,10,11,SE","06,07,08,09,10,11,12","2013-07-01T00:00:00.000","Open","M136","6 EDGECOMBE AVENUE","NY","998878","237020","40.817228","-73.947151","110","9","22102","1019600001","MN03","Central Harlem North-Polo Grounds","Mahaliel H. Bethea II","Principal","212-694-6051","212-694-6053","5","M805","COMMUNITY SCHOOL DISTRICT 05","RUX, DANIKA","Field Support Center - Manhattan","CHU, YUET","School Support Team 5- Manhattan",,,,,"POINT (40.817228 -73.94715100000002)"
"2019","321000011284","X284","Bronx School of Law and Finance","321000011284","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2004-09-08T00:00:00.000","Open","X475","99 TERRACE VIEW AVENUE","NY","1008396","258943","40.877379","-73.912686","208","10","30900","1022150080","MN01","Marble Hill-Inwood","Jessica Goring","Principal","718-561-0113","718-561-0595","10","HS07",,,"Affinity Group",,"School Support Team 2- Affinity Group",,"HS07","HS Network 07 Superintendent Office","CINTRON, RICHARD","POINT (40.877379 -73.912686)"
"2019","320900010303","X303","I.S. X303 Leadership & Community Service","320900010303","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1999-07-01T00:00:00.000","Open","X082","1700 MACOMBS ROAD","NY","1007706","248754","40.849416","-73.915217","205","14","21502","2028660070","BX36","University Heights-Morris Heights","MONICA BRADY","I.A. Principal","718-583-5466","718-583-2463","9","X809","COMMUNITY SCHOOL DISTRICT 09","RODRIGUEZ-ROSARIO, LETICIA","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 8- Bronx",,,,,"POINT (40.849416 -73.915217)"
"2019","320700010030","X030","P.S. 030 Wilton","320700010030","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1924-07-01T00:00:00.000","Open","X030","510 EAST 141 STREET","NY","1007111","234037","40.809023","-73.917417","201","8","3900","2022670015","BX39","Mott Haven-Port Morris","Debra Michaux","Principal","718-292-8817","718-292-3962","7","X807","COMMUNITY SCHOOL DISTRICT 07","ALVAREZ, RAFAEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 6- Bronx",,,,,"POINT (40.809023 -73.917417)"
"2019","310200011533","M533","Union Square Academy for Health Sciences","310200011533","DOE","Career Technical","High school","09,10,11,12,SE","09,10,11,12","2012-07-01T00:00:00.000","Open","M460","40 IRVING PLACE","NY","987835","207189","40.735361","-73.987064","106","2","5000","1008720057","MN21","Gramercy","Bernardo Ascona","Principal","212-253-3110","212-253-3108","2","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.735361 -73.987064)"
"2019","310200011427","M427","Manhattan Academy For Arts & Language","310200011427","DOE","General Academic","High school","09,10,11,12,SE","09,10,11,12","2010-07-01T00:00:00.000","Open","M620","111 EAST  33RD STREET","NY","989495","211251","40.74651","-73.98107","105","2","7200","1008897501","MN20","Murray Hill-Kips Bay","Siv Boletsis","Principal","212-576-0502","212-576-0518","2","HS04",,,"Field Support Center - Manhattan","CHU, YUET","School Support Team 1- Manhattan",,"HS04","HS Network 04 Superintendent Office","ORLEN, VIVIAN","POINT (40.74651 -73.98107)"
"2019","321000010008","X008","P.S. 008 Isaac Varian","321000010008","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","0K,01,02,03,04,05","1958-07-01T00:00:00.000","Open","X008","3010 BRIGGS AVENUE","NY","1016514","257087","40.872259","-73.883339","207","11","41500","2032990060","BX05","Bedford Park-Fordham North","CLAUDIA TAHIRAJ-SADRIJA","Principal","718-584-3043","718-584-7376","10","X810","COMMUNITY SCHOOL DISTRICT 10","HULLA, MARIBEL","Field Support Center - Bronx","SAFFER, NANCY","School Support Team 3- Bronx",,,,,"POINT (40.87225900000001 -73.883339)"
"2019","310100010188","M188","P.S. 188 The Island School","310100010188","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08","1904-07-01T00:00:00.000","Open","M188","442 EAST HOUSTON STREET","NY","990520","201552","40.719888","-73.97738","103","2","2000","1003560100","MN28","Lower East Side","Suany Ramos","Principal","212-677-5710","212-228-3007","1","M801","COMMUNITY SCHOOL DISTRICT 01","CHAN, CARRY","Field Support Center - Manhattan","CHU, YUET","School Support Team 3- Manhattan",,,,,"POINT (40.719888000000005 -73.97738)"
"2019","307500014256","Q256","P.S. Q256","307500014256","DOE","Special Education","K-12 all grades","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","1999-07-01T00:00:00.000","Open","L001","525 CONVENT ROAD","NY",,,,,"0","0",,"0",,,"Robert Lopez","Principal","516-921-0450","516-921-4045","0","DA75","CITYWIDE SPECIAL EDUCATION","LOUISSAINT, KETLER","D75 CITYWIDE FSC","Tillman Roberto","Children First Network 754",,,,,
"2019","320900860839","X705","Family Life Academy Charter School","320900860839","Charter","General Academic","Elementary","0K,01,02,03,04,05","0K,01,02,03,04,05","2000-07-01T00:00:00.000","Open","XABC","14 WEST 170 STREET","NY","1006755","245418","40.840262","-73.918665","204","16","21900","2028560029","BX26","Highbridge","Evelyn Centeno","PRINCIPAL","718-410-8100","718-410-8800","9",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.840262 -73.918665)"
"2019","320700861106","X586","Brilla Veritas Charter School","320700861106","Charter","General Academic","Elementary","0K,01","0K,01,02,03,04","2017-04-27T00:00:00.000","Open","XAEI","500 COURTLANDT AVENUE","NY","1006462","236338","40.81534","-73.919754","201","8","6500","2023270031","BX34","Melrose South-Mott Haven North","Zoranlly Castillo","PRINCIPAL","917-924-0258","718-585-5800","7",,"OFFICE OF CHARTER SCHOOLS",,,,,,,,,"POINT (40.81534 -73.919754)"
