"bin","housenumber","streetname","borough","cbno","job_number","workpermitnumber","ahv_permit_number","ahvpermitstatus","variancetype","reasonforvariance","variance_start_date_time","variance_end_date_time","residence_200ft","enclosed_work","demolition","crane_use","latitude","longitude","community_board","council_district","census_tract","bbl","nta"
"4623923","431B","BEACH  129 STREET","QUEENS","414",,"Q00585916-I1-GC","Q9998953","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-04-30T09:00:00.000","2022-04-30T17:00:00.000","false","false","false","false","40.578502","-73.84947","14","32","93401",,"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"1081017","420","FIFTH AVENUE","MANHATTAN","105",,"M00602249-I1-GC","M4552481","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-05-09T18:00:00.000","2022-05-10T03:00:00.000","false","true","false","false","40.750809","-73.982845","5","4","84","1008397501","Midtown-Midtown South"
"1001652","199","CHURCH STREET","MANHATTAN","101","M00151843-I1","M00151843-I1-SH","M6412678","AHV Permit Issued","Initial","Public Safety","2019-05-23T21:00:00.000","2019-05-24T05:30:00.000","true","false","false","false","40.716182","-74.00694","1","1","33","1001510010","SoHo-TriBeCa-Civic Center-Little Italy"
"3153179","457","86 STREET","BROOKLYN","310",,"B00537528-I1-GC-CX","B6805004","AHV Permit Issued","Initial","Public Safety","2021-10-23T07:00:00.000","2021-10-23T17:00:00.000","true","true","false","false","40.622086","-74.027168","10","43","138","3060350056","Bay Ridge"
"1022557","24-50","FDR DRIVE","MANHATTAN","106",,"M00290662-I1-ST","M1613384","AHV Permit Rejected","Initial","Public Safety","2021-01-21T18:00:00.000","2021-01-22T00:00:00.000","true","true","false","false","40.736683","-73.97455","6","4","62","1009910059","Murray Hill-Kips Bay"
"1085735","200","PARK AVENUE","MANHATTAN","105",,"M00599916-I1-GC","M3844270","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-02-17T18:00:00.000","2022-02-18T02:00:00.000","true","true","false","false","40.754162","-73.976557","5","4","92","1012809010","Turtle Bay-East Midtown"
"1000855","7","HANOVER SQUARE","MANHATTAN","101",,"M00476855-I1-GC","M2020694","AHV Permit Rejected","Initial","Public Safety","2021-05-08T07:00:00.000","2021-05-08T15:30:00.000","true","true","false","false","40.70447","-74.009406","1","1","9","1000300019","Battery Park City-Lower Manhattan"
"2119099","700","EXTERIOR STREET","BRONX","204",,"X00467618-I1-GC","X9781593","AHV Permit Issued","Renewal","Public Safety","2021-10-09T22:00:00.000","2021-10-10T07:00:00.000","false","true","false","false","40.823467","-73.931","4","8","63","2023570045","West Concourse"
"5070651","32","ELVERTON AVENUE","STATEN ISLAND","503",,"S00566609-I1-SH","S6922755","AHV Permit Issued","Initial","City Construction Project","2021-10-23T07:00:00.000","2021-10-23T16:00:00.000","true","false","true","false","40.557876","-74.155356","3","51","14608","5054440012","Great Kills"
"1024656","5","TIMES SQUARE","MANHATTAN","105",,"M00605524-I1-GC","M4581224","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-02-03T18:00:00.000","2022-02-04T02:00:00.000","true","true","true","false","40.755709","-73.987208","5","3","113","1010130029","Midtown-Midtown South"
"1034195","1100","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00449412-I1-MS, M00449407-I1-MS, M00437113-I1-MS, M00449421-I1-MS, M00449417-I1-MS","M9368944","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-02-26T07:00:00.000","2022-02-26T16:00:00.000","false","true","false","false","40.754937","-73.984036","5","4","96","1012580001","Midtown-Midtown South"
"1071457","399","PARK AVENUE","MANHATTAN","105",,"M00524940-I1-GC","M9825899","AHV Permit Issued","Initial","Public Safety","2021-11-04T18:00:00.000","2021-11-04T22:00:00.000","true","true","false","false","40.759541","-73.972245","5","4","100","1013087502","Turtle Bay-East Midtown"
"1088910","11","MADISON AVENUE","MANHATTAN","105",,"M00622377-I1-GC, M00624569-I1-MS, M00624740-I1-ST","M4991012","AHV Permit Rejected","Initial","Public Safety","2022-05-12T18:00:00.000","2022-05-12T20:00:00.000","true","false","false","false","40.741617","-73.987449","5","2","56","1008547501","Hudson Yards-Chelsea-Flatiron-Union Square"
"1010356","550","WASHINGTON STREET","MANHATTAN","102",,"M00528300-I1-GC, M00528359-I1-MS, M00570608-I1-GC, M00626946-I1-GC, M00550032-I1-ST","M8911305","AHV Permit Issued","Initial","Public Safety","2022-06-11T06:00:00.000","2022-06-11T18:00:00.000","true","true","false","false","40.728158","-74.009521","2","3","37","1005967502","SoHo-TriBeCa-Civic Center-Little Italy"
"1014948","155","WEST   23 STREET","MANHATTAN","104",,"M00532499-I1-GC, M00527097-I1-ST, M00492079-I1-GC, M00487383-I1-GC, M00486480-I1-MS","M7615147","AHV Permit Issued","Initial","Public Safety","2021-08-12T18:00:00.000","2021-08-13T02:00:00.000","true","true","false","false","40.743556","-73.994323","4","3","91","1007990012","Hudson Yards-Chelsea-Flatiron-Union Square"
"1001109","33","MAIDEN LANE","MANHATTAN","101","M00041741-I1","M00041741-I1-SH","M8293393","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2019-03-19T18:00:00.000","2019-03-20T04:00:00.000","true","false","false","false","40.708807","-74.008678","1","1","1502","1000670023","Battery Park City-Lower Manhattan"
"5159763","365","BAY STREET","STATEN ISLAND","501",,"S00481247-I1-GC","S7158840","AHV Permit Issued","Initial","Public Safety","2021-07-22T06:00:00.000","2021-07-22T07:00:00.000","true","true","false","false","40.633326","-74.075253","1","49","21","5004880071","Stapleton-Rosebank"
"1080644","620","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00538263-I1-GC, M00538267-I1-MS","M2054405","AHV Permit Issued","Initial","Public Safety","2021-07-27T18:00:00.000","2021-07-28T02:00:00.000","true","true","false","false","40.740081","-73.994843","5","3","54","1008207505","Hudson Yards-Chelsea-Flatiron-Union Square"
"1071457","399","PARK AVENUE","MANHATTAN","105",,"M00579832-I1-ST, M00579696-I1-GC","M6161899","AHV Permit Issued","Initial","Public Safety","2022-03-30T18:00:00.000","2022-03-31T01:00:00.000","true","true","false","false","40.759541","-73.972245","5","4","100","1013087502","Turtle Bay-East Midtown"
"3348833","519","GATEWAY DRIVE","BROOKLYN","305",,"B00477125-I1-GC","B2142172","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2021-08-23T23:00:00.000","2021-08-24T07:00:00.000","false","true","false","false","40.651356","-73.86881","5","42","1070","3044520520","East New York"
"1010379","375","HUDSON STREET","MANHATTAN","102",,"M00542319-I1-GC","M8031608","AHV Permit Issued","Initial","Public Safety","2021-10-21T18:00:00.000","2021-10-22T07:00:00.000","true","true","true","false","40.728435","-74.007151","2","3","37","1005990064","SoHo-TriBeCa-Civic Center-Little Italy"
"1006375","340","EAST    9 STREET","MANHATTAN","103",,"M00474734-I1-GC","M4176950","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2021-07-31T10:00:00.000","2021-07-31T16:00:00.000","true","true","false","false","40.728739","-73.986214","3","2","38","1004500024","East Village"
"1001673","52","DUANE STREET","MANHATTAN","101",,"M00506317-I1-GC","M4157174","AHV Permit Issued","Initial","Public Safety","2022-02-19T08:00:00.000","2022-02-19T18:00:00.000","false","false","false","true","40.714387","-74.003773","1","1","31","1001550003","SoHo-TriBeCa-Civic Center-Little Italy"
"1081141","754","5 AVENUE","MANHATTAN","105",,"M00501368-I1-SH","M5510634","AHV Permit Issued","Initial","Public Safety","2021-05-17T18:00:00.000","2021-05-18T06:00:00.000","true","false","false","false","40.763469","-73.973615","5","4","11201","1012730033","Midtown-Midtown South"
"1081694","530","FIRST AVENUE","MANHATTAN","106",,"M00580428-I1-GC","M3039386","AHV Permit Issued","Renewal","Public Safety","2022-03-19T07:00:00.000","2022-03-20T06:59:00.000","true","true","false","false","40.741659","-73.975049","6","4","62","1009627501","Murray Hill-Kips Bay"
"1015265","1407","BROADWAY","MANHATTAN","105",,"M00724162-I1-GC","M5559407","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-05-28T07:00:00.000","2022-05-28T14:30:00.000","false","true","true","false","40.753439","-73.987151","5","3","113","1008140015","Midtown-Midtown South"
"2029113","65","METROPOLITAN OVAL","BRONX","209",,"X00618188-I1-GC","X9692812","AHV Permit Issued","Renewal","Public Safety","2022-02-03T18:00:00.000","2022-02-03T23:00:00.000","true","true","true","false","40.838195","-73.860578","9","18","21602","2039377501","Parkchester"
"1079063","123","WILLIAM STREET","MANHATTAN","101",,"M00594622-I1-GC","M2083639","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-01-10T18:00:00.000","2022-01-11T02:00:00.000","true","true","true","false","40.709112","-74.006893","1","1","1502","1000780004","Battery Park City-Lower Manhattan"
"1046429","15","EAST   79 STREET","MANHATTAN","108",,"M00495870-I1-GC","M3735810","AHV Permit Issued","Renewal","Public Safety","2021-10-13T18:00:00.000","2021-10-13T21:00:00.000","true","true","false","false","40.776701","-73.962991","8","4","142","1014910008","Upper East Side-Carnegie Hill"
"1024686","3","TIMES SQUARE","MANHATTAN","105",,"M00443725-I1-SF, M00443725-I1-SH","M7958794","AHV Permit Issued","Initial","Public Safety","2022-02-02T22:00:00.000","2022-02-03T06:30:00.000","false","true","false","false","40.756376","-73.986713","5","3","119","1010140033","Midtown-Midtown South"
"1035427","589","FIFTH AVENUE","MANHATTAN","105",,"M00555915-I1-GC, M00513270-I1-MS, M00510766-I1-GC","M3817915","AHV Permit Issued","Initial","Public Safety","2021-10-16T06:00:00.000","2021-10-16T18:00:00.000","true","true","false","false","40.757039","-73.97778","5","4","94","1012830069","Midtown-Midtown South"
"3002558","210","JORALEMON STREET","BROOKLYN","302",,"B00641149-I1-GC","B7465028","AHV Permit Issued","Renewal","City Construction Project","2022-06-08T18:00:00.000","2022-06-09T02:30:00.000","false","true","false","false","40.692459","-73.990491","2","33","9","3002667501","Brooklyn Heights-Cobble Hill"
"1000005","1","NEW YORK PLAZA","MANHATTAN","101",,"M00652630-I1-GC, M00653143-I1-MS","M5761013","AHV Permit Issued","Renewal","Public Safety","2022-05-27T18:00:00.000","2022-05-28T02:00:00.000","true","true","false","false","40.70254","-74.012562","1","1","9","1000047501","Battery Park City-Lower Manhattan"
"1036467","599","LEXINGTON AVENUE","MANHATTAN","106",,"M00339361-I1-MS","M9910818","AHV Permit Issued","Renewal","Public Safety","2021-03-17T18:00:00.000","2021-03-18T02:00:00.000","true","true","false","false","40.758275","-73.971055","6","4","100","1013070023","Turtle Bay-East Midtown"
"1009216","4","UNION SQUARE SOUTH","MANHATTAN","102",,"140908301-01-EW-OT, M00354611-I1-MS","M8066200","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2020-09-16T21:00:00.000","2020-09-17T07:00:00.000","true","true","false","false","40.734385","-73.991654","2","2","61","1005650011","West Village"
"1015478","150","FIFTH AVENUE","MANHATTAN","105",,"M00229454-I1-ST, M00233406-I1-ST, 123746198-01-EW-OT, 123746205-01-EW-OT, 123747730-01-EW-OT","M1976057","AHV Permit Issued","Initial","Public Safety","2020-12-21T18:00:00.000","2020-12-21T22:00:00.000","true","false","false","false","40.739507","-73.99108","5","3","54","1008210041","Hudson Yards-Chelsea-Flatiron-Union Square"
"3057470","625","ATLANTIC AVENUE","BROOKLYN","302",,"B00246051-I1-ST","B3682774","AHV Permit Issued","Initial","Public Safety","2022-04-13T18:00:00.000","2022-04-14T04:00:00.000","true","true","false","false","40.683457","-73.975616","2","35","35","3020020001","Fort Greene"
"3056874","170","GATES AVENUE","BROOKLYN","302",,"B00586082-I1-SE","B7335693","AHV Permit Issued","Renewal","City Construction Project","2022-02-26T08:00:00.000","2022-02-26T16:00:00.000","true","false","false","false","40.68505","-73.960659","2","35","231","3019830010","Clinton Hill"
"1046252","510","EAST   62 STREET","MANHATTAN","108",,"M00559123-I1-GC, M00450660-I1-GC, M00450681-I1-GC","M9007718","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-01-28T19:00:00.000","2022-01-29T03:30:00.000","true","false","true","false","40.760459","-73.958196","8","5","10602","1014740040","Lenox Hill-Roosevelt Island"
"1041674","934","5 AVENUE","MANHATTAN","108",,"M00593139-I1-MS","M9033704","AHV Permit Issued","Initial","Public Safety","2022-05-14T08:00:00.000","2022-05-14T14:00:00.000","true","true","false","false","40.774086","-73.965834","8","4","130","1013890071","Upper East Side-Carnegie Hill"
"1035471","477","MADISON AVENUE","MANHATTAN","105",,"M00305904-I1-MS","M3202114","AHV Permit Issued","Initial","Public Safety","2020-10-11T07:00:00.000","2020-10-11T19:00:00.000","false","true","false","false","40.758715","-73.974956","5","4","102","1012870021","Midtown-Midtown South"
"1059727","3280","BROADWAY","MANHATTAN","109",,"M00487027-I1-GC","M8662121","AHV Permit Issued","Initial","Public Safety","2021-07-29T22:00:00.000","2021-07-30T06:00:00.000","true","true","false","false","40.818391","-73.956313","9","7","219","1019860065","Manhattanville"
"1079877","462","BROADWAY","MANHATTAN","102",,"M00641946-I1-GC, M00641945-I1-MS, M00641949-I1-ST","M1110039","AHV Permit Issued","Initial","Public Safety","2022-09-06T18:00:00.000","2022-09-06T22:00:00.000","true","true","false","false","40.72103","-74.000487","2","1","45","1004730001","SoHo-TriBeCa-Civic Center-Little Italy"
"1035421","270","PARK AVENUE","MANHATTAN",,,,"M7395479","Approved","Initial","Construction activities with minimal noise impact","2022-06-17T18:00:00.000","2022-06-17T23:59:00.000","false","false","false","true","40.755641","-73.975109","5","4","94","1012830021","Midtown-Midtown South"
"3339304","337","74 STREET","BROOKLYN","310",,"B00584296-I1-GC-CX","B1454514","AHV Permit Issued","Initial","City Construction Project","2022-05-27T18:00:00.000","2022-05-27T23:59:00.000","true","true","true","false","40.631898","-74.026398","10","43","66","3059180027","Bay Ridge"
"1015500","160","5 AVENUE","MANHATTAN","105",,"M00464646-I1-GC","M9138789","AHV Permit Issued","Renewal","Public Safety","2021-06-08T18:00:00.000","2021-06-09T00:00:00.000","true","true","false","false","40.740177","-73.990589","5","3","54","1008227507","Hudson Yards-Chelsea-Flatiron-Union Square"
"1015500","160","5 AVENUE","MANHATTAN","105",,"M00497784-I1-GC","M9399530","AHV Permit Issued","Initial","Public Safety","2021-04-27T20:01:00.000","2021-04-28T00:00:00.000","true","true","false","false","40.740177","-73.990589","5","3","54","1008227507","Hudson Yards-Chelsea-Flatiron-Union Square"
"3118557","1070","FLATBUSH AVENUE","BROOKLYN","314",,"B00650192-I1-GC","B2279717","AHV Permit Issued","Initial","City Construction Project","2022-05-25T18:00:00.000","2022-05-26T02:00:00.000","true","true","true","false","40.644512","-73.95798","14","40","514","3051520012","Flatbush"
"1015540","20","WEST 22 STREET","MANHATTAN","105","M00198456-I1","M00198456-I1-ST","M8241533","AHV Permit Issued","Initial","Public Safety","2020-01-25T08:00:00.000","2020-01-25T17:00:00.000","true","false","false","false","40.741253","-73.990978","5","3","58","1008230055","Hudson Yards-Chelsea-Flatiron-Union Square"
"1027059","530","WEST 55 STREET","MANHATTAN","104","M00260556-I1","M00260556-I1-FN","M5621944","AHV Permit Issued","Initial","Public Safety","2019-12-28T08:00:00.000","2019-12-28T17:00:00.000","true","false","false","false","40.768258","-73.990588","4","6","135","1010830015","Clinton"
"2086823","2280","AQUEDUCT AVENUE","BRONX","207",,"X00605810-I1-FN, X00605810-I1-SF, X00605810-I1-SH","X3480558","AHV Permit Issued","Renewal","City Construction Project","2022-12-09T18:00:00.000","2022-12-09T23:59:00.000","true","false","false","false","40.859686","-73.906495","7","14","253","2032090001","Kingsbridge Heights"
"1022709","1271","AVENUE OF THE AMERICAS","MANHATTAN","105",,"140900960-01-EW-OT, 140909284-01-AL, M00344197-I1-ST, M00344310-I1-MS, M00344315-I1-MS","M6660599","AHV Permit Rejected","Initial","Public Safety","2020-12-30T18:00:00.000","2020-12-31T06:00:00.000","true","true","false","false","40.760289","-73.980157","5","4","131","1010030029","Midtown-Midtown South"
"1026318","10","COLUMBUS CIRCLE","MANHATTAN","104",,"140897144-01-EW-OT, M00341663-I1-MS, 140897199-01-EW-OT","M8061910","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-03-05T18:00:00.000","2021-03-05T22:00:00.000","true","true","false","false","40.768244","-73.982339","4","3","145","1010497501","Lincoln Square"
"1035464","320","PARK AVENUE","MANHATTAN","105",,"M00448751-I1-GC","M4940032","AHV Permit Issued","Renewal","Public Safety","2021-06-30T18:00:00.000","2021-07-01T02:00:00.000","true","true","false","false","40.75745","-73.973798","5","4","102","1012860035","Midtown-Midtown South"
"3860897","445","GOLD STREET","BROOKLYN","302","B00237405-I1","B00237405-I1-MS","B2320606","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2020-03-05T18:00:00.000","2020-03-05T20:00:00.000","true","true","false","false","40.690833","-73.983452","2","33","15","3001497501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"4305214","125","BEACH  128 STREET","QUEENS","414",,"Q00668497-I1-GC","Q4818066","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-05-28T09:00:00.000","2022-05-28T17:00:00.000","true","true","false","false","40.574888","-73.846358","14","32","93401","4162380040","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"1024877","1740","BROADWAY","MANHATTAN","105",,"M00449585-I1-GC","M5853853","AHV Permit Issued","Renewal","Public Safety","2021-03-29T18:00:00.000","2021-03-30T03:00:00.000","true","true","true","false","40.765098","-73.982095","5","4","137","1010270020","Midtown-Midtown South"
"1090274","415","10 AVENUE","MANHATTAN",,,,"M2653630","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2021-08-09T00:00:00.000","2021-08-09T07:00:00.000","true","true","false","true","40.754074","-73.999513","4","3","99","1007050039","Hudson Yards-Chelsea-Flatiron-Union Square"
"1017019","2","PARK AVENUE","MANHATTAN","105",,"M00617175-I1-GC, M00617190-I1-MS","M9635839","AHV Permit Issued","Initial","Public Safety","2022-01-18T18:00:00.000","2022-01-19T02:00:00.000","true","true","false","false","40.746077","-73.982092","5","2","74","1008620029","Midtown-Midtown South"
"1085735","200","PARK AVENUE","MANHATTAN","105",,"M00483777-I1-GC","M1186710","AHV Permit Issued","Renewal","Public Safety","2021-10-19T18:00:00.000","2021-10-20T07:00:00.000","true","true","false","false","40.754162","-73.976557","5","4","92","1012809010","Turtle Bay-East Midtown"
"1085735","200","PARK AVENUE","MANHATTAN","105",,"M00448052-I1-GC","M4743371","AHV Permit Issued","Initial","Public Safety","2021-04-01T18:00:00.000","2021-04-02T02:00:00.000","false","true","true","false","40.754162","-73.976557","5","4","92","1012809010","Turtle Bay-East Midtown"
"3056874","170","GATES AVENUE","BROOKLYN","302",,"B00586082-I1-SE","B2390290","AHV Permit Issued","Renewal","City Construction Project","2022-11-10T18:00:00.000","2022-11-11T00:00:00.000","true","false","false","false","40.68505","-73.960659","2","35","231","3019830010","Clinton Hill"
"1000058","225","LIBERTY STREET","MANHATTAN","101",,"M00654799-I1-GC","M9446293","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-03-08T18:00:00.000","2022-03-09T02:00:00.000","false","true","true","false","40.711537","-74.015673","1","1","31703","1000160125","Battery Park City-Lower Manhattan"
"1003041","13","CROSBY STREET","MANHATTAN","102",,"M00466177-I1-GC","M1617636","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-05-14T07:00:00.000","2022-05-14T16:00:00.000","true","true","false","false","40.720017","-74.000209","2","1","45","1002330004","SoHo-TriBeCa-Civic Center-Little Italy"
"1014387","1","PENN PLAZA","MANHATTAN","105",,"M00559435-I1-GC","M4142774","AHV Permit Issued","Initial","Public Safety","2021-08-13T18:00:00.000","2021-08-14T02:30:00.000","true","true","false","false","40.751098","-73.992926","5","3","101","1007830070","Midtown-Midtown South"
"2120098","200","BAYCHESTER AVENUE","BRONX","210",,"X00681983-I1-GC","X4447003","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2022-03-23T19:00:00.000","2022-03-24T06:00:00.000","false","true","true","false","40.863929","-73.829482","10","12","46201","2051410006","Co-op City"
"4050460","97-45","QUEENS BOULEVARD","QUEENS","406",,"Q00624627-I1-GC","Q9930481","AHV Permit Rejected","Initial","Public Safety","2022-04-20T18:00:00.000","2022-04-21T02:00:00.000","true","true","true","false","40.729234","-73.859886","6","29","71701","4020910001","Rego Park"
"1036161","666","THIRD AVENUE","MANHATTAN","106",,"M00542604-I1-GC","M3070554","AHV Permit Issued","Renewal","Public Safety","2021-07-22T18:00:00.000","2021-07-23T02:00:00.000","true","true","true","false","40.751049","-73.974252","6","4","92","1012970033","Turtle Bay-East Midtown"
"1023157","787","SEVENTH AVENUE","MANHATTAN","105",,"M00587587-I1-GC, M00529145-I1-ST, M00422505-I1-MS","M7665188","AHV Permit Issued","Initial","Public Safety","2022-02-04T18:00:00.000","2022-02-05T02:00:00.000","true","true","true","false","40.761955","-73.982622","5","4","131","1010040020","Midtown-Midtown South"
"3257036","340","HUDSON WALK","BROOKLYN","302",,"B00325154-I1-SH, B00325291-I1-FN, B00352327-I1-SF","B6855122","AHV Permit Issued","Renewal","Public Safety","2021-11-23T18:00:00.000","2021-11-23T23:59:00.000","true","false","false","false","40.694185","-73.98163","2","35","15","3020500001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"1022693","1221","AVENUE OF THE AMERICAS","MANHATTAN","105",,"M00485005-I1-GC","M1507542","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2021-06-16T23:00:00.000","2021-06-17T06:59:00.000","true","false","true","false","40.759101","-73.982136","5","4","125","1010010029","Midtown-Midtown South"
"3175383","1666","WEST    9 STREET","BROOKLYN","311",,"B00465176-I1-GC","B2044585","AHV Permit Issued","Initial","Public Safety","2021-05-15T09:00:00.000","2021-05-15T17:00:00.000","true","true","false","false","40.606428","-73.982306","11","44","428","3066220034","Bensonhurst East"
"1000880","80","PINE STREET","MANHATTAN","101",,"M00484836-I1-GC","M2857381","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-10-16T09:00:00.000","2021-10-16T17:00:00.000","true","true","false","false","40.705892","-74.007181","1","1","7","1000390012","Battery Park City-Lower Manhattan"
"1000880","80","PINE STREET","MANHATTAN","101",,"M00484836-I1-GC","M6733024","AHV Permit Issued","Initial","Public Safety","2021-06-16T18:00:00.000","2021-06-16T22:00:00.000","true","false","false","false","40.705892","-74.007181","1","1","7","1000390012","Battery Park City-Lower Manhattan"
"2049380","2159","WHITE PLAINS ROAD","BRONX","211",,"X00573538-I1-GC","X5469470","AHV Permit Issued","Initial","Public Safety","2022-01-13T18:00:00.000","2022-01-13T23:00:00.000","true","true","true","false","40.855267","-73.867681","11","13","22401","2043170064","Pelham Parkway"
"3049858","787","LAFAYETTE AVENUE","BROOKLYN","303",,"B00602631-I1-FN","B3097179","AHV Permit Issued","Renewal","City Construction Project","2022-06-25T08:00:00.000","2022-06-25T16:00:00.000","true","false","false","false","40.691037","-73.941342","3","36","281","3017870014","Stuyvesant Heights"
"1090274","415","10 AVENUE","MANHATTAN","104",,"140979298-01-EW-OT, M00430797-I1-MS, 140979305-01-EW-OT, M00546756-I1-GC","M7579350","AHV Permit Issued","Initial","Public Safety","2022-06-06T18:00:00.000","2022-06-07T07:00:00.000","true","true","false","false","40.754074","-73.999513","4","3","99","1007050039","Hudson Yards-Chelsea-Flatiron-Union Square"
"1015862","350","FIFTH AVENUE","MANHATTAN","105",,"M00492912-I1-GC","M6286428","AHV Permit Issued","Renewal","Emergency Work","2022-05-09T18:00:00.000","2022-05-10T06:00:00.000","true","true","true","false","40.748276","-73.98469","5","4","76","1008350041","Midtown-Midtown South"
"1080686","24","WEST   25 STREET","MANHATTAN","105",,"M00631411-I1-GC-CX","M3160185","AHV Permit Rejected","Initial","Construction activities with minimal noise impact","2022-02-09T18:00:00.000","2022-02-09T23:59:00.000","false","true","true","false","40.743383","-73.990004","5","3","58","1008260057","Hudson Yards-Chelsea-Flatiron-Union Square"
"1001230","90","CHURCH STREET","MANHATTAN","101",,"M00477641-I1-SH","M9966843","AHV Permit Issued","Initial","Public Safety","2022-02-07T18:00:00.000","2022-02-08T06:00:00.000","true","false","false","false","40.712586","-74.009775","1","1","21","1000860001","SoHo-TriBeCa-Civic Center-Little Italy"
"1037165","110","EAST   59 STREET","MANHATTAN","105",,"M00536312-I1-GC","M4119995","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-10-13T18:00:00.000","2021-10-14T02:00:00.000","true","true","false","false","40.762631","-73.969157","5","4","11203","1013130005","Turtle Bay-East Midtown"
"1004627","600","EAST    6 STREET","MANHATTAN","103",,"M00550427-I1-SH, M00550419-I1-FN","M7089313","AHV Permit Issued","Initial","City Construction Project","2022-03-04T18:00:00.000","2022-03-04T23:59:00.000","true","false","false","false","40.724435","-73.981521","3","2","2601","1003870001","Lower East Side"
"1035732","390","PARK AVENUE","MANHATTAN","105",,"M00559636-I1-GC, M00563273-I1-MS, M00563194-I1-ST, M00562889-I1-MS, M00562858-I1-GC","M5177643","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-04-28T18:00:00.000","2022-04-29T06:59:00.000","false","true","true","false","40.75942","-73.972361","5","4","102","1012890036","Midtown-Midtown South"
"1024795","750","SEVENTH AVENUE","MANHATTAN","105",,"M00632359-I1-MS, M00632279-I1-GC","M2765479","AHV Permit Issued","Renewal","Construction activities with minimal noise impact","2022-06-01T18:00:00.000","2022-06-02T02:00:00.000","false","true","false","false","40.760753","-73.983525","5","4","125","1010210026","Midtown-Midtown South"
"3133854","6502","18 AVENUE","BROOKLYN","311",,"B00449996-I1-GC","B4541750","AHV Permit Issued","Initial","Construction activities with minimal noise impact","2021-04-17T09:00:00.000","2021-04-17T17:00:00.000","true","true","false","false","40.619039","-73.990289","11","38","252","3055530040","Bensonhurst West"
"1080257","809","WASHINGTON STREET","MANHATTAN","102",,"M00490269-I1-GC","M4170195","AHV Permit Issued","Initial","Public Safety","2021-07-26T18:00:00.000","2021-07-27T00:00:00.000","true","true","false","false","40.739159","-74.008058","2","3","79","1006430043","West Village"
"1081694","530","FIRST AVENUE","MANHATTAN","106",,"M00690292-I1-SH","M1296625","AHV Permit Issued","Renewal","Public Safety","2022-05-07T18:00:00.000","2022-05-08T07:00:00.000","true","false","true","false","40.741659","-73.975049","6","4","62","1009627501","Murray Hill-Kips Bay"
"1013547","5","PENN PLAZA","MANHATTAN","104",,"M00509025-I1-GC","M8368925","AHV Permit Issued","Initial","Public Safety","2022-05-01T09:00:00.000","2022-05-01T17:00:00.000","true","true","false","false","40.751861","-73.993716","4","3","103","1007570031","Hudson Yards-Chelsea-Flatiron-Union Square"
"1036467","599","LEXINGTON AVENUE","MANHATTAN","106",,"M00339361-I1-MS","M4790619","AHV Permit Issued","Renewal","Public Safety","2021-03-03T18:00:00.000","2021-03-04T02:00:00.000","true","true","false","false","40.758275","-73.971055","6","4","100","1013070023","Turtle Bay-East Midtown"
"1813346","1","MANHATTAN PLAZA","MANHATTAN","118",,"M00709134-I1-GC","M4357455","AHV Permit Issued","Initial","Public Safety","2022-04-19T18:00:00.000","2022-04-20T07:00:00.000","true","false","false","false",,,,,,,
"1090825","10","VANDERBILT AVENUE","MANHATTAN","105",,"M00359199-I1-MS","M4448797","AHV Permit Issued","Renewal","Public Safety","2020-12-02T18:00:00.000","2020-12-03T00:00:00.000","false","true","true","false","40.752732","-73.978138","5","4","94","1012770027","Midtown-Midtown South"
"3058187","9","METROTECH CENTER","BROOKLYN","302",,"B00607735-I1-GC","B3071154","AHV Permit Rejected","Initial","Public Safety","2022-04-07T18:00:00.000","2022-04-08T04:00:00.000","true","true","false","false","40.69486","-73.984674","2","33","15","3020470011","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
