"borough","restaurantname","seatingchoice","legalbusinessname","businessaddress","restaurantinspectionid","issidewaycompliant","isroadwaycompliant","skippedreason","inspectedon","agencycode","postcode","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta"
"Queens","Bareburger","both","3321 Astoria inc.","3321 31st ave","73169",,"Compliant",,"2021-12-27T11:28:30.000","DOT","11103","40.763473","-73.921644","1","22","63","4436884","4006250001","Astoria"
"Brooklyn","Beau","both","61 Withers Street LLC","61 Withers Street","73171",,"Under Review",,"2021-12-27T11:32:10.000","DOT","11211","40.716869","-73.950179","1","33","515","3338065","3027360031","North Side-South Side"
"Manhattan","BLUE","sidewalk","9th AVE BLUE LLC","856 9th Avenue","73173",,"Skipped Inspection","No Seating","2021-12-27T11:33:27.000","DOT","10019","40.767012","-73.986358","4","3","139","1025447","1010460064","Clinton"
"Queens","Bareburger Astoria","both","3321 Astoria Inc.","33-21 31st Ave","73174",,"Compliant",,"2021-12-27T11:33:46.000","DOT","11106","40.763473","-73.921644","1","22","63","4436884","4006250001","Astoria"
"Manhattan","AHIMSA GARDEN","both","SMALL PLATES INC","265  East 10th Street","73175",,"Skipped Inspection","No Seating","2021-12-27T11:37:32.000","DOT","10009","40.728357","-73.983425","3","2","34","1005957","1004380045","East Village"
"Manhattan","AHIMSA GARDEN","both","SMALL PLATES INC","265  East 10th Street","73176",,"Skipped Inspection","No Seating","2021-12-27T11:38:18.000","DOT","10009","40.728357","-73.983425","3","2","34","1005957","1004380045","East Village"
"Manhattan","AHIMSA GARDEN","both","SMALL PLATES INC","265  East 10th Street","73177",,"Pre-Removal",,"2021-12-27T11:38:18.000","DOT","10009","40.728357","-73.983425","3","2","34","1005957","1004380045","East Village"
"Queens","Vite vinosteria","both","PCPG llc","31-05 34th street","73178",,"Non-Compliant",,"2021-12-27T11:41:33.000","DOT","11106","40.762775","-73.921414","1","22","61","4000000","4006240038","Astoria"
"Brooklyn","PONTE VECCHIO","sidewalk","ENBA LLC","8810 4 AVENUE","73179",,"Compliant",,"2021-12-27T11:47:26.000","DOT","11209","40.621116","-74.029052","10","43","60","3154077","3060620037","Bay Ridge"
"Queens","Milkflower","both","Pano Dion Corp.","3412 31st Avenue","73180",,"Non-Compliant",,"2021-12-27T11:51:16.000","DOT","11106","40.763104","-73.920897","1","22","61","4008966","4006240042","Astoria"
"Manhattan","KASHKAVAL GARDEN","both","KASHKAVAL Kitchen LLC","852 9th Avenue","73181",,"Non-Compliant",,"2021-12-27T11:57:23.000","DOT","10019","40.766927","-73.986423","4","3","139","1025423","1010460004","Clinton"
"Queens","Hutch","both","3507 RSRT LLC","3507 31ST AVE","73182",,"Skipped Inspection","No Seating","2021-12-27T12:06:18.000","DOT","11106","40.762758","-73.920125","1","22","63","4009895","4006500006","Astoria"
"Queens","Zenon Taverna","both","HET Cyprus Corp","34-10 31 avenue","73183",,"Skipped Inspection","No Seating","2021-12-27T12:09:42.000","DOT","11106","40.763110","-73.920911","1","22","61","4008965","4006240041","Astoria"
"Brooklyn","Superfine","both","Big Lucky, Inc.","126 Front Street","73184",,"Compliant",,"2021-12-27T12:12:20.000","DOT","11201","40.702444","-73.987492","2","33","21","3000135","3000530009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Queens","Sabor de Cuba","both","Don Kew II Inc","3703 31 Avenue","73185",,"Skipped Inspection","No Seating","2021-12-27T12:15:16.000","DOT","11103","40.762019","-73.918548","1","22","63","4010610","4006590107","Astoria"
"Queens","SavageSicko","both","Charvin Brothers Inc","37-10 31st Ave","73186",,"Skipped Inspection","No Seating","2021-12-27T12:18:49.000","DOT","11103","40.761983","-73.918516","1","22","61","4616398","4006570041","Astoria"
"Manhattan","Nelore Grill","both","ERITON DE SOUSA","744 9 AVENUE","73187",,"Cease and Desist",,"2021-12-27T12:26:16.000","DOT","10019","40.763625","-73.988835","4","3","133","1025170","1010410002","Clinton"
"Manhattan","Briciola","both","Briciola Corp","370 w 51st street","73189",,"Non-Compliant",,"2021-12-27T12:37:17.000","DOT","10019","40.763861","-73.987918","4","3","133","1025187","1010410061","Clinton"
"Queens","Point Brazil Restaurant","both","Point 31 Inc.","38-01 31st Avenue","73190",,"Non-Compliant",,"2021-12-27T12:38:44.000","DOT","11103","40.761645","-73.917762","1","22","155","4010626","4006607503","Astoria"
"Manhattan","ARRIBA ARRIBA MEXICAN RES","both","ARRIBA ARRIBA MEXICAN RES","762 9TH AVE","73191",,"Non-Compliant",,"2021-12-27T12:49:52.000","DOT","10019","40.764204","-73.988416","4","3","133","1025191","1010420001","Clinton"
"Manhattan","Atlas Social Club","both","Oxido Corp.","753 9th Avenue","73192",,"Cease and Desist",,"2021-12-27T12:52:03.000","DOT","10019","40.763910","-73.988654","4","3","133","1026689","1010600035","Clinton"
"Manhattan","RANCHO TEQUILERIA","both","MORALES CABRERA CORP","741 9th AVENUE","73193",,"Cease and Desist",,"2021-12-27T12:53:44.000","DOT","10019","40.763584","-73.988889","4","3","133","1026683","1010600029","Clinton"
"Manhattan","Spring Lounge","both","Spring Lounge LLC","48 Spring Street","73194",,"Non-Compliant",,"2021-12-27T12:58:31.000","DOT","10012","40.721996","-73.996403","2","1","41","1007200","1004810022","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","HellGCOs Kitchen","both","Vynl, LLC","754 Ninth Avenue","73195",,"Non-Compliant",,"2021-12-27T12:58:42.000","DOT","10019","40.763867","-73.988661","4","3","133","1025188","1010410062","Clinton"
"Brooklyn","Pollo D' Oro","sidewalk","M & M PIO RESTAURANT","306  GOLD","73196",,"Compliant",,"2021-12-27T13:01:59.000","DOT","11201","40.694978","-73.983271","2","35","15","3392968","3001337501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Manhattan","MIMI CHENG'S DUMPLINGS","both","JOYFUL EATS THREE LLC","309 AMSTERDAM AVENUE","73197",,"For HIQA Review",,"2021-12-27T13:04:28.000","DOT","10023","40.780238","-73.980433","7","6","161","1030050","1011460004","Upper West Side"
"Queens","DIWINE","roadway","IFETA CORP","4115 31ST AVE","73198",,"Non-Compliant",,"2021-12-27T13:09:58.000","DOT","11103","40.760858","-73.916088","1","22","149","4011313","4006820102","Astoria"
"Queens","Ippolito's Pizza Corp","sidewalk","Ippolito's Pizza Corp","31-06  42nd Street","73199",,"Compliant",,"2021-12-27T13:10:13.000","DOT","11103","40.760120","-73.915872","1","22","155","4011196","4006790044","Astoria"
"Queens","LOTUS 1 VIETNAMESE RESTAURANT","both","XIN SUSHI CORP","4119 31ST AVE","73200",,"Skipped Inspection","No Seating","2021-12-27T13:13:09.000","DOT","11103","40.760847","-73.916066","1","22","149","4011285","4006820001","Astoria"
"Queens","LOTUS 1 VIETNAMESE RESTAURANT","both","XIN SUSHI CORP","4119 31ST AVE","73201",,"Pre-Suspension",,"2021-12-27T13:13:09.000","DOT","11103","40.760847","-73.916066","1","22","149","4011285","4006820001","Astoria"
"Queens","L & L Local Inc.","both","L & L Local Inc.","41-04  31st Avenue","73202",,"Non-Compliant",,"2021-12-27T13:20:31.000","DOT","11103","40.760872","-73.916156","1","22","155","4011191","4006790039","Astoria"
"Brooklyn","Hungry Ghost Coffee","sidewalk","HUNGRY GHOST DEKALB LLC","80 DEKALB AVENUE","73203",,"Compliant",,"2021-12-27T13:21:09.000","DOT","11201","40.689864","-73.979720","2","35","33","3391840","3020940010","Fort Greene"
"Manhattan","Gossip Bar & Restaurant","both","733 Restaurant Corp.","733 Ninth avenue","73204",,"Cease and Desist",,"2021-12-27T13:36:20.000","DOT","10019","40.763249","-73.989134","4","3","127","1026650","1010590034","Clinton"
"Queens","BALANCERO","both","KORKORO LLC","3095 37TH ST","73205",,"Non-Compliant",,"2021-12-27T13:37:49.000","DOT","11103","40.762529","-73.918302","1","22","63",,,"Astoria"
"Manhattan","Lombardi's","both","Pizza of 32 Spring Street, Inc.","32 Spring Street","73206",,"Cease and Desist",,"2021-12-27T13:43:46.000","DOT","10012","40.721691","-73.995660","2","1","41","1007181","1004800023","SoHo-TriBeCa-Civic Center-Little Italy"
"Brooklyn","Kingston Public House","both","Kingston Public House LLC","100 Kingston Avenue","101171",,"Skipped Inspection","No Seating","2023-06-29T10:00:28.000","DOT","11213","40.676207","-73.941567","8","36","313","3030477","3012150042","Crown Heights North"
"Brooklyn","Kelly's Tavern","both","Ciamaltha Inc.","9259  4th Avenue","73208",,"Non-Compliant",,"2021-12-27T13:52:41.000","DOT","11209","40.617345","-74.030570","10","43","58","3155311","3061080004","Bay Ridge"
"Brooklyn","Yemen Cafe and restaurant","both","Yemen Cafe and restaurant","7130 5Th ave","73209",,"Cease and Desist",,"2021-12-27T14:18:11.000","DOT","11209","40.632259","-74.021516","10","43","130","3146613","3058920058","Bay Ridge"
"Brooklyn","Al-Sham Restaurant","sidewalk","Levant Food Corp","7701 5th Ave","73210",,"Cease and Desist",,"2021-12-27T14:45:04.000","DOT","11209","40.627859","-74.023294","10","43","136","3149888","3059620010","Bay Ridge"
"Manhattan","Lilly's Craft Kitchen","both","Go BNB Rest LLC","675 9th Avenue","73211",,"Non-Compliant",,"2021-12-27T15:10:15.000","DOT","10036","40.761358","-73.990510","4","3","127","1082497","1010560032","Clinton"
"Manhattan","VIV Thai Restaurant","both","Rhungrueng Inc","717 9th Avenue","73212",,"Cease and Desist",,"2021-12-27T15:10:35.000","DOT","10019","40.762719","-73.989524","4","3","127","1026607","1010580035","Clinton"
"Brooklyn","luv.n.oven pizzeria","both","lad-st-felix corp","120 Dekalb ave","73213",,"Compliant",,"2021-12-27T15:11:42.000","DOT","11217","40.689787","-73.977669","2","35","33","3340923","3020970039","Fort Greene"
"Brooklyn","Skinflints Restaurant","both","Skinflints Restaurant Inc.","7902 fifth avenue","73214",,"Non-Compliant",,"2021-12-27T15:16:32.000","DOT","11209","40.626396","-74.023913","10","43","136","3150909","3059800042","Bay Ridge"
"Manhattan","MARI","roadway","MARI HOSPITALITY NYC LLC","679 9 AVENUE","73215",,"Non-Compliant",,"2021-12-27T15:18:20.000","DOT","10036","40.761465","-73.990430","4","3","127","1026492","1010560035","Clinton"
"Manhattan","Mom's Kitchen & Bar","both","701 Restaurant LLC","701 9th Avenue","73217",,"Non-Compliant",,"2021-12-27T15:25:23.000","DOT","10019","40.762332","-73.989806","4","3","127","1026601","1010580029","Clinton"
"Manhattan","Mickey Spillane's","both","Aura LLC","350 West 49th Street","73218",,"Non-Compliant",,"2021-12-27T15:27:35.000","DOT","10019","40.762736","-73.989131","4","3","127","1025163","1010390061","Clinton"
"Brooklyn","Bul inc","both","Bul Inc","8002 5th avenue","73219",,"Cease and Desist",,"2021-12-27T15:40:01.000","DOT","11209","40.625663","-74.024212","10","43","138","3151324","3059890043","Bay Ridge"
"Brooklyn","lionel GUY BREMOND","both","Bande a Part LLC","136  Dekalb ave","73220",,"Non-Compliant",,"2021-12-27T15:43:43.000","DOT","11217","40.689723","-73.975956","2","35","33","3058809","3020990041","Fort Greene"
"Brooklyn","Bar Great Harry","both","Bar Great Harry LLC","280 Smith Street","73221",,"Cease and Desist",,"2021-12-27T16:41:14.000","DOT","11231","40.682375","-73.993427","6","39","75","3006845","3004210043","Carroll Gardens-Columbia Street-Red Hook"
"Manhattan","GALLO NERO","both","VV&amp;V BROTHERS 623 CORP","181 DUANE STREET","73222",,"Marked For Removal",,"2021-12-27T23:58:32.000",,"10013","40.717412","-74.010176","1","1","39","1001547","1001430013","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","Mudville 9","both","Captain Mike's Seafood Restaurant","126 Chambers Street","73223",,"For HIQA Review",,"2021-12-28T00:00:01.000",,"10007","40.715307","-74.008791","1","1","21","1001482","1001360019","SoHo-TriBeCa-Civic Center-Little Italy"
"Brooklyn","Besito restaurant and bar","both","Nessa 50 Corp","50  5th ave","73224",,"Cease and Desist",,"2021-12-28T08:40:34.000","DOT","11217","40.681582","-73.976968","6","39","12901","3018442","3009300045","Park Slope-Gowanus"
"Brooklyn","PATSY'S PIZZERIA","both","BAM HOSPITALITY LLC","450 DEAN STREET","73225",,"For HIQA Review",,"2021-12-28T09:17:14.000","DOT","11217","40.681928","-73.976107","6","39","12902","3018482","3009310010","Park Slope-Gowanus"
"Queens","Vite vinosteria","both","PCPG llc","31-05 34th street","73226",,"Under Review",,"2021-12-28T09:17:51.000","DOT","11106","40.762775","-73.921414","1","22","61","4000000","4006240038","Astoria"
"Manhattan","Japonica","both","JN Kazoku INC","90 University Pl","73228",,"Compliant",,"2021-12-28T09:27:36.000","DOT","10003","40.733661","-73.993029","2","2","61","1009282","1005690022","West Village"
"Brooklyn","BAR CHUKO","both","BAR CHUKO LLC","565 VANDERBILT AVENUE","73229",,"Non-Compliant",,"2021-12-28T09:56:12.000","DOT","11238","40.680839","-73.967710","8","35","203","3027660","3011300010","Prospect Heights"
"Queens","GRAMERCY CAF3","both","GRAMMY'S COFFEE SHOP CORP","3191 STEINWAY ST","73230",,"Cease and Desist",,"2021-12-28T10:08:26.000","DOT","11103","40.759455","-73.918595","1","22","155","4011097","4006780007","Astoria"
"Manhattan","Lain Out Cheesesteak, Inc","sidewalk","Latin Out Cheesesteak, Inc","710  9th Avenue","73231",,"Skipped Inspection","No Seating","2021-12-28T10:12:51.000","DOT","10019","40.762544","-73.989629","4","3","127","1025166","1010390064","Clinton"
"Manhattan","The Factory 380","roadway","380 East Ventures LLC","380 3rd Ave","73232",,"Compliant",,"2021-12-28T10:20:18.000","DOT","10016","40.741592","-73.981148","6","2","68","1018179","1008830046","Gramercy"
"Manhattan","Thai Chella","sidewalk","Thaichella LLC","712 9th Avenue","73233",,"Non-Compliant",,"2021-12-28T10:20:44.000","DOT","10019","40.762599","-73.989589","4","3","127","1025165","1010390063","Clinton"
"Manhattan","El Mil Sabores","both","El Mil Sabores","695 695 9th ave","73234",,"Non-Compliant",,"2021-12-28T10:22:10.000","DOT","10036",,,,,,,,
"Manhattan","VIV Thai Restaurant","both","RHUNGRUENG INC","717 9 Avenue","73235",,"Cease and Desist",,"2021-12-28T10:23:14.000","DOT","10019","40.762719","-73.989524","4","3","127","1026607","1010580035","Clinton"
"Manhattan","Thai Chella","both","Thaichella LLC","712 9th Avenue","73236",,"Non-Compliant",,"2021-12-28T10:27:34.000","DOT","10019","40.762599","-73.989589","4","3","127","1025165","1010390063","Clinton"
"Queens","Mazag Lounge","both","Little Mazagan Corp","25-74 Steinway Street","73237",,"Cease and Desist",,"2021-12-28T10:43:44.000","DOT","11103","40.767533","-73.912043","1","22","143","4010294","4006540094","Astoria"
"Queens","Rotana","both","Carthage Restaurant Corp","2551A  Steinway Street","73238",,"Non-Compliant",,"2021-12-28T10:50:09.000","DOT","11103","40.767544","-73.912011","1","22","143","4011428","4006840125","Astoria"
"Queens","Noor El Hada Corp","both","Noor el Hada Corp","24-25 Steinway Street","73239",,"Non-Compliant",,"2021-12-28T10:51:19.000","DOT","11103","40.768584","-73.911154","1","22","141","4011501","4006860007","Astoria"
"Brooklyn","Branded Saloon","both","Branded Cattle Saloon, Inc.","603 Vanderbilt Avenue","73240",,"Non-Compliant",,"2021-12-28T10:53:18.000","DOT","11238","40.679286","-73.968262","8","35","205","3028200","3011450013","Prospect Heights"
"Queens","Little Morocco Restaurant Corp","both","Little Morocco Restaurant Corp","24-39  Steinway Street","73241",,"Skipped Inspection","No Seating","2021-12-28T10:58:17.000","DOT","11103","40.768491","-73.911230","1","22","141","4011497","4006860001","Astoria"
"Queens","Little Morocco Restaurant Corp","both","Little Morocco Restaurant Corp","24-39  Steinway Street","73242",,"Pre-Suspension",,"2021-12-28T10:58:17.000","DOT","11103","40.768491","-73.911230","1","22","141","4011497","4006860001","Astoria"
"Manhattan","PLANET TACO","both","TACO AUTHORITY 2 LLC","705 9 AVENUE","73243",,"Non-Compliant",,"2021-12-28T11:01:14.000","DOT","10019","40.762431","-73.989734","4","3","127","1026603","1010580031","Clinton"
"Queens","Cafe Istanbul Inc","both","Cafe Istanbul Inc","25-47  Steinway Street","73244",,"Non-Compliant",,"2021-12-28T11:03:09.000","DOT","11103","40.767550","-73.912007","1","22","143","4011429","4006840127","Astoria"
"Queens","Dewidar Corp","both","Dewidar Corp","25-72  Steinway Street","73245",,"Cease and Desist",,"2021-12-28T11:07:04.000","DOT","11103","40.767536","-73.912043","1","22","143","4010293","4006540093","Astoria"
"Queens","THE GULLY","both","GULLY NYC INC","2545 STEINWAY STREET","73246",,"Non-Compliant",,"2021-12-28T11:17:30.000","DOT","11103","40.767550","-73.912004","1","22","143","4011384","4006840028","Astoria"
"Queens","Merguez & Frite","both","Merguez & Frites Corp","40-06 25th Avenue","73247",,"Cease and Desist",,"2021-12-28T11:25:54.000","DOT","11103","40.767884","-73.911534","1","22","143","4011399","4006840044","Astoria"
"Queens","ALADDIN HOOKAH LOUNGE","both","HAMIZ LAMIZ ANIS CORP.","25-57 STEINWAY STREET","73248",,"Compliant",,"2021-12-28T11:28:53.000","DOT","11103","40.767542","-73.912014","1","22","143","4011380","4006840023","Astoria"
"Manhattan","1 2 3","both","Peaceful Enterprise Corp.","738  10th Avenue","73249",,"Non-Compliant",,"2021-12-28T11:29:51.000","DOT","10019","40.764899","-73.991618","4","3","133","1026668","1010600003","Clinton"
"Queens","Caffe Borbone","sidewalk","Caffe Borbone INC.","25-07 Steinway St","73250",,"Skipped Inspection","No Seating","2021-12-28T11:30:29.000","DOT","11103","40.767583","-73.911978","1","22","143","4011433","4006840142","Astoria"
"Manhattan","The Waylon","both","736 Tenth Avenue Cafe LLC","736 10th Avenue","73251",,"Non-Compliant",,"2021-12-28T11:41:18.000","DOT","10019","40.764836","-73.991665","4","3","133","1026667","1010600002","Clinton"
"Queens","Astoria Sea Food & Grill Inc","both","Astoria Sea Food & Grill Inc","25-79 Steinway Street","73252",,"Non-Compliant",,"2021-12-28T11:41:45.000","DOT","11103","40.767522","-73.912029","1","22","143","4011370","4006840013","Astoria"
"Brooklyn","Black iris","both","Black iris express inc","228  Dekalb ave","73254",,"Cease and Desist",,"2021-12-28T11:57:46.000","DOT","11205","40.689505","-73.970284","2","35","181","3059083","3021040030","Fort Greene"
"Manhattan","As Is NYC","both","71 Worth LLC","734  10th Avenue","73255",,"Cease and Desist",,"2021-12-28T11:58:00.000","DOT","10019","40.764775","-73.991712","4","3","133","1026666","1010600001","Clinton"
"Manhattan","IL MELOGRANO","both","SIXSILY LLC","501 WEST 51ST","73256",,"Non-Compliant",,"2021-12-28T12:01:29.000","DOT","10019","40.765363","-73.991433","4","3","135","1070111","1010800028","Clinton"
"Queens","SABA RESTAURANT","both","NEW YORKER 2040 CORP","25-75 STEINWAY STREET","73257",,"Non-Compliant",,"2021-12-28T12:11:52.000","DOT","11103","40.767525","-73.912025","1","22","143","4011372","4006840015","Astoria"
"Queens","Hallal Sandwich Shop Inc","both","Hallal Sandwich Shop Inc","25-61 Steinway street","73258",,"Compliant",,"2021-12-28T12:12:05.000","DOT","11103","40.767536","-73.912014","1","22","143","4011378","4006840021","Astoria"
"Queens","zyara restaurant corp","both","zyara restaurant corp","2553  2553 Steinway Street","73259",,"Skipped Inspection","No Seating","2021-12-28T12:15:35.000","DOT","11103",,,,,,,,
"Queens","zyara restaurant corp","both","zyara restaurant corp","2553  2553 Steinway Street","73260",,"Pre-Suspension",,"2021-12-28T12:15:35.000","DOT","11103",,,,,,,,
"Queens","Jasmine Hookah Corp","both","Jasmine Hookah Corp","25-50 Steinway Street","73261",,"Compliant",,"2021-12-28T12:29:39.000","DOT","11103","40.767555","-73.912029","1","22","143","4010313","4006540184","Astoria"
"Manhattan","Totto Ramen Hell's Kitchen","both","Ramen Time Inc.","464  West 51st Street","73262",,"Compliant",,"2021-12-28T12:30:07.000","DOT","10019","40.764833","-73.990224","4","3","133","1026709","1010600160","Clinton"
"Brooklyn","Mo's Bar and Lounge","both","NEVADAS BAR AND LOUNGE LLC","80 Lafayette ave","73263",,"Cease and Desist",,"2021-12-28T12:37:46.000","DOT","11217","40.687168","-73.974760","2","35","35","3059305","3021160021","Fort Greene"
"Brooklyn","zablozki's Bar","both","Fly Trap Productions, inc","107 North 6th street","73264",,"Marked For Removal",,"2021-12-28T12:39:47.000",,"11249","40.718292","-73.959929","1","33","555","3062062","3023260031","North Side-South Side"
"Queens","Eastern nights","both","Twisters crepe &yogurt cafe inc","25-37  Steinway street","73265",,"Cease and Desist",,"2021-12-28T12:42:28.000","DOT","11103","40.767558","-73.912000","1","22","143","4011430","4006840131","Astoria"
"Queens","Eskandar Corp","both","Eskandar Corp","25-42  Steinway Street","73268",,"Non-Compliant",,"2021-12-28T12:56:58.000","DOT","11103","40.767561","-73.912022","1","22","143","4010282","4006540081","Astoria"
"Queens","ARIA KABAB","both","MOMINA FOODS INC","2558 STEINWAY ST","73269",,"Skipped Inspection","No Seating","2021-12-28T13:13:55.000","DOT","11103","40.767547","-73.912032","1","22","143","4010289","4006540088","Astoria"
"Queens","ARIA KABAB","both","MOMINA FOODS INC","2558 STEINWAY ST","73270",,"Pre-Suspension",,"2021-12-28T13:13:55.000","DOT","11103","40.767547","-73.912032","1","22","143","4010289","4006540088","Astoria"
"Queens","Sissy McGintyGCOs","both","The Land Down Under, Inc.","25-67  Steinway Street","73271",,"Non-Compliant",,"2021-12-28T13:21:32.000","DOT","11103","40.767533","-73.912022","1","22","143","4011375","4006840018","Astoria"
"Queens","The Cave Grill Inc","both","The Cave Grill Inc","25-60  Steinway Street","73272",,"Non-Compliant",,"2021-12-28T13:42:22.000","DOT","11103","40.767547","-73.912032","1","22","143","4010314","4006540188","Astoria"
"Queens","L & L Local Inc.","both","L & L Local Inc.","41-04  31st Avenue","73273",,"Compliant",,"2021-12-28T14:02:26.000","DOT","11103","40.760872","-73.916156","1","22","155","4011191","4006790039","Astoria"
"Queens","Cleopatra Cafe Corp","both","Cleopatra Cafe Corp","25-62 Steinway Street","73274",,"Non-Compliant",,"2021-12-28T14:37:56.000","DOT","11103","40.767544","-73.912036","1","22","143","4010290","4006540089","Astoria"
"Brooklyn","Pilar Cuban Eatery","both","Pilar Cuban Restaurant Inc.","397 GREENE AVE","73275",,"Cease and Desist",,"2021-12-28T14:43:47.000","DOT","11216","40.687941","-73.955223","3","36","233","3398075","3019547501","Bedford"
"Queens","Hamiz Lamiz Anis Inc","both","Hamiz Lamiz Anis Inc","25-57 Steinway Street","73276",,"Compliant",,"2021-12-28T14:43:57.000","DOT","11103","40.767542","-73.912014","1","22","143","4011380","4006840023","Astoria"
"Queens","Taj Mahal Lounge Corp","both","Taj Mahal Lounge Corp","25-27  Steinway Street","73277",,"Cease and Desist",,"2021-12-28T14:56:57.000","DOT","11103","40.767566","-73.911993","1","22","143","4011431","4006840135","Astoria"
"Queens","Shishkhan Lounge Inc","both","Shishkhan Lounge Inc","25-81 Steinway Street","73278",,"Cease and Desist",,"2021-12-28T15:06:14.000","DOT","11103","40.767520","-73.912029","1","22","143","4011370","4006840013","Astoria"
"Manhattan","MARI","roadway","MARI HOSPITALITY NYC LLC","679 9 AVENUE","73279",,"Under Review",,"2021-12-28T15:08:19.000","DOT","10036","40.761465","-73.990430","4","3","127","1026492","1010560035","Clinton"
"Queens","Melody Cafe & restaurant Inc","both","Melody Cafe & restaurant Inc","25-95 Steinway Street","73289",,"Skipped Inspection","No Seating","2021-12-28T15:44:13.000","DOT","11103","40.767509","-73.912040","1","22","143","4011367","4006840006","Astoria"
"Queens","Melody Cafe & restaurant Inc","both","Melody Cafe & restaurant Inc","25-95 Steinway Street","73290",,"Pre-Suspension",,"2021-12-28T15:44:13.000","DOT","11103","40.767509","-73.912040","1","22","143","4011367","4006840006","Astoria"
"Brooklyn","Cafe Argentino Inc","both","Cafe Argentino Inc","499  Grand Street","73291",,"Cease and Desist",,"2021-12-28T16:20:08.000","DOT","11211","40.710957","-73.951197","1","34","513","3062729","3023870020","North Side-South Side"
"Brooklyn","Cafe Argentino","both","Cafe Argentino Inc.","499 Grand Street","73292",,"Cease and Desist",,"2021-12-28T16:23:52.000","DOT","11211","40.710957","-73.951197","1","34","513","3062729","3023870020","North Side-South Side"
"Queens","Shabulixius","both","K&T Kitchen LLC","39-32 Bell Boulevard","73293",,"For HIQA Review",,"2021-12-29T00:00:00.000",,"11361","40.764920","-73.771691","11","19","1123","4137551","4062370022","Bayside-Bayside Hills"
"Manhattan","BAGEL CAFE","both","DOZEN BAGELS CO INC.","429 3 AVENUE","73294",,"For HIQA Review",,"2021-12-29T00:00:00.000",,"10016","40.743110","-73.980018","6","2","70","1019945","1009100061","Murray Hill-Kips Bay"
"Manhattan","EL GALLO TAQUERIA","both","GRAVESEND PROVISIONS INC","502 AMSTERDAM AVENUE","73295",,"For HIQA Review",,"2021-12-29T00:00:00.000",,"10024","40.786555","-73.975852","7","6","171","1033110","1012320031","Upper West Side"
"Manhattan","atoboy llc","both","atoboy llc","43  e 28 st","73296",,"For HIQA Review",,"2021-12-29T00:00:00.000",,"10016","40.743794","-73.985168","5","2","74","1016905","1008580032","Midtown-Midtown South"
"Queens","Shabulixius","both","K & T Kitchen LLC","39-32 Bell Blvd","73297",,"For HIQA Review",,"2021-12-29T00:00:00.000",,"11361","40.764920","-73.771691","11","19","1123","4137551","4062370022","Bayside-Bayside Hills"
"Manhattan","PIG &amp; BUTTER","both","THE BEDSTUY RESTAURANT GROUP LLC","134 LUDLOW STREET","73298",,"For HIQA Review",,"2021-12-29T00:00:00.000",,"10002","40.720305","-73.988229","3","1","3001","1005385","1004110075","Chinatown"
"Brooklyn","Awash Ethiopian Restaurant","both","st. Gabriel rest inc","242  Court street","73300",,"Non-Compliant",,"2021-12-29T10:15:50.000","DOT","11201","40.685677","-73.994314","6","39","45","3003540","3003120032","Carroll Gardens-Columbia Street-Red Hook"
"Brooklyn","Kitchen at Cobble Hill","sidewalk","Chez OLY Int'l Inc.","254  Court Street","73301",,"Non-Compliant",,"2021-12-29T10:48:06.000","DOT","11231","40.685304","-73.994491","6","39","67","3336007","3003260037","Carroll Gardens-Columbia Street-Red Hook"
"Bronx","Boca Restaurant & Steak house Corp.","both","Boca Restaurant & Steak house Corp.","2458 Webster Avenue","73302",,"Cease and Desist",,"2021-12-29T11:24:52.000","DOT","10458","40.860119","-73.892959","6","15","38302","2011221","2030320019","Fordham South"
"Bronx","2501 Webster Restaurant corp","both","2501 webster restaurant Corp","2501 webster ave","73303",,"Cease and Desist",,"2021-12-29T11:32:30.000","DOT","10458","40.861054","-73.892043","5","15","39902","2094614","2030260041","Bedford Park-Fordham North"
"Brooklyn","Cubana Cafe","both","Torrejo Corp","272 Smith Street","73304",,"Non-Compliant",,"2021-12-29T11:38:34.000","DOT","11231","40.682573","-73.993294","6","39","75","3006841","3004210039","Carroll Gardens-Columbia Street-Red Hook"
"Queens","Kaieteur express","both","Faith's Kaieteur Inc","12004  Liberty Ave","73305",,"Compliant",,"2021-12-29T11:59:57.000","DOT","11419","40.686606","-73.823193","10","28","166","4204289","4095740002","South Ozone Park"
"Brooklyn","WHITE MAIZE","both","VALDEYAN CORP","277 SMITH STREET","73306",,"Compliant",,"2021-12-29T12:12:34.000","DOT","11231","40.682515","-73.993308","6","33","75","3006870","3004220004","Carroll Gardens-Columbia Street-Red Hook"
"Bronx","Luna cafe","both","Luna cafe inc","601  East 187th","73308",,"Cease and Desist",,"2021-12-29T12:49:52.000","DOT","10458",,,,,,,,
"Bronx","Rancho Estrella","both","Rancho Estrella","616 East 187 street","73309",,"Cease and Desist",,"2021-12-29T12:50:02.000","DOT","10458","40.855277","-73.887035","6","15","391","2012144","2030730050","Belmont"
"Brooklyn","Congress bar","both","Jim and Andy inc","208/210 Court street","73299",,"Compliant",,"2021-12-29T09:48:07.000","DOT","11201",,,,,,,,
