"reporting_year","borough_block_lot","property_street_address_or","borough","zip_code","sold_date","vacant_on_12_31","construction_reported","vacant_6_30_or_date_sold","primary_business_activity","property_number","property_street","unit","borough_1","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","nbhd"
"2021 and 2022","1002010029","1-3 ELIZABETH STREET","MANHATTAN","10013",,"NO",,,"RETAIL","60","BAYARD STREET",,"MANHATTAN","10013","40.7155454","-73.9977418","3","1","29","1002420","1002010029","MN27","Chinatown"
"2021 and 2022","1002020002","10 ELIZABETH STREET","MANHATTAN","10013",,"NO",,,"RETAIL","10","ELIZABETH STREET",,"MANHATTAN","10013","40.7157046","-73.9972476","3","1","29","1002424","1002020002","MN27","Chinatown"
"2021 and 2022","1002020023","24 Elizabeth Street","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","50","BOWERY",,"MANHATTAN","10013","40.7159928","-73.9968292","3","1","29","1002429","1002020023","MN27","Chinatown"
"2021 and 2022","1002020025","46 BOWERY","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","46","BOWERY",,"MANHATTAN","10013","40.7158034","-73.996959","3","1","29","1002430","1002020025","MN27","Chinatown"
"2021 and 2022","1002020025","16 Elizabeth Street","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","46","BOWERY",,"MANHATTAN","10013","40.7158034","-73.996959","3","1","29","1002430","1002020025","MN27","Chinatown"
"2021 and 2022","1002270002","383 CANAL STREET","MANHATTAN","10013",,"NO",,,"RETAIL","383","CANAL STREET",,"MANHATTAN","10013","40.7216771","-74.0046286","2","1","47","1002936","1002270002","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002270022","47 GRAND STREET","MANHATTAN","10013",,"NO",,,"FOOD SERVICES","47","GRAND STREET",,"MANHATTAN","10013","40.7223057","-74.0040622","2","1","47","1002945","1002270022","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002280009","373 CANAL STREET","MANHATTAN","10013",,"NO",,,"RETAIL","373","CANAL STREET",,"MANHATTAN","10013","40.7214109","-74.0042642","2","1","47","1002958","1002280009","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002281317","27 WOOSTER STREET","MANHATTAN","10013",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","27","WOOSTER STREET","RU B","MANHATTAN","10013","40.721966","-74.003344","2","1","47","1089842","1002281317","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002290001","11 Greene St , New York, NY 10013","MANHATTAN","10013",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","335","CANAL STREET",,"MANHATTAN","10013","40.7208235","-74.0031602","2","1","47","1090692","1002290001","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002290022","75 Grand Street","MANHATTAN","10013",,"NO",,,"RETAIL","75","GRAND STREET",,"MANHATTAN","10013","40.7216113","-74.0026588","2","1","47","1077408","1002290022","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002300042","5 MERCER STREET","MANHATTAN","10013",,"NO",,,"RETAIL","5","MERCER STREET",,"MANHATTAN","10013","40.7204448","-74.0024495","2","1","47","1003003","1002300042","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002301201","26 greene street","MANHATTAN","10013",,"NO",,,"RETAIL","20","GREENE STREET","1A","MANHATTAN","10013","40.720975","-74.002446","2","1","47","1002990","1002301201","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002310015","48 HOWARD STREET","MANHATTAN","10013",,"NO",,,"OTHER","48","HOWARD STREET",,"MANHATTAN","10013","40.7203048","-74.0017569","2","1","47","1003015","1002310015","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002311201","49 Howard Street","MANHATTAN","10013",,"NO",,,"RETAIL","307","CANAL STREET","CU1","MANHATTAN","10013","40.720003","-74.002136","2","1","47","1087717","1002311201","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002320009","452 BROADWAY","MANHATTAN","10013",,"NO",,,"REAL ESTATE","452","BROADWAY",,"MANHATTAN","10013","40.7204366","-74.0007035","2","1","45","1003031","1002320009","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002320013","125 GRAND STREET","MANHATTAN","10013",,"NO",,,"RETAIL","125","GRAND STREET",,"MANHATTAN","10013","40.7204091","-74.0003175","2","1","45","1003035","1002320013","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002330008","21 Crosby","MANHATTAN","10013",,"NO",,,"OTHER","133","GRAND STREET",,"MANHATTAN","10013","40.720217","-73.9999062","2","1","45","1003042","1002330008","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002330015","149 Grand Street","MANHATTAN","10013",,"NO",,,"RETAIL","147","GRAND STREET",,"MANHATTAN","10013","40.7199974","-73.9994517","2","1","45","1003048","1002330015","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002340017","211 CENTRE STREET","MANHATTAN","10013",,"NO",,,"OTHER","211","CENTRE STREET",,"MANHATTAN","10013","40.7194485","-73.9991919","2","1","45","1003058","1002340017","MN24","SoHo-TriBeCa-Civic Center-Little Italy"
"2021 and 2022","1002830043","121 EAST BROADWAY","MANHATTAN","10002",,"NO",,,"OTHER","121","EAST BROADWAY",,"MANHATTAN","10002","40.7137116","-73.9921868","3","1","6","1003579","1002830043","MN28","Lower East Side"
"2021 and 2022","1002830067","152 EAST BROADWAY","MANHATTAN","10002",,"NO",,,"OTHER","152","EAST BROADWAY",,"MANHATTAN","10002","40.7141754","-73.9908593","3","1","6","1003594","1002830067","MN28","Lower East Side"
"2021 and 2022","1002830071","160A EAST BROADWAY","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","160","EAST BROADWAY",,"MANHATTAN","10002","40.7141919","-73.990495","3","1","6","1003597","1002830071","MN28","Lower East Side"
"2021 and 2022","1002830094","1 Pike Street","MANHATTAN","10002",,"NO",,,"RETAIL","111","DIVISION STREET","32 A","MANHATTAN","10002","40.7142414","-73.992313","3","1","6","1003612","1002830094","MN28","Lower East Side"
"2021 and 2022","1002840016","189 EAST BROADWAY","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","189","EAST BROADWAY",,"MANHATTAN","10002","40.7139639","-73.9888213","3","1","6","1003616","1002840016","MN28","Lower East Side"
"2021 and 2022","1002850015","207 Clinton Street","MANHATTAN","10002",,"NO",,,"OTHER","207","HENRY STREET",,"MANHATTAN","10002","40.713821","-73.9872522","3","1","6","1003694","1002850015","MN28","Lower East Side"
"2021 and 2022","1002850020","211 EAST BROADWAY","MANHATTAN","10002",,"NO",,,"OTHER","211","EAST BROADWAY",,"MANHATTAN","10002","40.7140379","-73.9876381","3","1","6","1003699","1002850020","MN28","Lower East Side"
"2021 and 2022","1002860028","245 East Broadway","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","245","EAST BROADWAY",,"MANHATTAN","10002","40.7141777","-73.9860112","3","1","2","1003727","1002860028","MN28","Lower East Side"
"2021 and 2022","1002860040","223 EAST BROADWAY","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","223","EAST BROADWAY",,"MANHATTAN","10002","40.7140927","-73.9869888","3","1","2","1003735","1002860040","MN28","Lower East Side"
"2021 and 2022","1002890001","19 BOWERY STREET","MANHATTAN","10002",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","1","BOWERY",,"MANHATTAN","10002","40.7148537","-73.9959382","3","1","16","1075787","1002890001","MN27","Chinatown"
"2021 and 2022","1002890001","3 BOWERY STREET","MANHATTAN","10002",,"NO",,,"OTHER","1","BOWERY",,"MANHATTAN","10002","40.7148537","-73.9959382","3","1","16","1075787","1002890001","MN27","Chinatown"
"2021 and 2022","1002920010","28 FORSYTH STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","28","FORSYTH STREET",,"MANHATTAN","10002","40.7152077","-73.9941634","3","1","16","1003759","1002920010","MN27","Chinatown"
"2021 and 2022","1002920022","19 ELDRIDGE","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","19","ELDRIDGE STREET",,"MANHATTAN","10002","40.7150457","-73.9938424","3","1","16","1003767","1002920022","MN27","Chinatown"
"2021 and 2022","1002921102","86 CANAL STREET, S1","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","86","CANAL STREET","S1","MANHATTAN","10002","40.715274","-73.993792","3","1","16","1088640","1002921102","MN27","Chinatown"
"2021 and 2022","1002930002","10 Eldridge Street","MANHATTAN","10002",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","10","ELDRIDGE STREET",,"MANHATTAN","10002","40.7146422","-73.9935539","3","1","16","1003777","1002930002","MN27","Chinatown"
"2021 and 2022","1002930015","70 Canal St","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","70","CANAL STREET",,"MANHATTAN","10002","40.7150182","-73.9928865","3","1","16","1003788","1002930015","MN27","Chinatown"
"2021 and 2022","1002940021","2 orchard","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","2","ORCHARD STREET",,"MANHATTAN","10002","40.7145598","-73.9918945","3","1","16","1003798","1002940021","MN27","Chinatown"
"2021 and 2022","1003310001","504 GRAND STREET","MANHATTAN","10002",,"NO",,,"RETAIL","504","GRAND STREET",,"MANHATTAN","10002","40.7150554","-73.9818302","3","1","12","1004064","1003310001","MN28","Lower East Side"
"2021 and 2022","1003310120","500 Grand Street","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","530","GRAND STREET",,"MANHATTAN","10002","40.7147725","-73.9805533","3","1","12","1076783","1003310120","MN28","Lower East Side"
"2021 and 2022","1003330001","51 Columbia Street","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","87","DELANCEY STREET",,"MANHATTAN","10002","40.7178851","-73.9808446","3","2","22","1082665","1003330001","MN28","Lower East Side"
"2021 and 2022","1003440017","129 Ridge Street","MANHATTAN","10002",,"NO",,,"OTHER","129","RIDGE STREET",,"MANHATTAN","10002","40.7195817","-73.9830699","3","1","22","1004095","1003440017","MN28","Lower East Side"
"2021 and 2022","1003440069","210 Rivington Street","MANHATTAN","10002",,"NO",,,"OTHER","210","RIVINGTON STREET",,"MANHATTAN","10002","40.7184892","-73.982677","3","2","22","1004105","1003440069","MN28","Lower East Side"
"2021 and 2022","1003440076","106 RIDGE STREET","MANHATTAN","10002",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","106","RIDGE STREET",,"MANHATTAN","10002","40.7186952","-73.9831423","3","2","22","1004108","1003440076","MN28","Lower East Side"
"2021 and 2022","1003440170","172 RIVINGTON STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","172","RIVINGTON STREET",,"MANHATTAN","10002","40.7191263","-73.9845167","3","1","22","1004122","1003440170","MN28","Lower East Side"
"2021 and 2022","1003450002","152 ATTORNEY STREET","MANHATTAN","10002",,"NO",,,"OTHER","152","ATTORNEY STREET",,"MANHATTAN","10002","40.7202515","-73.9832141","3","2","22","1004127","1003450002","MN28","Lower East Side"
"2021 and 2022","1003450029","200 Stanton Street","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","200","STANTON STREET",,"MANHATTAN","10002","40.7199165","-73.9828462","3","2","22","1004146","1003450029","MN28","Lower East Side"
"2021 and 2022","1003461105","180 BROOME STREET","MANHATTAN","10002",,"NO",,,"RETAIL","180","BROOME STREET","MKTLN","MANHATTAN","10002","40.717332","-73.986454","3","1","14","1089891","1003461105","MN28","Lower East Side"
"2021 and 2022","1003461203","202 BROOME STREET","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","202","BROOME STREET","RTL","MANHATTAN","10002","40.71759","-73.987291","3","1","14","1089905","1003461203","MN28","Lower East Side"
"2021 and 2022","1003471002","175 DELANCEY STREET","MANHATTAN","10002",,"NO",,,"OTHER","175","DELANCEY STREET","CF2","MANHATTAN","10002","40.717054","-73.985754","3","1","14","1089451","1003471002","MN28","Lower East Side"
"2021 and 2022","1003480013","122 Suffolk Street","MANHATTAN","10002",,"NO",,,"RETAIL","147","RIVINGTON STREET",,"MANHATTAN","10002","40.7191759","-73.9858695","3","1","14","1004170","1003480013","MN28","Lower East Side"
"2021 and 2022","1003480017","155 RIVINGTON STREET","MANHATTAN","10002",,"NO",,,"FOOD SERVICES","155","RIVINGTON STREET",,"MANHATTAN","10002","40.7190359","-73.9856422","3","1","14","1004174","1003480017","MN28","Lower East Side"
"2021 and 2022","1003480022","87 CLINTON STREET","MANHATTAN","10002",,"NO",,,"MISCELLANEOUS OTHER SERVICE","87","CLINTON STREET",,"MANHATTAN","10002","40.7188053","-73.9855088","3","1","14","1004178","1003480022","MN28","Lower East Side"
"2021 and 2022","1003480024","91 CLINTON STREET","MANHATTAN","10002",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","91","CLINTON STREET",,"MANHATTAN","10002","40.718679","-73.9855738","3","1","14","1004180","1003480024","MN28","Lower East Side"
"2021 and 2022","4032330001","4 Tennis Place","QUEENS","11375",,"NO",,,"OTHER","6","BURNS STREET",,"QUEENS","11375","40.719549","-73.846302","6","29","723","4077442","4032330001","QN17","Forest Hills"
"2021 and 2022","1002940024","46 CANAL STREET","MANHATTAN","10002",,"NO",,,"OTHER","46","CANAL STREET",,"MANHATTAN","10002","40.7146119","-73.991642","3","1","16","1003801","1002940024","MN27","Chinatown"
"2021 and 2022","1000161302","102 North End Avenue","MANHATTAN","10282",,"NO",,,"FOOD SERVICES","102","NORTH END AVENUE","RETL","MANHATTAN","10282","40.71499","-74.015277","1","1","317","1085867","1000161302","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000161302","102 North End Avenue","MANHATTAN","10282",,"NO",,,"FOOD SERVICES","102","NORTH END AVENUE","RETL","MANHATTAN","10282","40.71499","-74.015277","1","1","317","1085867","1000161302","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000161401","30 LITTLE WEST STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","30","LITTLE WEST STREET","COM","MANHATTAN","10004","40.706229","-74.017096","1","1","317","1087238","1000161401","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000162601","380 RECTOR PLACE","MANHATTAN","10280",,"NO",,,"HEALTH CARE or SOCIAL ASSISTANCE","380","RECTOR PLACE","COMM","MANHATTAN","10280","40.709078","-74.01806","1","1","317","1000544","1000162601","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000166001","21 SOUTH END AVENUE","MANHATTAN","10280",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","21","SOUTH END AVENUE","COMM","MANHATTAN","10280","40.708312","-74.018117","1","1","317","1075698","1000166001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000166001","21 SOUTH END AVENUE","MANHATTAN","10280",,"NO",,,"MISCELLANEOUS OTHER SERVICE","21","SOUTH END AVENUE","COMM","MANHATTAN","10280","40.708312","-74.018117","1","1","317","1075698","1000166001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000168002","2 SOUTH END AVE","MANHATTAN","10280",,"NO",,,"RETAIL","2","SOUTH END AVENUE","C1","MANHATTAN","10280","40.707922","-74.017244","1","1","317","1082813","1000168002","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000170029","90 Washington Street","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","90","WASHINGTON STREET",,"MANHATTAN","10006","40.7080732","-74.0148496","1","1","13","1000793","1000170029","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000171221","50 WEST STREET","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","50","WEST STREET","7D","MANHATTAN","10006","40.707761","-74.014994","1","1","13","1090192","1000171221","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000181001","88 Greenwich Street","MANHATTAN","10006",,"NO",,,"RETAIL","88","GREENWICH STREET","CU","MANHATTAN","10006","40.707876","-74.014088","1","1","13","1000794","1000181001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000181001","88 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"MISCELLANEOUS OTHER SERVICE","88","GREENWICH STREET","CU","MANHATTAN","10006","40.707876","-74.014088","1","1","13","1000794","1000181001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000190018","44 Trinity Place","MANHATTAN","10006",,"NO",,,"MISCELLANEOUS OTHER SERVICE","81","GREENWICH STREET",,"MANHATTAN","10006","40.7075958","-74.01345","1","1","13","1000798","1000190018","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000190021","89 GREENWICH STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","87","GREENWICH STREET",,"MANHATTAN","10006","40.7078236","-74.0134861","1","1","13","1000800","1000190021","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000200004","39 BROADWAY","MANHATTAN","10006",,"NO",,,"LEGAL SERVICES","39","BROADWAY",,"MANHATTAN","10006","40.7063442","-74.0134281","1","1","13","1000803","1000200004","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000200013","49 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","49","BROADWAY",,"MANHATTAN","10006","40.7067312","-74.0131216","1","1","13","1000806","1000200013","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000200016","55 BROADWAY","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","55","BROADWAY",,"MANHATTAN","10006","40.7068548","-74.0130242","1","1","13","1000807","1000200016","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000210001","61 Broadway","MANHATTAN","10006",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","61","BROADWAY",,"MANHATTAN","10006","40.7071046","-74.0128367","1","1","13","1000808","1000210001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000210006","71 BROADWAY","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","71","BROADWAY",,"MANHATTAN","10006","40.7074916","-74.0125122","1","1","13","1000810","1000210006","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000210006","71 BROADWAY","MANHATTAN","10006",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","71","BROADWAY",,"MANHATTAN","10006","40.7074916","-74.0125122","1","1","13","1000810","1000210006","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000220017","69 New Street","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","32","BROADWAY",,"MANHATTAN","10004","40.7057953","-74.0127463","1","1","9","1078979","1000220017","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000220020","42 BROADWAY","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","42","BROADWAY",,"MANHATTAN","10004","40.7059875","-74.0125949","1","1","9","1000812","1000220020","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000220024","50 BROADWAY","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","50","BROADWAY",,"MANHATTAN","10004","40.7062318","-74.0124398","1","1","9","1000813","1000220024","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000231001","1 WALL STREET","MANHATTAN","10005",,"YES","YES",,"NO BUSINESS ACTIVITY IDENTIFIED","1","WALL STREET","A","MANHATTAN","10005","40.707121","-74.01183","1","1","7","1000815","1000231001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000240001","60 BROAD STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","60","BROAD STREET",,"MANHATTAN","10004","40.7053123","-74.0119996","1","1","9","1000817","1000240001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000240001","60 BROAD STREET","MANHATTAN","10004",,"NO",,,"OTHER","60","BROAD STREET",,"MANHATTAN","10004","40.7053123","-74.0119996","1","1","9","1000817","1000240001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000240001","60 BROAD STREET","MANHATTAN","10004",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","60","BROAD STREET",,"MANHATTAN","10004","40.7053123","-74.0119996","1","1","9","1000817","1000240001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000240029","30 BROAD STREET","MANHATTAN","10004",,"YES",,"YES","NO BUSINESS ACTIVITY IDENTIFIED","30","BROAD STREET",,"MANHATTAN","10004","40.706273","-74.0116535","1","1","9","1000819","1000240029","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000241001","40 Broad Street","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","40","BROAD STREET","COMM1","MANHATTAN","10004","40.706021","-74.011787","1","1","9","1078985","1000241001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000250001","55 BROAD STREET","MANHATTAN","10004",,"NO",,,"FOOD SERVICES","55","BROAD STREET",,"MANHATTAN","10004","40.7052767","-74.0110474","1","1","9","1000821","1000250001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000250027","40 EXCHANGE PLACE","MANHATTAN","10005",,"NO",,,"FOOD SERVICES","40","EXCHANGE PLACE",,"MANHATTAN","10005","40.7056858","-74.0102865","1","1","9","1000825","1000250027","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000420031","90 MAIDEN LANE","MANHATTAN","10038",,"NO",,,"FOOD SERVICES","80","MAIDEN LANE",,"MANHATTAN","10038","40.7070858","-74.0078016","1","1","7","1001015","1000420031","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000430001","44 WALL STREET","MANHATTAN","10005",,"NO",,"YES","FINANCE & INSURANCE","44","WALL STREET",,"MANHATTAN","10005","40.7067837","-74.0093849","1","1","7","1001017","1000430001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000430005","30 WALL STREET","MANHATTAN","10005",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","30","WALL STREET",,"MANHATTAN","10005","40.7070966","-74.0100991","1","1","7","1001019","1000430005","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000440001","28 LIBERTY STREET","MANHATTAN","10005",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","28","LIBERTY STREET",,"MANHATTAN","10005","40.7077691","-74.0091254","1","1","7","1032583","1000440001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000441409","18 PINE STREET","MANHATTAN","10005",,"NO",,,"EDUCATIONAL SERVICES","18","PINE STREET","RETL1","MANHATTAN","10005","40.707728","-74.009735","1","1","7","1001022","1000441409","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000441412","18 PINE STREET","MANHATTAN","10005",,"NO",,,"RETAIL","18","PINE STREET","RETL4","MANHATTAN","10005","40.707728","-74.009735","1","1","7","1001022","1000441412","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000480001","140 Broadway","MANHATTAN","10005",,"NO",,,"LEGAL SERVICES","140","BROADWAY",,"MANHATTAN","10005","40.7086501","-74.0101174","1","1","7","1001027","1000480001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000480001","140 Broadway","MANHATTAN","10005",,"NO",,,"LEGAL SERVICES","140","BROADWAY",,"MANHATTAN","10005","40.7086501","-74.0101174","1","1","7","1001027","1000480001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000500001","115 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","115","BROADWAY",,"MANHATTAN","10006","40.7089355","-74.0114701","1","1","13","1001030","1000500001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000500001","115 BROADWAY","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","115","BROADWAY",,"MANHATTAN","10006","40.7089355","-74.0114701","1","1","13","1001030","1000500001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000500001","115 BROADWAY","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","115","BROADWAY",,"MANHATTAN","10006","40.7089355","-74.0114701","1","1","13","1001030","1000500001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000510001","101 Greenwich","MANHATTAN","10006",,"NO",,,"RETAIL","101","GREENWICH STREET",,"MANHATTAN","10006","40.7080871","-74.0131688","1","1","13","1001031","1000510001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000510001","101 Greenwich","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","101","GREENWICH STREET",,"MANHATTAN","10006","40.7080871","-74.0131688","1","1","13","1001031","1000510001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000520010","137 Greenwich street","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","137","GREENWICH STREET",,"MANHATTAN","10006","40.7095007","-74.0126532","1","1","13","1001038","1000520010","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000520021","120 LIBERTY STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","120","LIBERTY STREET",,"MANHATTAN","10006","40.709767","-74.0124621","1","1","13","1001040","1000520021","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000521101","114 LIBERTY STREET","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","114","LIBERTY STREET","CELLAR","MANHATTAN","10006","40.709704","-74.012275","1","1","13","1001041","1000521101","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000530037","104 Greenwich St","MANHATTAN","10006",,"NO",,,"FOOD SERVICES","102","GREENWICH STREET",,"MANHATTAN","10006","40.7084329","-74.0136882","1","1","13","1001054","1000530037","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000531001","120 GREENWICH STREET","MANHATTAN","10006",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","120","GREENWICH STREET","COM-A","MANHATTAN","10006","40.709007","-74.0134","1","1","13","1001050","1000531001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000560004","90 WEST STREET","MANHATTAN","10006",,"NO",,,"OTHER","90","WEST STREET",,"MANHATTAN","10006","40.7099919","-74.0142584","1","1","13","1001064","1000560004","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000621001","1 LIBERTY PLAZA","MANHATTAN","10006",,"NO",,,"OTHER","1","LIBERTY PLAZA","1","MANHATTAN","10006","40.709754","-74.010843","1","1","13","1001068","1000621001","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000630017","181 BROADWAY","MANHATTAN","10007",,"NO",,,"RETAIL","181","BROADWAY",,"MANHATTAN","10007","40.7102394","-74.009995","1","1","13","1001075","1000630017","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000630019","177 BROADWAY","MANHATTAN","10007",,"YES",,,"NO BUSINESS ACTIVITY IDENTIFIED","177","BROADWAY",,"MANHATTAN","10007","40.7101186","-74.010096","1","1","13","1001077","1000630019","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000630021","173 BROADWAY","MANHATTAN","10007",,"NO",,,"RETAIL","173","BROADWAY",,"MANHATTAN","10007","40.7100088","-74.0101861","1","1","13","1001079","1000630021","MN25","Battery Park City-Lower Manhattan"
"2021 and 2022","1000630021","173 BROADWAY","MANHATTAN","10007",,"NO",,,"FOOD SERVICES","173","BROADWAY",,"MANHATTAN","10007","40.7100088","-74.0101861","1","1","13","1001079","1000630021","MN25","Battery Park City-Lower Manhattan"
