"the_geom","seatingcho","retailname","bizname","bizdba","biz_desc","other_bizd","bizstreetn","suitenum","bizboro","bizzip","bizaddress","sidewalkdi","sidewalk_1","sidewalkar","openstreet","openstre_1","openstre_2","qualify_si","qualify_op","landmarkdi","landmark_1","healthcomp","submission","creationda","long","lat","x","y"
"POINT (-73.96911074092618 40.67703098600958)","sidewalk","Mermaid's Garden Inc.","Mermaid's Garden Inc.","Mermaid's Garden Inc.","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"644 Vanderbilt Avenue",,"Brooklyn","11238","644 Vanderbilt Avenue, Brooklyn, NY","54","14","756","0","0",,"yes","no","no",,"yes","2021-01-01T00:00:00.000","2022-11-02T00:00:00.000","-73.9691107409","40.677030986","992817.950044","185938.566821"
"POINT (-73.93783501041915 40.74872597229304)","sidewalk","Murrays Cheese","Murrays LIC LLC","Murrays Cheese Shop","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"28-30 Jackson Ave",,"Queens","11101","28-30 Jackson Ave, Queens, NY","23","5","115","0","0",,"yes","no","no",,"yes","2020-11-11T00:00:00.000","2022-11-02T00:00:00.000","-73.9378350104","40.7487259723","1001474.56003","212063.829203"
"POINT (-73.79670773319033 40.704699312789465)","sidewalk","XIOS","Clothing Emporium Inc.","XIOS","Clothing, Shoe, Accessories Store",,"163-06 Jamaica Ave.",,"Queens","11432","163-06 Jamaica Ave., Queens, NY","20","5","100","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-73.7967077332","40.7046993128","1040615.02407","196082.843776"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.94559346854726 40.622050185341365)","sidewalk","The Kitchen Clique","The Kitchen Clique","The Kitchen Clique","Home Goods Store",,"3009 Avenue L 3011 Avenue L",,"Brooklyn","11210","3009 Avenue L 3011 Avenue L, Brooklyn, NY","40","13","520","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9455934685","40.6220501853","999353.525883","165910.726955"
"POINT (-74.16042675911633 40.54538137791257)","sidewalk","Best Wireless Eltingville Inc.","Best Wireless Eltingville Inc.","Best Wireless Eltingville Inc.","Electronics Store; Cell Phone Store",,"4348 Amboy Road",,"Staten Island","10312","4348 Amboy Road, Staten Island, NY","5","5","25","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-74.1604267591","40.5453813779","939663.593754","138014.495346"
"POINT (-73.99365019051949 40.731040944115705)","sidewalk","Best Wireless Noho Inc.","Best Wireless Noho Inc.","Best Wireless Noho Inc.","Electronics Store; Cell Phone Store",,"52 East 8th Street",,"Manhattan","10003","52 East 8th Street, Manhattan, NY","5","5","25","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9936501905","40.7310409441","986009.860642","205614.56487"
"POINT (-73.8916653434091 40.74768733121402)","sidewalk","Karishma","Karishma","Karishma","Clothing, Shoe, Accessories Store",,"37-48 74th st",,"Queens","11372","37-48 74th st, Queens, NY","20","5","100","0","0",,"yes","no","no",,"yes","2021-07-14T00:00:00.000","2022-11-02T00:00:00.000","-73.8916653434","40.7476873312","1014267.6286","211697.868977"
"POINT (-73.88310797169588 40.88113883632234)","sidewalk","danice","danice","danice","Clothing, Shoe, Accessories Store",,"3431 jerome ave",,"Bronx","10467","3431 jerome ave, Bronx, NY","42","15","630","0","0",,"yes","no","no",,"yes","2021-03-25T00:00:00.000","2022-11-02T00:00:00.000","-73.8831079717","40.8811388363","1016573.84315","260322.047319"
"POINT (-73.98040502109338 40.66428005706298)","sidewalk","Powerhouse on 8th","Powerhouse on 8th","Archway Editions","Book Store",,"1111 8th Ave",,"Brooklyn","11215","1111 8th Ave, Brooklyn, NY","13","15","195","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9804050211","40.6642800571","989686.223039","181292.13845"
"POINT (-73.96087036149565 40.76397483165278)","sidewalk","Bronze Boutique & Spa","Bronze Boutique Inc.","Bronze Boutique & Spa","Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,"330 East 65th Street",,"Manhattan","10065","330 East 65th Street, Manhattan, NY","18","15","270","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9608703615","40.7639748317","995089.486511","217615.794149"
"POINT (-73.99092556563797 40.687059681355436)","sidewalk","TALEA Beer Co.","TALEA Beer Inc.","TALEA Beer Co.","Other","Branch Office for Craft Brewery","61 Bergen Street",,"Brooklyn","11201","61 Bergen Street, Brooklyn, NY","22","11","242","0","0",,"yes","no","no",,"yes","2022-06-13T00:00:00.000","2022-11-02T00:00:00.000","-73.9909255656","40.6870596814","986766.65506","189590.930251"
"POINT (-73.86487054341899 40.67900857004351)","sidewalk","Anjuma 99 Cents And Discount Store Inc","Anjuma 99 Cents And Discount Store Inc","None","General Merchandise Store (99 cent store, etc.)",,"1205 LIBERTY AVENUE",,"Brooklyn","11208","1205 LIBERTY AVENUE, Brooklyn, NY","25","20","500","0","0",,"yes","no","no",,"yes","2020-11-15T00:00:00.000","2022-11-02T00:00:00.000","-73.8648705434","40.67900857","1021730.59038","186686.456073"
"POINT (-74.03233074269028 40.620405781002674)","sidewalk","Classic Impressions","J&H Classical Impressions","Classic Impressions","Gift store, Stationary",,"9008 third avenue",,"Brooklyn","11209","9008 third avenue, Brooklyn, NY","16","14","224","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-74.0323307427","40.620405781","975274.602256","165308.592989"
"POINT (-73.90322134732311 40.87697635855346)","sidewalk","Spark Up Club","Hood Meditation","Spark Up Club","Bodega/Deli/Convenience Store",,"3032 Bailey Avenue",,"Bronx","10463","3032 Bailey Avenue , Bronx, NY","10","5","50","0","0",,"yes","no","no",,"yes","2021-10-23T00:00:00.000","2022-11-02T00:00:00.000","-73.9032213473","40.8769763586","1011013.62264","258798.708174"
"POINT (-74.00805088367723 40.63695672888926)","sidewalk","Double Win Trading Inc.","Double Win Trading Inc.","Double Win Trading Inc.","Department Store",,"5710 8th ave",,"Brooklyn","11220","5710 8th ave , Brooklyn, NY","16","9","144","0","0",,"yes","no","no",,"yes","2020-12-02T00:00:00.000","2022-11-02T00:00:00.000","-74.0080508837","40.6369567289","982015.533328","171336.991365"
"POINT (-73.97206670989635 40.794014023190506)","sidewalk","AT&T MOBILITY","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"2540 BROADWAY",,"Manhattan","10025","2540 BROADWAY, Manhattan, NY","19","14","266","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9720667099","40.7940140232","991984.443181","228558.898575"
"POINT (-73.81877736784315 40.688302507552486)","sidewalk","Liberty ave electronics","Liberty ave electronics 2","Liberty ave electronics","Electronics Store; Cell Phone Store",,"12516 liberty ave",,"Queens","11419","12516 liberty ave , Queens, NY","18","18","324","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-73.8187773678","40.6883025076","1034508.34238","190095.58541"
"POINT (-73.94389113815757 40.711090117052514)","sidewalk","La Norteña 2","La Norteña 2 restaurant Corp","La Norteña 2","Other",,"255A Graham Ave",,"Brooklyn","11206","255A Graham Ave, Brooklyn, NY","19","13","247","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9438911382","40.7110901171","999805.322552","198350.783138"
"POINT (-73.97923069458014 40.77704723364193)","sidewalk","Momentum Fitness","Momentum Fitness","Momentum Fitness","Gym, Fitness, Dance, Yoga Studio",,"246 Columbus Avenue","Cellar Level","Manhattan","10023","246 Columbus Avenue, Manhattan, NY","10","19","190","0","0",,"yes","no","yes","yes","yes","2020-11-03T00:00:00.000","2022-11-02T00:00:00.000","-73.9792306946","40.7770472336","990002.274573","222376.766582"
"POINT (-73.95544589195819 40.61002102215621)","sidewalk","Brooklyn Zig-n-Zag INC","Brooklyn Zig-n-Zag INC","Zig-n-Zag","Other","Small Kitchen appl, Vacuum pair","1801 King's Hwy","1st Floor","Brooklyn","11229","1801 King's Hwy, Brooklyn, NY","14","14","196","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.955445892","40.6100210222","996620.673081","161526.643204"
"POINT (-73.94257506078765 40.70338297674632)","sidewalk","electronic r us","bonanza's bargains inc","electronic r us","Electronics Store; Cell Phone Store",,"53 graham avenue",,"Brooklyn","11206","53 graham avenue, Brooklyn, NY","5","20","100","0","0",,"yes","no","no",,"yes","2020-12-30T00:00:00.000","2022-11-02T00:00:00.000","-73.9425750608","40.7033829767","1000172.02556","195543.077139"
"POINT (-73.99615905884194 40.72640035311481)","sidewalk","Little Market NYC","Little Market NYC","Little Market NYC","Clothing, Shoe, Accessories Store",,"637 Broadway","Store","Manhattan","10012","637 Broadway, Manhattan, NY","30","10","300","0","0",,"yes","no","no",,"yes","2022-04-06T00:00:00.000","2022-11-02T00:00:00.000","-73.9961590588","40.7264003531","985314.597596","203923.812675"
"POINT (-74.02048283868099 40.63518404127159)","sidewalk","LEADER  HALAL MEAT MARKET & GROCERY","NEW LEADER HELAL MEAT II CORP.","LEADER  HALAL MEAT MARKET & GROCERY","Supermarket & Grocery Store",,"6720 5th AVENUE","FRONT DOOR","Brooklyn","11220","6720 5th AVENUE, Brooklyn, NY","64","16","1024","0","0",,"yes","no","no",,"yes","2021-11-02T00:00:00.000","2022-11-02T00:00:00.000","-74.0204828387","40.6351840413","978564.979862","170691.715425"
"POINT (-73.9594749889568 40.71793894814491)","sidewalk","D.S. & DURGA","D.S. & DURGA, LLC","D.S. & Durga - Clifton","Beauty Supply, Fragrance, Cosmetics Store",,"126 N6TH street",,"Brooklyn","11249","126 N6TH street, Brooklyn, NY","15","8","120","0","0",,"yes","no","no",,"yes","2020-11-11T00:00:00.000","2022-11-02T00:00:00.000","-73.959474989","40.7179389481","995483.784607","200843.637404"
"POINT (-74.00293171395009 40.71801983366491)","sidewalk","Blues","C & A blues inc.","Blues","Clothing, Shoe, Accessories Store",,"380 broadway",,"Manhattan","10013","380 broadway , Manhattan, NY","30","16","480","0","0",,"yes","no","yes","yes","yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-74.002931714","40.7180198337","983437.311653","200870.521537"
"POINT (-73.99062633166963 40.73468834136767)","sidewalk","NATURE REPUBLIC","NATURE REPUBLIC USA INC.","NATURE REPUBLIC","Beauty Supply, Fragrance, Cosmetics Store",,"12E 14TH ST.",,"Manhattan","10003","12E 14TH ST., Manhattan, NY","24","5","120","0","0",,"yes","no","no",,"yes","2020-11-02T00:00:00.000","2022-11-02T00:00:00.000","-73.9906263317","40.7346883414","986847.786131","206943.501189"
"POINT (-74.00077811157846 40.72055987603929)","sidewalk","NYC Arts Empire","Elaine Mendez Ent.","NYC Arts Empire","Other","ART, FASHION.CLOTHING","454 Broadway  New York NY 10013",,"Manhattan","10013","454 Broadway  New York NY 10013, Manhattan, NY","2","5","10","0","0",,"yes","no","no",,"yes","2021-01-21T00:00:00.000","2022-11-02T00:00:00.000","-74.0007781116","40.720559876","984034.311115","201795.924214"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T Mobility Supply, LLC","AT&T","AT&T Mobility","Electronics Store; Cell Phone Store",,"494 GATEWAY DRIVE","UNIT 14","Brooklyn","11239","494 GATEWAY DRIVE, Brooklyn, NY","41","22","902","0","0",,"yes","no","no",,"yes","2020-12-09T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.95126567454201 40.80009014197749)","sidewalk","Los 3 charros","Los 3 charros","Los 3 charros","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"53 Lenox ave",,"Manhattan","10026","53 Lenox ave , Manhattan, NY","32","5","160","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9512656745","40.800090142","997742.80568","230775.160218"
"POINT (-74.02401103398101 40.62622206789135)","sidewalk","Sagar Fashions","Sagar Fashions","Sagar Fashions","Clothing, Shoe, Accessories Store",,"7912 5th Avenue",,"Brooklyn","11209","7912 5th Avenue , Brooklyn, NY","10","8","80","0","0",,"yes","no","no",,"yes","2021-08-17T00:00:00.000","2022-11-02T00:00:00.000","-74.024011034","40.6262220679","977584.832872","167426.877466"
"POINT (-73.97733724450879 40.77973356480351)","sidewalk","Boisson","Boisson Inc.","Boisson","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"326 Columbus Ave",,"Manhattan","10023","326 Columbus Ave, Manhattan, NY","10","10","100","0","0",,"yes","no","no",,"yes","2022-05-06T00:00:00.000","2022-11-02T00:00:00.000","-73.9773372445","40.7797335648","990526.431989","223355.617643"
"POINT (-73.95703107804303 40.59872372632134)","sidewalk","Ave U Fish Market Inc.","Ave U Fish Market Inc.","Ave U Fish Market Inc.","Supermarket & Grocery Store",,"1406 Avenue U",,"Brooklyn","11229","1406 Avenue U, Brooklyn, NY","20","19","380","0","0",,"yes","no","no",,"yes","2020-11-15T00:00:00.000","2022-11-02T00:00:00.000","-73.957031078","40.5987237263","996182.55716","157410.527749"
"POINT (-73.89856755439651 40.86190324833663)","sidewalk","Fordham Fruits and Vegetables","Fordham Fruits and Vegetables","Fordham Fruits and Vegetables","Supermarket & Grocery Store",,"2450 Creston Ave",,"Bronx","10468","2450 Creston Ave, Bronx, NY","20","5","100","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.8985675544","40.8619032483","1012306.9629","253308.442252"
"POINT (-73.99420448741604 40.72582899833512)","sidewalk","JANE Motorcycles","JANE Motorcycles LLC","JANE Motorcycles","Clothing, Shoe, Accessories Store",,"45 Bleecker Street",,"Manhattan","10012","45 Bleecker Street, Manhattan, NY","52","5","260","0","0",,"yes","no","yes","yes","yes","2021-04-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9942044874","40.7258289983","985856.361933","203715.680217"
"POINT (-73.99114348558517 40.732736881422795)","sidewalk","Flight Club","Flight Club","Flight Club","Clothing, Shoe, Accessories Store",,"814 Broadway",,"Manhattan","10003","814 Broadway, Manhattan, NY","34","18","612","0","0",,"yes","no","no",,"yes","2021-02-09T00:00:00.000","2022-11-02T00:00:00.000","-73.9911434856","40.7327368814","986704.535761","206232.508188"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T Mobility Supply, LLC","AT&T Mobility","AT&T Mobility","Electronics Store; Cell Phone Store",,"3545 BROADWAY",,"Manhattan","10031","3545 BROADWAY, Manhattan, NY","23","6","138","0","0",,"yes","no","no",,"yes","2020-11-25T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.96255626052412 40.57740301358327)","sidewalk","angel v distribution","angel v distribution","none","Book Store",,"421 Brighton Beach Av.","Front","Brooklyn","11235","421 Brighton Beach Av., Brooklyn, NY","5","20","100","0","0",,"yes","no","no",,"yes","2020-11-13T00:00:00.000","2022-11-02T00:00:00.000","-73.9625562605","40.5774030136","994651.523148","149642.151225"
"POINT (-73.90343257938895 40.87733370320513)","sidewalk","Bailey Automotive Service","Bailey Automotive Service","Bailey Automotive Service","Bodega/Deli/Convenience Store",,"3031 Bailey Avenue",,"Bronx","10463","3031 Bailey Avenue, Bronx, NY","14","8","112","0","0",,"yes","no","no",,"yes","2021-10-14T00:00:00.000","2022-11-02T00:00:00.000","-73.9034325794","40.8773337032","1010955.06403","258928.838491"
"POINT (-73.98402784692814 40.69016442228962)","sidewalk","Kim","Beauty 35","Beauty Spot Inc","Beauty Supply, Fragrance, Cosmetics Store",,"523 Fulton Street",,"Brooklyn","11201","523 Fulton Street, Brooklyn, NY","15","5","75","0","0",,"yes","no","no",,"yes","2020-11-02T00:00:00.000","2022-11-02T00:00:00.000","-73.9840278469","40.6901644223","988679.425184","190722.351545"
"POINT (-73.8987810414361 40.85981778801587)","sidewalk","TrulyUrban llc","TrulyUrban llc","TrulyUrban llc","Other",,"2391 grand concourse","Front 1","Bronx","10468","2391 grand concourse , Bronx, NY","17","8","136","0","0",,"yes","no","no",,"yes","2020-10-30T00:00:00.000","2022-11-02T00:00:00.000","-73.8987810414","40.859817788","1012248.78881","252548.560569"
"POINT (-73.86770144815014 40.85509479593493)","sidewalk","Rainbow","Rainbow apparel company","Rainbow","Clothing, Shoe, Accessories Store",,"2155 white plains road",,"Bronx","10462","2155 white plains road , Bronx, NY","64","5","320","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.8677014482","40.8550947959","1020848.49634","250839.253948"
"POINT (-73.97527829879046 40.75239254864873)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"425 LEXINGTON AVENUE","105","Manhattan","10017","425 LEXINGTON AVENUE, Manhattan, NY","19","15","285","0","0",,"yes","no","yes","yes","yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9752782988","40.7523925486","991099.466604","213394.535859"
"POINT (-73.97653424967446 40.75935015622776)","sidewalk","Longchamp","Longchamp USA, inc.","Longchamp","Clothing, Shoe, Accessories Store",,"645 Fifth Avenue","101","Manhattan","10065","645 Fifth Avenue, Manhattan, NY","28","23","644","0","0",,"yes","no","no",,"yes","2021-04-08T00:00:00.000","2022-11-02T00:00:00.000","-73.9765342497","40.7593501562","990750.810149","215929.322784"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T","AT&T MOBILITY SUPPLY, LLC","Electronics Store; Cell Phone Store",,"476-478 FULTON STREET",,"Brooklyn","11201","476-478 FULTON STREET, Brooklyn, NY","12","41","492","0","0",,"yes","no","no",,"yes","2020-12-09T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-0.0000000001911132 -0.0000000001788617)","both",,,,,,,,,,,"0","0",,"0","0",,"no","no",,,,,"2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.96221461441338 40.77558213396691)","sidewalk","Studs","Studs","Studs","Clothing, Shoe, Accessories Store",,"41 E 78th St, New York, NY",,"Manhattan","10075","41 E 78th St, New York, NY , Manhattan, NY","20","15","300","0","0",,"yes","no","no",,"yes","2022-03-18T00:00:00.000","2022-11-02T00:00:00.000","-73.9622146144","40.775582134","994715.284504","221844.556689"
"POINT (-73.99566859821293 40.72178268019728)","sidewalk","popupshopstore","Popupshopstore","popupshopstore","Beauty Supply, Fragrance, Cosmetics Store",,"33 spring street",,"Manhattan","10012","33 spring street, Manhattan, NY","10","8","80","0","0",,"yes","no","no",,"yes","2020-11-02T00:00:00.000","2022-11-02T00:00:00.000","-73.9956685982","40.7217826802","985450.622259","202241.4581"
"POINT (-73.84646421852096 40.87062072025146)","sidewalk","honeybee bakery","honeybee bakery inc.","honeybee bakery","Specialty Food Store (Cheese shop, butcher, fruit and vegetable store, fish market, bakery, etc.)",,"1355 east gunhill road",,"Bronx","10469","1355 east gunhill road, Bronx, NY","19","3","57","0","0",,"yes","no","no",,"yes","2021-01-12T00:00:00.000","2022-11-02T00:00:00.000","-73.8464642185","40.8706207203","1026713.55089","256505.527393"
"POINT (-73.79226138546836 40.70651353432357)","sidewalk","MC PERFUMES, INC.","MC PERFUMES, INC.","MC PERFUMES","Beauty Supply, Fragrance, Cosmetics Store",,"16805 JAMAICA AVENUE",,"Queens","11432","16805 JAMAICA AVENUE, Queens, NY","15","30","450","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.7922613855","40.7065135343","1041846.25323","196746.709575"
"POINT (-73.89177502787776 40.82258491336907)","sidewalk","Kidstown","Versace Retail Systems LLC","Kidstown","Clothing, Shoe, Accessories Store",,"991 Southern Blvd","Street","Bronx","10459","991 Southern Blvd, Bronx, NY","60","18","1080","0","0",,"yes","no","no",,"yes","2020-12-29T00:00:00.000","2022-11-02T00:00:00.000","-73.8917750279","40.8225849134","1014203.52341","238985.557183"
"POINT (-73.85958114394946 40.752206012262306)","sidewalk","38 Farms Corp","38 Farms Corp","Stop 1","Bodega/Deli/Convenience Store",,"38-02 108th Street",,"Queens","11368","38-02 108th Street, Queens, NY","46","13","598","0","0",,"yes","no","no",,"yes","2021-03-25T00:00:00.000","2022-11-02T00:00:00.000","-73.8595811439","40.7522060123","1023154.95039","213356.790528"
"POINT (-74.01277618212373 40.64276475995849)","sidewalk","ES LA VIDA","ES LA VIDA CORPORATION","ES LA VIDA","Clothing, Shoe, Accessories Store",,"5402-04 5TH AVENUE",,"Brooklyn","11220","5402-04 5TH AVENUE, Brooklyn, NY","46","18","828","0","0",,"yes","no","no",,"yes","2020-11-06T00:00:00.000","2022-11-02T00:00:00.000","-74.0127761821","40.64276476","980704.3683","173453.170532"
"POINT (-73.9707363278132 40.604325602832176)","sidewalk","Mylo on second","Mylo on second","Mylo on second","Clothing, Shoe, Accessories Store",,"508 Kings Highway",,"Brooklyn","11223","508 Kings Highway , Brooklyn, NY","25","14","350","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.9707363278","40.6043256028","992375.899747","159449.865861"
"POINT (-73.99855628265041 40.620720941045874)","sidewalk","Luis Angel Music & Guitars","Luis Angel Music & Guitars","Luis Angel Music & Guitars","Other","Music/Retail Store","6822 New Utrecht Avenue",,"Brooklyn","11219","6822 New Utrecht Avenue, Brooklyn, NY","25","18","450","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9985562827","40.620720941","984650.791181","165421.76107"
"POINT (-73.90492070244227 40.700250533828715)","sidewalk","Babyblue","Babyblue 10 Inc.","Babyblue","Clothing, Shoe, Accessories Store",,"56-34/56-36 Myrtle Avenue",,"Queens","11385","56-34/56-36 Myrtle Avenue , Queens, NY","40","17","680","0","0",,"yes","no","no",,"yes","2020-11-05T00:00:00.000","2022-11-02T00:00:00.000","-73.9049207024","40.7002505338","1010613.56209","194410.923564"
"POINT (-73.89176471036347 40.823445502778675)","sidewalk","l'e nail spa inc","l'e nail spa inc","l'e nail spa inc","Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,"1012 southern blvd",,"Bronx","10459","1012 southern blvd, Bronx, NY","40","18","720","0","0",,"yes","no","no",,"yes","2020-10-28T00:00:00.000","2022-11-02T00:00:00.000","-73.8917647104","40.8234455028","1014205.99159","239299.104457"
"POINT (-73.7941469779611 40.70583019898821)","sidewalk","rainbow","rainbow usa inc","rainbow","Clothing, Shoe, Accessories Store",,"165-25 jamaica ave",,"Queens","11432","165-25 jamaica ave, Queens, NY","100","10","1000","0","0",,"yes","no","no",,"yes","2020-11-03T00:00:00.000","2022-11-02T00:00:00.000","-73.794146978","40.705830199","1041324.05218","196496.516506"
"POINT (-73.96072582121059 40.59189079825863)","sidewalk","Loconsolo Paints","Jack Loconsolo & Co., Inc.","Loconsolo Paints","Hardware, Arts & Crafts",,"2660 Coney Island Ave",,"Brooklyn","11223","2660 Coney Island Ave, Brooklyn, NY","30","12","360","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9607258212","40.5918907983","995157.635653","154920.636731"
"POINT (-0.0000000001911132 -0.0000000001788617)","sidewalk","AT&T Mobility Supply, LLC","AT&T","AT&T Mobility","Electronics Store; Cell Phone Store",,"107-24 CONTINENTAL AVENUE",,"Queens","11375","107-24 CONTINENTAL AVENUE, Queens, NY","23","16","368","0","0",,"yes","no","no",,"yes","2020-12-09T00:00:00.000","2022-11-02T00:00:00.000","-0.00000000019041344767","-1.78722274927E-10","31130726.7325","-2280004.57969"
"POINT (-73.91781779689373 40.625281365262076)","sidewalk","Best Wireless Mill Basin Inc.","Best Wireless Mill Basin Inc.","Best Wireless Mill Basin Inc.","Electronics Store; Cell Phone Store",,"2157 Ralph Avenue",,"Brooklyn","11234","2157 Ralph Avenue, Brooklyn, NY","5","5","25","0","0",,"yes","no","no",,"yes","2020-10-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9178177969","40.6252813653","1007063.08527","167093.942437"
"POINT (-73.88027773875832 40.87475404586599)","sidewalk","awaal","Amera's unique collection","Amera's unique collection","Clothing, Shoe, Accessories Store",,"3150 rochambeau venue","c51","Bronx","10467","3150 rochambeau venue, Bronx, NY","5","5","25","0","0",,"yes","no","no",,"yes","2022-01-04T00:00:00.000","2022-11-02T00:00:00.000","-73.8802777388","40.8747540459","1017359.65883","257996.873163"
"POINT (-73.9881132635536 40.72476443055785)","sidewalk","8 Bit And Up Video Games","35 St. Marks Place LLC","High Caliber Solutions","Electronics Store; Cell Phone Store",,"86 East 3rd Street","Ground Floor East","Manhattan","10003","86 East 3rd Street, Manhattan, NY","6","5","30","0","0",,"yes","no","no",,"yes","2020-12-29T00:00:00.000","2022-11-02T00:00:00.000","-73.9881132636","40.7247644306","987544.73979","203327.995625"
"POINT (-74.00951000639319 40.63048703217088)","sidewalk","Three Guys from Brooklyn","Penzim Produce Corp.","Three Guys from Brooklyn","Supermarket & Grocery Store",,"6502 Fort Hamilton Pkwy",,"Brooklyn","11219","6502 Fort Hamilton Pkwy, Brooklyn, NY","155","23","3565","0","0",,"yes","no","no",,"yes","2021-05-17T00:00:00.000","2022-11-02T00:00:00.000","-74.0095100064","40.6304870322","981610.308089","168979.947523"
"POINT (-73.99075231742064 40.714080748109566)","sidewalk","Belle Skin Care Center","Belle Skin Care Center","Belle Skin Care Center","Hair, Nail, Beauty Salon, Barber Shop, Misc. Personal Care",,"152 East Broadway",,"Manhattan","10002","152 East Broadway , Manhattan, NY","9","12","108","0","0",,"yes","no","no",,"yes","2020-11-09T00:00:00.000","2022-11-02T00:00:00.000","-73.9907523174","40.7140807481","986813.663496","199435.514236"
"POINT (-73.99535356446967 40.73928458232306)","sidewalk","AT&T MOBILITY SUPPLY, LLC","AT&T MOBILITY","AT&T MOBILITY","Electronics Store; Cell Phone Store",,"592 6TH AVENUE",,"Manhattan","10011","592 6TH AVENUE, Manhattan, NY","12","11","132","0","0",,"yes","no","no",,"yes","2020-11-19T00:00:00.000","2022-11-02T00:00:00.000","-73.9953535645","40.7392845823","985537.608305","208617.951908"
"POINT (-73.80472108356116 40.70218214269946)","sidewalk","GIANT USA MARKET","GIANT USA MARKET","GIANT USA MARKET","General Merchandise Store (99 cent store, etc.)",,"149-25 jamaica avenue",,"Queens","11435","149-25 jamaica avenue , Queens, NY","30","12","360","0","0",,"yes","no","no",,"yes","2021-11-14T00:00:00.000","2022-11-02T00:00:00.000","-73.8047210836","40.7021821427","1038395.28245","195160.711106"
