"location","event_date","check_in_from","check_in_to","event_title","job_family","company_name_or_type","qualifications","borough","location_name_and_address"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Direct Support Professional","Healthcare Practitioners and Support","Various","HS or GED current clean NYS drivers license Direct services to adults with developmental disabilities. Related experience preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Certified Nurse Assistant","Healthcare Practitioners and Support","Various","HS or GED equivalent required. Bilingual Russian, Tagalog, Mandarin, Cantonese, Spanish jobseekers encouraged to apply. Minimum of 1 year experience working in home care, long term care/ nursing facility. NYS license required New Grad ok.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Dietitians and Dietary Aides","Healthcare Practitioners and Support","Various","Dietians need a Bachelors Degree in Nutrition with 1 to 3 years of experience in Nutrition Counseling.  NYS CDN License. Pediatrics a plus. Dietary Aides need a High School or GED with 2 reference letters and valid State ID.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Nurse Practitioner","Healthcare Practitioners and Support","Various","NYS License caring for, diagnosing, and managing patients in both the primary care and. The nurse practitioner will collaborate with the team in diagnosing and creating plans for each patient.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Care Manager","Healthcare Practitioners and Support","Various","Minimum requirement is a Bachelors Degree (New Grad welcome) plus 2 Years of Human Services experience case management working with DD population/At risk/ Behavioral health OR 2 Years of DSP experience working with the DD population. Excellent communication and computer skills Bilingual Mandarin, Spanish, French, and Russian Bilingual candidates are preferred.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Care Manager","Healthcare Practitioners and Support","Various","Minimum requirement is a Bachelors Degree (New Grad welcome) plus 2 Years of Human Services experience case management working with DD population/At risk/ Behavioral health OR 2 Years of DSP experience working with the DD population. Excellent communication and computer skills Bilingual Mandarin, Spanish, French, and Russian Bilingual candidates are preferred.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Clinical Medical Assistant","Healthcare Practitioners and Support","Various","Medical Assistant NYS Certification required with at least 1 year of experience BCLS, great computer skills. Bi-lingual Russian, Mandarin, Korean and Spanish and non-bilingual as well.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Care Coordinator","Healthcare Practitioners and Support","Various","2-years experience in the Medical field .Must be open to travelling and do field work within the Bronx area. Associates degree required or High School Diploma with more than 2 years of hands on healthcare experience. Bi-lingual Spanish strongly preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Licensed Practical Nurse","Healthcare Practitioners and Support","Various","Current NYS Licensed Practical Nurse (LPN) license. New grad to experienced nurses in Nursing Home / Geriatric population. Able to commit to every other weekend. Professional with excellent communication skills.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Social Workeers  MSW, LMSW, LCSW, LMHC","Healthcare Practitioners and Support","Various","Masters Degree in social work, counseling, psychology, family therapy, or related field as recognized by the US Department of Education. One (1) year of experience, under supervision, in treating problems related to mental illness. Excellent organizational and communication skills. Licensed to practice in New York. Working knowledge of DSM-IV. role, Bilingual English/Spanish","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Licensed Practical Nurse","Healthcare Practitioners and Support","Various","Current NYS Licensed Practical Nurse (LPN) license. New grad to experienced nurses in Nursing Home / Geriatric population. Able to commit to every other weekend. Professional with excellent communication skills.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","CASAC","Healthcare Practitioners and Support","Various","Directly provides counseling, case management and other chemical dependency services to meet the social and emotional needs of chronically homeless individuals. Coordinates the use of local agency housing and community services to retain participants in permanent housing. NYS CASAC certification required,","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","School Registered Nurses","Healthcare Practitioners and Support","Various","Bachelor degree required from an accredited nursing program and current NYS licensure required. New grad to experienced RNs with working experience in a long-term care, home care, case management, school, hospital, community clinics and residential facilities. Bilingual-Spanish, Tagalog, Mandarin, Ordu, Bengali, Cantonese, or Russian jobseekers are encouraged to apply.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Clinical Director","Healthcare Practitioners and Support","Various","Licensed Psychologist or Licensed Clinical Social Worker with current, valid NYS registration.  A condition of continuing employment is that licensure is maintained. 5 years minimum clinical experience with children, adolescents, and adults.  3 years minimum progressive administrative and/or supervisory experience.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Care Coordinator","Healthcare Practitioners and Support","Various","2-years experience in the Medical field .Must be open to travelling and do field work within the Bronx area. Associates degree required or High School Diploma with more than 2 years of hands on healthcare experience. Bi-lingual Spanish strongly preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","School Registered Nurses","Healthcare Practitioners and Support","Various","Bachelor degree required from an accredited nursing program and current NYS licensure required. New grad to experienced RNs with working experience in a long-term care, home care, case management, school, hospital, community clinics and residential facilities. Bilingual-Spanish, Tagalog, Mandarin, Ordu, Bengali, Cantonese, or Russian jobseekers are encouraged to apply.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Clinical Director","Healthcare Practitioners and Support","Various","Licensed Psychologist or Licensed Clinical Social Worker with current, valid NYS registration.  A condition of continuing employment is that licensure is maintained. 5 years minimum clinical experience with children, adolescents, and adults.  3 years minimum progressive administrative and/or supervisory experience.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","CASAC","Healthcare Practitioners and Support","Various","Directly provides counseling, case management and other chemical dependency services to meet the social and emotional needs of chronically homeless individuals. Coordinates the use of local agency housing and community services to retain participants in permanent housing. NYS CASAC certification required,","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Registered Nurse Care Manager","Healthcare Practitioners and Support","Various","Associate of Science in Nursing  & NYS RN License and registration.The Registered Nurse Care Manager through interventions such as complex case management and utilization management, the RN Care Manager will ensure coordination of health care services, member education, and preventative interventions. Non-Bilingual and Bilingual  Koran, Mandarin or Cantonese, Bengali, Hindi or Urdu.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Certified Nurse Assistant","Healthcare Practitioners and Support","Various","HS or GED equivalent required. Bilingual Russian, Tagalog, Mandarin, Cantonese, Spanish jobseekers encouraged to apply. Minimum of 1 year experience working in home care, long term care/ nursing facility. NYS license required New Grad ok.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Dietitians and Dietary Aides","Healthcare Practitioners and Support","Various","Dietians need a Bachelors Degree in Nutrition with 1 to 3 years of experience in Nutrition Counseling.  NYS CDN License. Pediatrics a plus. Dietary Aides need a High School or GED with 2 reference letters and valid State ID.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Nurse Supervisor","Healthcare Practitioners and Support","Various","Masters Degree NYS Registered License Nurse. Must have at least 6 months of Management Experience clinical and admin. Functions in 24hr Care Center Responsible for providing leadership to a team of nurses and at the same time, they must employ their business skills to ensure they are providing the best patient care.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Certified Nurse Assistant","Healthcare Practitioners and Support","Various","HS or GED equivalent required. Bilingual Russian, Tagalog, Mandarin, Cantonese, Spanish jobseekers encouraged to apply. Minimum of 1 year experience working in home care, long term care/ nursing facility. NYS license required New Grad ok.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Clinical Director","Healthcare Practitioners and Support","Various","Licensed Psychologist or Licensed Clinical Social Worker with current, valid NYS registration.  A condition of continuing employment is that licensure is maintained. 5 years minimum clinical experience with children, adolescents, and adults.  3 years minimum progressive administrative and/or supervisory experience.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","School Registered Nurses","Healthcare Practitioners and Support","Various","Bachelor degree required from an accredited nursing program and current NYS licensure required. New grad to experienced RNs with working experience in a long-term care, home care, case management, school, hospital, community clinics and residential facilities. Bilingual-Spanish, Tagalog, Mandarin, Ordu, Bengali, Cantonese, or Russian jobseekers are encouraged to apply.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Registered Nurses","Healthcare Practitioners and Support","Various","Bachelor degree required from an accredited nursing program and current NYS licensure required. New grad to experienced RNs with working experience in a long-term care, home care, case management, school, hospital, community clinics and residential facilities. Bilingual-Spanish, Tagalog, Mandarin, Ordu, Bengali, Cantonese, or Russian jobseekers are encouraged to apply.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Care Coordinator","Healthcare Practitioners and Support","Various","2-years experience in the Medical field .Must be open to travelling and do field work within the Bronx area. Associates degree required or High School Diploma with more than 2 years of hands on healthcare experience. Bi-lingual Spanish strongly preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Registered Nurse Care Manager","Healthcare Practitioners and Support","Various","Associate of Science in Nursing  & NYS RN License and registration.The Registered Nurse Care Manager through interventions such as complex case management and utilization management, the RN Care Manager will ensure coordination of health care services, member education, and preventative interventions. Non-Bilingual and Bilingual  Koran, Mandarin or Cantonese, Bengali, Hindi or Urdu.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Peer Specialist","Healthcare Practitioners and Support","Various","High school diploma or equivalency diploma required  OMH-Certified or Provisional Peer Specialist/ OASAS-Certified Peer Advocate  Possess great communication skills. Some experience and demonstrates the ability to work with individuals impacted by mental health and/or substance abuse is required.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Peer Specialist","Healthcare Practitioners and Support","Various","High school diploma or equivalency diploma required  OMH-Certified or Provisional Peer Specialist/ OASAS-Certified Peer Advocate  Possess great communication skills. Some experience and demonstrates the ability to work with individuals impacted by mental health and/or substance abuse is required.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","CASAC","Healthcare Practitioners and Support","Various","Directly provides counseling, case management and other chemical dependency services to meet the social and emotional needs of chronically homeless individuals. Coordinates the use of local agency housing and community services to retain participants in permanent housing. NYS CASAC certification required,","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Care Coordinator","Healthcare Practitioners and Support","Various","2-years experience in the Medical field .Must be open to travelling and do field work within the Bronx area. Associates degree required or High School Diploma with more than 2 years of hands on healthcare experience. Bi-lingual Spanish strongly preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Dietitians and Dietary Aides","Healthcare Practitioners and Support","Various","Dietians need a Bachelors Degree in Nutrition with 1 to 3 years of experience in Nutrition Counseling.  NYS CDN License. Pediatrics a plus. Dietary Aides need a High School or GED with 2 reference letters and valid State ID.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","CASAC","Healthcare Practitioners and Support","Various","Directly provides counseling, case management and other chemical dependency services to meet the social and emotional needs of chronically homeless individuals. Coordinates the use of local agency housing and community services to retain participants in permanent housing. NYS CASAC certification required,","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Clinical Medical Assistant","Healthcare Practitioners and Support","Various","Medical Assistant NYS Certification required with at least 1 year of experience BCLS, great computer skills. Bi-lingual Russian, Mandarin, Korean and Spanish and non-bilingual as well.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Direct Support Professional","Healthcare Practitioners and Support","Various","HS or GED current clean NYS drivers license Direct services to adults with developmental disabilities. Related experience preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Clinical Medical Assistant","Healthcare Practitioners and Support","Various","Medical Assistant NYS Certification required with at least 1 year of experience BCLS, great computer skills. Bi-lingual Russian, Mandarin, Korean and Spanish and non-bilingual as well.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Registered Nurse Care Manager","Healthcare Practitioners and Support","Various","Associate of Science in Nursing  & NYS RN License and registration.The Registered Nurse Care Manager through interventions such as complex case management and utilization management, the RN Care Manager will ensure coordination of health care services, member education, and preventative interventions. Non-Bilingual and Bilingual  Koran, Mandarin or Cantonese, Bengali, Hindi or Urdu.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Peer Specialist","Healthcare Practitioners and Support","Various","High school diploma or equivalency diploma required  OMH-Certified or Provisional Peer Specialist/ OASAS-Certified Peer Advocate  Possess great communication skills. Some experience and demonstrates the ability to work with individuals impacted by mental health and/or substance abuse is required.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Licensed Practical Nurse","Healthcare Practitioners and Support","Various","Current NYS Licensed Practical Nurse (LPN) license. New grad to experienced nurses in Nursing Home / Geriatric population. Able to commit to every other weekend. Professional with excellent communication skills.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Certified Recovery Peer Advocate","Healthcare Practitioners and Support","Various","Certified Recovery Peer Advocate is facilitating outreach with individuals currently in a program or considering treatment. Utilizing their recovery expertise, professional training and lived experience, peers boost individuals' engagement in treatment and commitment to recovery. NYS CRPA certification required","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Direct Support Professional","Healthcare Practitioners and Support","Various","HS or GED current clean NYS drivers license Direct services to adults with developmental disabilities. Related experience preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Certified Nurse Assistant","Healthcare Practitioners and Support","Various","HS or GED equivalent required. Bilingual Russian, Tagalog, Mandarin, Cantonese, Spanish jobseekers encouraged to apply. Minimum of 1 year experience working in home care, long term care/ nursing facility. NYS license required New Grad ok.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Registered Nurses","Healthcare Practitioners and Support","Various","Bachelor degree required from an accredited nursing program and current NYS licensure required. New grad to experienced RNs with working experience in a long-term care, home care, case management, school, hospital, community clinics and residential facilities. Bilingual-Spanish, Tagalog, Mandarin, Ordu, Bengali, Cantonese, or Russian jobseekers are encouraged to apply.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Care Manager","Healthcare Practitioners and Support","Various","Minimum requirement is a Bachelors Degree (New Grad welcome) plus 2 Years of Human Services experience case management working with DD population/At risk/ Behavioral health OR 2 Years of DSP experience working with the DD population. Excellent communication and computer skills Bilingual Mandarin, Spanish, French, and Russian Bilingual candidates are preferred.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Case Manager","Healthcare Practitioners and Support","Various","Masters degree in Health or Human Services related field, required. Minimum of 23 years experience working with medically and psychosocially ill populations. Must be computer proficient with excellent writing and communication","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Clinical Medical Assistant","Healthcare Practitioners and Support","Various","Medical Assistant NYS Certification required with at least 1 year of experience BCLS, great computer skills. Bi-lingual Russian, Mandarin, Korean and Spanish and non-bilingual as well.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Certified Recovery Peer Advocate","Healthcare Practitioners and Support","Various","Certified Recovery Peer Advocate is facilitating outreach with individuals currently in a program or considering treatment. Utilizing their recovery expertise, professional training and lived experience, peers boost individuals' engagement in treatment and commitment to recovery. NYS CRPA certification required","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Clinical Director","Healthcare Practitioners and Support","Various","Licensed Psychologist or Licensed Clinical Social Worker with current, valid NYS registration.  A condition of continuing employment is that licensure is maintained. 5 years minimum clinical experience with children, adolescents, and adults.  3 years minimum progressive administrative and/or supervisory experience.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Certified Recovery Peer Advocate","Healthcare Practitioners and Support","Various","Certified Recovery Peer Advocate is facilitating outreach with individuals currently in a program or considering treatment. Utilizing their recovery expertise, professional training and lived experience, peers boost individuals' engagement in treatment and commitment to recovery. NYS CRPA certification required","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Nurse Supervisor","Healthcare Practitioners and Support","Various","Masters Degree NYS Registered License Nurse. Must have at least 6 months of Management Experience clinical and admin. Functions in 24hr Care Center Responsible for providing leadership to a team of nurses and at the same time, they must employ their business skills to ensure they are providing the best patient care.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Case Manager","Healthcare Practitioners and Support","Various","Masters degree in Health or Human Services related field, required. Minimum of 23 years experience working with medically and psychosocially ill populations. Must be computer proficient with excellent writing and communication","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Registered Nurses","Healthcare Practitioners and Support","Various","Bachelor degree required from an accredited nursing program and current NYS licensure required. New grad to experienced RNs with working experience in a long-term care, home care, case management, school, hospital, community clinics and residential facilities. Bilingual-Spanish, Tagalog, Mandarin, Ordu, Bengali, Cantonese, or Russian jobseekers are encouraged to apply.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Thursday, March 19, 2020","10:00 AM","1:00 PM","Certified Recovery Peer Advocate","Healthcare Practitioners and Support","Various","Certified Recovery Peer Advocate is facilitating outreach with individuals currently in a program or considering treatment. Utilizing their recovery expertise, professional training and lived experience, peers boost individuals' engagement in treatment and commitment to recovery. NYS CRPA certification required","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Direct Support Professional","Healthcare Practitioners and Support","Various","HS or GED current clean NYS drivers license Direct services to adults with developmental disabilities. Related experience preferred","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Clinical Laboratory Technologist","Healthcare Practitioners and Support","Various","Bachelors degree in Life Science or Medical Lab Technology and be licensed to practice as a clinical lab technologist in the state of New York.  Experience with laboratory and clinical information systems is also required, as the ability to perform centrifugation, pipetting and all other relevant lab procedures.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Clinical Laboratory Technologist","Healthcare Practitioners and Support","Various","Bachelors degree in Life Science or Medical Lab Technology and be licensed to practice as a clinical lab technologist in the state of New York.  Experience with laboratory and clinical information systems is also required, as the ability to perform centrifugation, pipetting and all other relevant lab procedures.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Care Manager","Healthcare Practitioners and Support","Various","Minimum requirement is a Bachelors Degree (New Grad welcome) plus 2 Years of Human Services experience case management working with DD population/At risk/ Behavioral health OR 2 Years of DSP experience working with the DD population. Excellent communication and computer skills Bilingual Mandarin, Spanish, French, and Russian Bilingual candidates are preferred.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Social Workeers  MSW, LMSW, LCSW, LMHC","Healthcare Practitioners and Support","Various","Masters Degree in social work, counseling, psychology, family therapy, or related field as recognized by the US Department of Education. One (1) year of experience, under supervision, in treating problems related to mental illness. Excellent organizational and communication skills. Licensed to practice in New York. Working knowledge of DSM-IV. role, Bilingual English/Spanish","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Nurse Practitioner","Healthcare Practitioners and Support","Various","NYS License caring for, diagnosing, and managing patients in both the primary care and. The nurse practitioner will collaborate with the team in diagnosing and creating plans for each patient.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Wednesday, March 18, 2020","10:00 AM","1:00 PM","Licensed Practical Nurse","Healthcare Practitioners and Support","Various","Current NYS Licensed Practical Nurse (LPN) license. New grad to experienced nurses in Nursing Home / Geriatric population. Able to commit to every other weekend. Professional with excellent communication skills.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Monday, March 16, 2020","10:00 AM","1:00 PM","Peer Specialist","Healthcare Practitioners and Support","Various","High school diploma or equivalency diploma required  OMH-Certified or Provisional Peer Specialist/ OASAS-Certified Peer Advocate  Possess great communication skills. Some experience and demonstrates the ability to work with individuals impacted by mental health and/or substance abuse is required.","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Friday, March 20, 2020","10:00 AM","1:00 PM","Social Workeers  MSW, LMSW, LCSW, LMHC","Healthcare Practitioners and Support","Various","Masters Degree in social work, counseling, psychology, family therapy, or related field as recognized by the US Department of Education. One (1) year of experience, under supervision, in treating problems related to mental illness. Excellent organizational and communication skills. Licensed to practice in New York. Working knowledge of DSM-IV. role, Bilingual English/Spanish","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
"Healthcare Sector Center - LM","Tuesday, March 17, 2020","10:00 AM","1:00 PM","Certified Recovery Peer Advocate","Healthcare Practitioners and Support","Various","Certified Recovery Peer Advocate is facilitating outreach with individuals currently in a program or considering treatment. Utilizing their recovery expertise, professional training and lived experience, peers boost individuals' engagement in treatment and commitment to recovery. NYS CRPA certification required","Manhattan","Healthcare Sector Center - LM, 14 Wall Street, 17th Floor Suite 1715, New York, NY 10005"
