"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","location","borough","date_insta","point_x","point_y","femafldz","femafldt","hrcevac","ntaname"
"POINT (-73.9895049998896 40.767816000650214)","1","Manhattan","104","6","67","47","12","10 Avenue and West  55 Street","Manhattan","2017-09-06T00:00:00.000","-73.989505","40.767816","X","AREA OF MINIMAL FLOOD HAZARD","6","Hell's Kitchen"
"POINT (-73.94744399976895 40.640047001196216)","3","Brooklyn","317","45","42","21","9","Newkirk Avenue and East  31 Street","Brooklyn","2023-04-18T00:00:00.000","-73.947444","40.640047","X","AREA OF MINIMAL FLOOD HAZARD","5","East Flatbush-Farragut"
"POINT (-73.91027099944021 40.87427100064668)","1","Manhattan","208","10","72","31","13","Broadway and West 225 Street","Manhattan","2023-06-26T00:00:00.000","-73.910271","40.874271","X","AREA OF MINIMAL FLOOD HAZARD","4","Kingsbridge-Marble Hill"
"POINT (-73.80355899983108 40.69696900099301)","4","Queens","412","28","32","14","5","Liberty Avenue and 148 Street","Queens","2020-06-01T00:00:00.000","-73.803559","40.696969","X","AREA OF MINIMAL FLOOD HAZARD","6","Jamaica"
"POINT (-73.75114899961066 40.750320000516204)","4","Queens","411","23","25","11","6","Horace Harding Expressway E/B and Cloverdale Boulevard","Queens","2019-12-10T00:00:00.000","-73.751149","40.75032","X","AREA OF MINIMAL FLOOD HAZARD",,"Oakland Gardens-Hollis Hills"
"POINT (-73.98287000015445 40.7667200008983)","1","Manhattan","104","3","75","28","12","8 Avenue and West  57 Street","Manhattan","2019-08-29T00:00:00.000","-73.98287","40.76672","X","AREA OF MINIMAL FLOOD HAZARD",,"Midtown-Times Square"
"POINT (-73.9884909999332 40.71273100136279)","1","Manhattan","103","1","65","27","10","Madison Street and Jefferson Street","Manhattan","2014-06-20T00:00:00.000","-73.988491","40.712731","X","AREA OF MINIMAL FLOOD HAZARD","3","Chinatown-Two Bridges"
"POINT (-73.7771159999743 40.71426700093035)","4","Queens","408","24","24","11","5","Hillside Avenue and 185 Street","Queens","2022-10-21T00:00:00.000","-73.777116","40.714267","X","AREA OF MINIMAL FLOOD HAZARD",,"Jamaica Estates-Holliswood"
"POINT (-73.93433999971236 40.755012000571575)","4","Queens","401","26","36","59","7","38 Avenue and 28 Street","Queens","2021-10-01T00:00:00.000","-73.93434","40.755012","X","AREA OF MINIMAL FLOOD HAZARD",,"Queensbridge-Ravenswood-Dutch Kills"
"POINT (-73.96330200054193 40.808853001135766)","1","Manhattan","109","7","69","30","13","Broadway and West 117 Street","Manhattan","2018-05-17T00:00:00.000","-73.963302","40.808853","X","AREA OF MINIMAL FLOOD HAZARD",,"Morningside Heights"
"POINT (-74.01439100053199 40.70359900067589)","1","Manhattan","101","1","61","27","10","State Street and Bridge Street","Manhattan","2023-06-14T00:00:00.000","-74.014391","40.703599","X","AREA OF MINIMAL FLOOD HAZARD","3","Financial District-Battery Park City"
"POINT (-73.92726800023509 40.86554700122325)","1","Manhattan","112","10","71","31","13","Broadway with Riverside Drive and Dyckman Street","Manhattan","2016-10-31T00:00:00.000","-73.927268","40.865547","X","AREA OF MINIMAL FLOOD HAZARD","6","Inwood"
"POINT (-73.79235000051663 40.72714000080246)","4","Queens","408","24","25","16","6","Utopia Parkway and  76 Avenue","Queens","2021-04-14T00:00:00.000","-73.79235","40.72714","X","AREA OF MINIMAL FLOOD HAZARD",,"Pomonok-Electchester-Hillcrest"
"POINT (-73.81161599984054 40.68127400076322)","4","Queens","410","28","31","10","5","Linden Boulevard and 130 Street","Queens","2023-05-26T00:00:00.000","-73.811616","40.681274","X","AREA OF MINIMAL FLOOD HAZARD",,"South Ozone Park"
"POINT (-73.81700600058213 40.588620000938775)","4","Queens","414","32","23","10","5","Beach Channel Drive and Beach  92 Street","Queens","2022-07-05T00:00:00.000","-73.817006","40.58862","X","AREA OF MINIMAL FLOOD HAZARD","1","Rockaway Beach-Arverne-Edgemere"
"POINT (-73.9413820003325 40.67807300128525)","3","Brooklyn","303","36","56","20","8","Atlantic Avenue and Kingston Avenue","Brooklyn","2019-07-08T00:00:00.000","-73.941382","40.678073","X","AREA OF MINIMAL FLOOD HAZARD",,"Crown Heights (North)"
"POINT (-73.83727500005187 40.84001600091699)","2","Bronx","210","13","82","34","14","East Tremont Avenue and Hutchinson River Parkway","Bronx","2017-01-18T00:00:00.000","-73.837275","40.840016","X","AREA OF MINIMAL FLOOD HAZARD","6","Throgs Neck-Schuylerville"
"POINT (-73.70191999978928 40.73871000093759)","4","Queens","413","23","33","11","3","Hillside Avenue and 267th Street","Queens","2021-02-04T00:00:00.000","-73.70192","40.73871","X","AREA OF MINIMAL FLOOD HAZARD",,"Glen Oaks-Floral Park-New Hyde Park"
"POINT (-73.91678399995426 40.83989400078006)","2","Bronx","204","16","77","32","15","East 170 Street and Townsend Avenue","Bronx","2023-02-24T00:00:00.000","-73.916784","40.839894","X","AREA OF MINIMAL FLOOD HAZARD",,"Mount Eden-Claremont (West)"
"POINT (-73.90500699982228 40.90414000132715)","2","Bronx","208","11","81","33","15","Riverdale Avenue and West 256 Street","Bronx","2022-02-16T00:00:00.000","-73.905007","40.90414","X","AREA OF MINIMAL FLOOD HAZARD",,"Riverdale-Spuyten Duyvil"
"POINT (-73.98728899989311 40.69221900084642)","3","Brooklyn","302","33","52","26","10","Jay Street and Willoughby Street","Brooklyn","2013-02-13T00:00:00.000","-73.987289","40.692219","X","AREA OF MINIMAL FLOOD HAZARD",,"Downtown Brooklyn-DUMBO-Boerum Hill"
"POINT (-73.82503400054428 40.73733000072294)","4","Queens","408","24","27","16","6","Main Street and Between 63 Avenue and Gravett Road (Pedestrian Crossing)","Queens","2019-02-25T00:00:00.000","-73.825034","40.73733","X","AREA OF MINIMAL FLOOD HAZARD",,"Kew Gardens Hills"
"POINT (-73.87034499978157 40.67298700118599)","3","Brooklyn","305","42","60","19","8","Sutter Avenue and Pine Street","Brooklyn","2021-09-13T00:00:00.000","-73.870345","40.672987","X","AREA OF MINIMAL FLOOD HAZARD","3","East New York-City Line"
"POINT (-73.94541799988397 40.62449600090392)","3","Brooklyn","318","45","42","21","9","Avenue K and East  31 Street","Brooklyn","2022-10-24T00:00:00.000","-73.945418","40.624496","X","AREA OF MINIMAL FLOOD HAZARD","5","Flatlands"
"POINT (-73.9808589998106 40.7419700007374)","1","Manhattan","106","2","74","59","12","3 Avenue and East  28 Street","Manhattan","2020-08-05T00:00:00.000","-73.980859","40.74197","X","AREA OF MINIMAL FLOOD HAZARD",,"Murray Hill-Kips Bay"
"POINT (-74.06099000045643 40.607099000530575)","5","Staten Island","501","50","64","23","11","Bay Street and School Road","Staten Island","2023-01-06T00:00:00.000","-74.06099","40.607099","X","AREA OF MINIMAL FLOOD HAZARD",,"Rosebank-Shore Acres-Park Hill"
"POINT (-73.91652299981575 40.72207900129377)","4","Queens","402","30","37","12","7","Maspeth Avenue and Page Place","Queens","2023-05-06T00:00:00.000","-73.916523","40.722079","X","AREA OF MINIMAL FLOOD HAZARD","5","Maspeth"
"POINT (-73.95440299979941 40.78978700050863)","1","Manhattan","164","6","68","30","12","5 Avenue between East  98 Street and East 101 Street","Manhattan","2017-01-25T00:00:00.000","-73.954403","40.789787","X","AREA OF MINIMAL FLOOD HAZARD",,"Central Park"
"POINT (-73.888742000518 40.835706001126496)","2","Bronx","203","17","79","32","15","Southern Boulevard and East 173 Street","Bronx","2023-04-05T00:00:00.000","-73.888742","40.835706","X","AREA OF MINIMAL FLOOD HAZARD",,"Crotona Park East"
"POINT (-74.01163699985563 40.704046000950896)","1","Manhattan","101","1","61","27","10","Broad Street and Stone Street","Manhattan","2016-04-06T00:00:00.000","-74.011637","40.704046","AE",,"1","Financial District-Battery Park City"
"POINT (-73.9311569995718 40.58608700070545)","3","Brooklyn","315","48","59","22","8","Knapp Street with Shore Parkway North Service Road and Harkness Avenue","Brooklyn","2023-02-22T00:00:00.000","-73.931157","40.586087","X","AREA OF MINIMAL FLOOD HAZARD","1","Sheepshead Bay-Manhattan Beach-Gerritsen Beach"
"POINT (-73.85667000059216 40.882450001168024)","2","Bronx","212","12","83","36","15","Bronxwood Avenue and East 220 Street","Bronx","2010-02-03T00:00:00.000","-73.85667","40.88245","X","AREA OF MINIMAL FLOOD HAZARD",,"Williamsbridge-Olinville"
"POINT (-73.91932100013729 40.69705400090705)","3","Brooklyn","304","37","53","18","7","Wilson Avenue and Bleecker Street","Brooklyn","2022-10-07T00:00:00.000","-73.919321","40.697054","X","AREA OF MINIMAL FLOOD HAZARD",,"Bushwick (East)"
"POINT (-73.98256200041219 40.731362000717816)","1","Manhattan","106","2","74","59","12","1  Avenue and East  14 Street","Manhattan","2018-03-24T00:00:00.000","-73.982562","40.731362","X","AREA OF MINIMAL FLOOD HAZARD","5","Gramercy"
"POINT (-73.93419800009913 40.85321300048669)","1","Manhattan","112","10","72","31","13","Broadway and West 186 Street","Manhattan","2023-06-09T00:00:00.000","-73.934198","40.853213","X","AREA OF MINIMAL FLOOD HAZARD",,"Washington Heights (North)"
"POINT (-73.94836799949664 40.72656100111859)","3","Brooklyn","301","33","50","59","7","Norman Avenue and Newel Street","Brooklyn","2023-01-17T00:00:00.000","-73.948368","40.726561","X","AREA OF MINIMAL FLOOD HAZARD","3","Greenpoint"
"POINT (-74.02750099975594 40.616961001183995)","3","Brooklyn","310","43","46","26","11","Ft. Hamilton Parkway and  92 Street","Brooklyn","2019-05-13T00:00:00.000","-74.027501","40.616961","X","AREA OF MINIMAL FLOOD HAZARD",,"Bay Ridge"
"POINT (-73.99417599958305 40.77153100061843)","1","Manhattan","104","6","67","47","12","12 Avenue and West  57 Street.","Manhattan","2023-06-01T00:00:00.000","-73.994176","40.771531","AE",,"2","Hell's Kitchen"
"POINT (-73.93864899984251 40.791559001331244)","1","Manhattan","111","8","68","29","13","1  Avenue and East 109 Street","Manhattan","2020-08-28T00:00:00.000","-73.938649","40.791559","AE",,"3","East Harlem (North)"
"POINT (-74.16236200025624 40.60792700054465)","5","Staten Island","502","50","63","24","11","Richmond Avenue and 200` N/O Victory Blvd","Staten Island","2023-03-17T00:00:00.000","-74.162362","40.607927","X","AREA OF MINIMAL FLOOD HAZARD","6","New Springville-Willowbrook-Bulls Head-Travis"
"POINT (-73.84316999948561 40.672148000822496)","4","Queens","410","32","23","15","5","Cross Bay Boulevard and Pitkin Avenue","Queens","2020-01-05T00:00:00.000","-73.84317","40.672148","X","AREA OF MINIMAL FLOOD HAZARD","5","Ozone Park"
"POINT (-73.98894699974731 40.76348500098846)","1","Manhattan","104","3","75","47","12","9 Avenue and West 50 Street","Manhattan","2023-06-21T00:00:00.000","-73.988947","40.763485","X","AREA OF MINIMAL FLOOD HAZARD",,"Hell's Kitchen"
"POINT (-73.9061100002896 40.768087001175395)","4","Queens","401","22","34","12","14","Astoria Boulevard South and 45 Street","Queens","2023-04-10T00:00:00.000","-73.90611","40.768087","X","AREA OF MINIMAL FLOOD HAZARD",,"Astoria (North)-Ditmars-Steinway"
"POINT (-73.87792999949143 40.756339000585974)","4","Queens","403","25","34","13","14","Northern Boulevard and  90 Street","Queens","2018-04-25T00:00:00.000","-73.87793","40.756339","X","AREA OF MINIMAL FLOOD HAZARD",,"Jackson Heights"
"POINT (-73.90234600004048 40.65574500121114)","3","Brooklyn","316","42","60","19","8","Linden Boulevard and Christopher Avenue (mid-block)","Brooklyn","2018-12-27T00:00:00.000","-73.902346","40.655745","X","AREA OF MINIMAL FLOOD HAZARD","4","East New York-New Lots"
"POINT (-74.16421199965589 40.58699100135334)","5","Staten Island","502","51","63","24","11","Richmond Hill Road and Ring Road","Staten Island","2022-09-23T00:00:00.000","-74.164212","40.586991","X","AREA OF MINIMAL FLOOD HAZARD","4","New Springville-Willowbrook-Bulls Head-Travis"
"POINT (-73.9737009999035 40.79458000092405)","1","Manhattan","107","6","69","47","12","West End Avenue and West  95 Street","Manhattan","2021-06-18T00:00:00.000","-73.973701","40.79458","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side (Central)"
"POINT (-73.93973300010708 40.660074000591074)","3","Brooklyn","309","41","43","20","9","Albany Avenue and Rutland Road","Brooklyn","2022-09-16T00:00:00.000","-73.939733","40.660074","X","AREA OF MINIMAL FLOOD HAZARD",,"Prospect Lefferts Gardens-Wingate"
"POINT (-73.95481600037496 40.789206000675)","1","Manhattan","164","8","68","29","13","5 Avenue and East  98 Street","Manhattan","2023-04-28T00:00:00.000","-73.954816","40.789206","X","AREA OF MINIMAL FLOOD HAZARD",,"East Harlem (South)"
"POINT (-73.95414500009542 40.58310600090308)","3","Brooklyn","315","48","45","23","8","Neptune Avenue and Emmons Avenue / Shore Boulevard","Brooklyn","2018-06-23T00:00:00.000","-73.954145","40.583106","AE",,"1","Sheepshead Bay-Manhattan Beach-Gerritsen Beach"
"POINT (-73.9606010003412 40.66002800066777)","3","Brooklyn","309","40","43","20","9","Flatbush Avenue and Maple Street / Beekman Place","Brooklyn","2019-09-24T00:00:00.000","-73.960601","40.660028","X","AREA OF MINIMAL FLOOD HAZARD",,"Prospect Lefferts Gardens-Wingate"
"POINT (-74.07140599995998 40.612727000919385)","5","Staten Island","501","49","63","23","11","Tompkins Avenue and Clifton Avenue","Staten Island","2022-03-02T00:00:00.000","-74.071406","40.612727","X","AREA OF MINIMAL FLOOD HAZARD",,"Rosebank-Shore Acres-Park Hill"
"POINT (-73.98872400031543 40.67034100115723)","3","Brooklyn","306","39","44","26","10","4 Avenue and   9 Street","Brooklyn","2015-10-26T00:00:00.000","-73.988724","40.670341","X","AREA OF MINIMAL FLOOD HAZARD",,"Park Slope"
"POINT (-73.9901670001073 40.689730000613324)","3","Brooklyn","302","33","52","26","10","Boerum Place and State Street","Brooklyn","2013-11-26T00:00:00.000","-73.990167","40.68973","X","AREA OF MINIMAL FLOOD HAZARD",,"Brooklyn Heights"
"POINT (-73.80777300041886 40.6823650004842)","4","Queens","410","28","31","10","5","Linden Boulevard and Lincoln Street","Queens","2022-02-07T00:00:00.000","-73.807773","40.682365","X","AREA OF MINIMAL FLOOD HAZARD",,"South Ozone Park"
"POINT (-73.86761999983354 40.857237001159504)","2","Bronx","211","13","80","33","15","Pelham Parkway westbound and White Plains Road","Bronx","2023-04-22T00:00:00.000","-73.86762","40.857237","X","AREA OF MINIMAL FLOOD HAZARD",,"Pelham Parkway-Van Nest"
"POINT (-73.75300799964103 40.763056001279736)","4","Queens","411","19","26","11","3","Northern Boulevard and Alley Pond Environmental Center","Queens","2018-08-30T00:00:00.000","-73.753008","40.763056","AE",,"1","Alley Pond Park"
"POINT (-73.79237300040501 40.75307100049434)","4","Queens","411","19","25","16","6","Hollis Court Boulevard and Utopia Parkway","Queens","2022-07-14T00:00:00.000","-73.792373","40.753071","X","AREA OF MINIMAL FLOOD HAZARD",,"Auburndale"
"POINT (-74.02446599966778 40.620436001076314)","3","Brooklyn","310","43","46","26","11","86 Street and Ft. Hamilton Parkway","Brooklyn","2019-04-16T00:00:00.000","-74.024466","40.620436","X","AREA OF MINIMAL FLOOD HAZARD",,"Bay Ridge"
"POINT (-73.8340989998342 40.86408800098876)","2","Bronx","212","12","82","36","15","East Gun Hill Road and Waldbaums Center Exit/Entr","Bronx","2022-10-10T00:00:00.000","-73.834099","40.864088","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4","Eastchester-Edenwald-Baychester"
"POINT (-73.93370200032899 40.73928800124731)","4","Queens","402","26","37","12","7","Hunters Point Avenue and  32nd Place","Queens","2020-12-22T00:00:00.000","-73.933702","40.739288","X","AREA OF MINIMAL FLOOD HAZARD","5","Sunnyside"
"POINT (-73.8728060005072 40.840869001248855)","2","Bronx","206","15","87","33","14","Morris Park Avenue and East 180 Street","Bronx","2020-08-14T00:00:00.000","-73.872806","40.840869","X","AREA OF MINIMAL FLOOD HAZARD","6","Pelham Parkway-Van Nest"
"POINT (-73.96200699992374 40.80550900114672)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue and West 114 Street","Manhattan","2016-08-12T00:00:00.000","-73.962007","40.805509","X","AREA OF MINIMAL FLOOD HAZARD",,"Morningside Heights"
"POINT (-73.87780400045361 40.75043200064372)","4","Queens","403","25","34","13","14","37 Avenue and  89 Street","Queens","2023-01-12T00:00:00.000","-73.877804","40.750432","X","AREA OF MINIMAL FLOOD HAZARD",,"Jackson Heights"
"POINT (-74.09260900028941 40.60323000136948)","5","Staten Island","502","50","64","23","11","Richmond Road and Spring Street","Staten Island","2022-11-17T00:00:00.000","-74.092609","40.60323","X","AREA OF MINIMAL FLOOD HAZARD",,"Grasmere-Arrochar-South Beach-Dongan Hills"
"POINT (-73.96230399992092 40.65734500095907)","3","Brooklyn","355","39","44","20","10","Ocean Avenue and Prospect Park South Entrance","Brooklyn","2018-12-13T00:00:00.000","-73.962304","40.657345","X","AREA OF MINIMAL FLOOD HAZARD",,"Prospect Park"
"POINT (-73.93286200014762 40.85050600117458)","1","Manhattan","112","10","72","31","13","Saint Nicholas Avenue and West 183 Street","Manhattan","2022-06-24T00:00:00.000","-73.932862","40.850506","X","AREA OF MINIMAL FLOOD HAZARD",,"Washington Heights (North)"
"POINT (-73.78784900005184 40.71182300085791)","4","Queens","408","24","29","11","5","Hillside Avenue and 175 Street","Queens","2019-08-09T00:00:00.000","-73.787849","40.711823","X","AREA OF MINIMAL FLOOD HAZARD",,"Jamaica Estates-Holliswood"
"POINT (-73.89781899960234 40.648060000918285)","3","Brooklyn","318","42","58","19","8","Glenwood Road and East 103 Street","Brooklyn","2023-04-11T00:00:00.000","-73.897819","40.64806","X","AREA OF MINIMAL FLOOD HAZARD","3","Canarsie"
"POINT (-74.08574900012898 40.63395500093754)","5","Staten Island","501","49","61","23","11","Victory Boulevard and Cebra Avenue","Staten Island","2022-06-10T00:00:00.000","-74.085749","40.633955","X","AREA OF MINIMAL FLOOD HAZARD",,"West New Brighton-Silver Lake-Grymes Hill"
"POINT (-73.85385299972327 40.84918500117762)","2","Bronx","211","13","80","34","15","Morris Park Avenue and Lurting Avenue","Bronx","2023-03-22T00:00:00.000","-73.853853","40.849185","X","AREA OF MINIMAL FLOOD HAZARD",,"Morris Park"
"POINT (-73.99808500053994 40.73031000119735)","1","Manhattan","102","1","66","27","10","Washington Square South and Thompson Street","Manhattan","2015-08-09T00:00:00.000","-73.998085","40.73031","X","AREA OF MINIMAL FLOOD HAZARD","5","Greenwich Village"
"POINT (-73.85925099948211 40.88989700104815)","2","Bronx","212","12","83","36","16","White Plains Road and East 228 Street","Bronx","2022-09-20T00:00:00.000","-73.859251","40.889897","X","AREA OF MINIMAL FLOOD HAZARD",,"Williamsbridge-Olinville"
"POINT (-73.97879800030654 40.77741000056614)","1","Manhattan","107","6","67","47","12","Columbus Avenue and West  72 Street","Manhattan","2020-06-16T00:00:00.000","-73.978798","40.77741","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.93865999968206 40.68609100105708)","3","Brooklyn","303","36","56","25","8","Marcus Garvey Boulevard and Madison Street","Brooklyn","2021-12-07T00:00:00.000","-73.93866","40.686091","X","AREA OF MINIMAL FLOOD HAZARD",,"Bedford-Stuyvesant (East)"
"POINT (-74.0073110005375 40.610077001151495)","3","Brooklyn","311","43","47","17","11","86 Street and  16 Avenue","Brooklyn","2023-05-22T00:00:00.000","-74.007311","40.610077","X","AREA OF MINIMAL FLOOD HAZARD","5","Bath Beach"
"POINT (-73.98908400054258 40.773490000974775)","1","Manhattan","107","6","67","47","12","West End Avenue and West  62 Street","Manhattan","2023-03-31T00:00:00.000","-73.989084","40.77349","X","AREA OF MINIMAL FLOOD HAZARD","6","Upper West Side-Lincoln Square"
"POINT (-73.818556000562 40.707267000935886)","4","Queens","408","24","24","14","5","Van Wyck Expressway East S/R and  86 Avenue","Queens","2023-05-16T00:00:00.000","-73.818556","40.707267","X","AREA OF MINIMAL FLOOD HAZARD",,"Jamaica Hills-Briarwood"
"POINT (-74.01150499999468 40.702960000727764)","1","Manhattan","101","1","61","27","10","Water Street and Broad Street","Manhattan","2022-08-31T00:00:00.000","-74.011505","40.70296","AE",,"1","Financial District-Battery Park City"
"POINT (-73.93452199960157 40.74484800123545)","4","Queens","402","26","37","12","7","Thomson Avenue and  31 Place","Queens","2020-05-27T00:00:00.000","-73.934522","40.744848","X","AREA OF MINIMAL FLOOD HAZARD","6","Sunnyside"
"POINT (-73.94134599974159 40.81343800075242)","1","Manhattan","110","9","70","30","13","Lenox Avenue and West 134 Street","Manhattan","2021-06-01T00:00:00.000","-73.941346","40.813438","X","AREA OF MINIMAL FLOOD HAZARD","5","Harlem (North)"
"POINT (-73.90116600056224 40.87507400059061)","2","Bronx","208","14","81","31","13","Sedgwick Avenue and West 230 Street","Bronx","2019-03-18T00:00:00.000","-73.901166","40.875074","X","AREA OF MINIMAL FLOOD HAZARD",,"Kingsbridge Heights-Van Cortlandt Village"
"POINT (-73.94610000025492 40.60227000072665)","3","Brooklyn","315","48","41","22","9","Avenue T and East  26 Street","Brooklyn","2021-01-22T00:00:00.000","-73.9461","40.60227","X","AREA OF MINIMAL FLOOD HAZARD","4","Madison"
"POINT (-73.99251699977648 40.71317700064367)","1","Manhattan","103","1","65","27","10","Pike Street and Henry Street","Manhattan","2022-07-22T00:00:00.000","-73.992517","40.713177","X","AREA OF MINIMAL FLOOD HAZARD",,"Chinatown-Two Bridges"
"POINT (-73.82676200022092 40.87895000132788)","2","Bronx","210","12","82","36","14","Co-op City Boulevard and Carver Loop West","Bronx","2015-10-12T00:00:00.000","-73.826762","40.87895","X","AREA OF MINIMAL FLOOD HAZARD","4","Co-op City"
"POINT (-73.95894100041214 40.58221700050476)","3","Brooklyn","313","48","45","23","8","Neptune Avenue and East  11 Street","Brooklyn","2022-01-25T00:00:00.000","-73.958941","40.582217","AE",,"1","Brighton Beach"
"POINT (-73.96154800039353 40.80613500062925)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue and West 115 Street","Manhattan","2023-05-31T00:00:00.000","-73.961548","40.806135","X","AREA OF MINIMAL FLOOD HAZARD",,"Morningside Heights"
"POINT (-73.88643499992662 40.72165200129257)","4","Queens","405","30","30","15","6","Eliot Avenue and  72 Street","Queens","2016-12-07T00:00:00.000","-73.886435","40.721652","X","AREA OF MINIMAL FLOOD HAZARD",,"Middle Village"
"POINT (-74.19220899992465 40.5535290012718)","5","Staten Island","503","51","62","24","11","Arden Avenue and King Kullen Mall","Staten Island","2022-12-06T00:00:00.000","-74.192209","40.553529","X","AREA OF MINIMAL FLOOD HAZARD",,"Arden Heights-Rossville"
"POINT (-73.83623999974432 40.882324000595304)","2","Bronx","212","12","83","36","15","Boston Road and Boller Avenue (South Leg)","Bronx","2021-04-14T00:00:00.000","-73.83624","40.882324","X","AREA OF MINIMAL FLOOD HAZARD",,"Eastchester-Edenwald-Baychester"
"POINT (-74.00584100049429 40.71170700125794)","1","Manhattan","101","1","66","27","10","Spruce Street and Nassau Street","Manhattan","2020-03-20T00:00:00.000","-74.005841","40.711707","X","AREA OF MINIMAL FLOOD HAZARD","5","Financial District-Battery Park City"
"POINT (-73.94351199987268 40.83593200067855)","1","Manhattan","112","7","72","31","13","Broadway and West 160 Street","Manhattan","2019-10-23T00:00:00.000","-73.943512","40.835932","X","AREA OF MINIMAL FLOOD HAZARD",,"Washington Heights (South)"
"POINT (-73.96100700019545 40.65008100112109)","3","Brooklyn","314","40","42","21","9","Church Avenue and Ocean Avenue","Brooklyn","2020-11-24T00:00:00.000","-73.961007","40.650081","X","AREA OF MINIMAL FLOOD HAZARD",,"Flatbush"
"POINT (-73.95997700024553 40.65020900077413)","3","Brooklyn","314","40","42","20","9","Church Avenue and East  21 Street","Brooklyn","2022-01-06T00:00:00.000","-73.959977","40.650209","X","AREA OF MINIMAL FLOOD HAZARD",,"Flatbush"
"POINT (-73.8176499996715 40.688750000963076)","4","Queens","410","28","24","15","5","Liberty Avenue and 127 Street","Queens","2021-07-23T00:00:00.000","-73.81765","40.68875","X","AREA OF MINIMAL FLOOD HAZARD",,"South Ozone Park"
"POINT (-73.99149599949403 40.6879610011707)","3","Brooklyn","302","33","52","26","10","Boerum Place and Dean Street","Brooklyn","2022-09-21T00:00:00.000","-73.991496","40.687961","X","AREA OF MINIMAL FLOOD HAZARD","6","Downtown Brooklyn-DUMBO-Boerum Hill"
"POINT (-73.91017499983941 40.85198100079399)","2","Bronx","205","14","77","33","15","West Tremont Avenue and Davidson Avenue","Bronx","2022-07-07T00:00:00.000","-73.910175","40.851981","X","AREA OF MINIMAL FLOOD HAZARD",,"University Heights (South)-Morris Heights"
"POINT (-73.86022400021443 40.72935500055501)","4","Queens","406","29","28","15","6","Queens Boulevard with  64 Avenue and  64 Road","Queens","2021-03-30T00:00:00.000","-73.860224","40.729355","X","AREA OF MINIMAL FLOOD HAZARD",,"Rego Park"
"POINT (-73.72321499958186 40.75460300137986)","4","Queens","411","23","26","11","3","Little Neck Parkway and Grand Central Parkway North and 254 Street","Queens","2022-02-18T00:00:00.000","-73.723215","40.754603","X","AREA OF MINIMAL FLOOD HAZARD",,"Douglaston-Little Neck"
"POINT (-73.96884299950852 40.785969001242385)","1","Manhattan","164","6","69","47","12","Central Park West and West  87 Street","Manhattan","2023-05-08T00:00:00.000","-73.968843","40.785969","X","AREA OF MINIMAL FLOOD HAZARD",,"Central Park"
"POINT (-73.99660900058734 40.61654800119041)","3","Brooklyn","311","43","49","17","11","17 Avenue and  72 Street","Brooklyn","2020-04-12T00:00:00.000","-73.996609","40.616548","X","AREA OF MINIMAL FLOOD HAZARD",,"Bensonhurst"
"POINT (-73.97722200010158 40.71930900114364)","1","Manhattan","103","2","74","27","10","East Houston Street and Baruch Drive","Manhattan","2022-11-03T00:00:00.000","-73.977222","40.719309","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","Lower East Side"
"POINT (-73.9908629994715 40.60013300056712)","3","Brooklyn","311","47","47","17","11","86 Street and Bay 34 Street","Brooklyn","2022-05-12T00:00:00.000","-73.990863","40.600133","X","AREA OF MINIMAL FLOOD HAZARD","2","Gravesend (West)"
"POINT (-73.97960900058392 40.57757900074465)","3","Brooklyn","313","48","46","23","8","West 12 Street and Between Neptune Avenue and  Surf Avenue","Brooklyn","2019-04-08T00:00:00.000","-73.979609","40.577579","AE",,"1","Coney Island-Sea Gate"
"POINT (-73.77993300022409 40.59538300093437)","4","Queens","414","31","31","10","5","Beach Channel Drive and Beach 49 Street","Queens","2023-03-01T00:00:00.000","-73.779933","40.595383","AE",,"1","Rockaway Beach-Arverne-Edgemere"
"POINT (-73.83307299984983 40.72993200074453)","4","Queens","408","24","27","14","6","Park Drive East and 136 Street","Queens","2020-01-16T00:00:00.000","-73.833073","40.729932","X","AREA OF MINIMAL FLOOD HAZARD",,"Kew Gardens Hills"
"POINT (-74.0672830001295 40.61564300050621)","5","Staten Island","501","49","63","23","11","Bay Street and Virginia Avenue","Staten Island","2023-06-08T00:00:00.000","-74.067283","40.615643","X","AREA OF MINIMAL FLOOD HAZARD","6","Rosebank-Shore Acres-Park Hill"
"POINT (-73.89174500018781 40.8601780005202)","2","Bronx","206","15","78","33","15","Park Avenue S/B and East 189 Street","Bronx","2022-06-18T00:00:00.000","-73.891745","40.860178","X","AREA OF MINIMAL FLOOD HAZARD",,"Belmont"
"POINT (-73.98523999995804 40.61711400123706)","3","Brooklyn","311","47","49","17","9","20 Avenue and  64 Street","Brooklyn","2021-09-17T00:00:00.000","-73.98524","40.617114","X","AREA OF MINIMAL FLOOD HAZARD",,"Bensonhurst"
