"site","location","sample_date","analysis_date_tthm_g_l_a","result_tthm_g_l_a","lraa_tthm_g_l_a","oel_tthm_g_l_a","analysis_date_haa5_g_l_b","result_haa5_g_l_b","lraa_haa5_g_l_b","oel_haa5_g_l_b"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2021-08-03T00:00:00.000","2021-08-03T20:38:00.000","69","47","54","2021-08-05T00:00:00.000","40","45","47"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2021-08-03T00:00:00.000","2021-08-03T19:35:00.000","40","24","28","2021-08-04T00:00:00.000","17","14","15"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2021-08-03T00:00:00.000","2021-08-03T19:15:00.000","36","22","25","2021-08-04T00:00:00.000","19","15","15"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2021-08-03T00:00:00.000","2021-08-03T20:18:00.000","47","28","33","2021-08-05T00:00:00.000","25","20","22"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2021-08-03T00:00:00.000","2021-08-03T19:57:00.000","66","45","51","2021-08-04T00:00:00.000","44","46","47"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2021-08-03T00:00:00.000","2021-08-03T19:37:00.000","62","32","40","2021-08-05T00:00:00.000","49","26","33"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2021-08-03T00:00:00.000","2021-08-03T17:57:00.000","63","41","48","2021-08-05T00:00:00.000","55","52","56"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2021-08-03T00:00:00.000","2021-08-03T20:59:00.000","44","35","37","2021-08-05T00:00:00.000","48","43","47"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2021-08-03T00:00:00.000","2021-08-03T16:57:00.000","42","32","36","2021-08-05T00:00:00.000","42","40","43"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2021-05-04T00:00:00.000","2021-05-05T14:43:00.000","37","36","33","2021-05-11T00:00:00.000","51","41","44"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2021-05-04T00:00:00.000","2021-05-04T20:31:00.000","35","33","31","2021-05-10T00:00:00.000","47","43","43"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2021-05-04T00:00:00.000","2021-05-04T21:32:00.000","41","49","41","2021-05-06T00:00:00.000","57","43","47"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2021-05-04T00:00:00.000","2021-05-04T18:07:00.000","42","42","38","2021-05-06T00:00:00.000","61","52","54"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2021-05-04T00:00:00.000","2021-05-04T21:12:00.000","41","38","37","2021-05-06T00:00:00.000","57","48","49"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2021-05-04T00:00:00.000","2021-05-04T20:52:00.000","43","44","39","2021-05-10T00:00:00.000","53","42","47"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2021-05-04T00:00:00.000","2021-05-04T17:46:00.000","38","34","34","2021-05-08T00:00:00.000","62","52","53"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2021-05-04T00:00:00.000","2021-05-04T20:11:00.000","43","38","37","2021-05-10T00:00:00.000","63","52","55"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2021-05-04T00:00:00.000","2021-05-04T16:02:00.000","42","44","38","2021-05-05T00:00:00.000","63","49","53"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2021-05-04T00:00:00.000","2021-05-05T15:22:00.000","40","42","38","2021-05-10T00:00:00.000","55","49","48"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2021-05-04T00:00:00.000","2021-05-04T16:23:00.000","30","33","26","2021-05-06T00:00:00.000","32","33","31"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2021-05-04T00:00:00.000","2021-05-04T22:13:00.000","43","41","39","2021-05-10T00:00:00.000","56","47","48"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2021-05-04T00:00:00.000","2021-05-04T19:51:00.000","46","46","41","2021-05-06T00:00:00.000","56","45","49"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2021-05-04T00:00:00.000","2021-05-05T15:02:00.000","18","30","19","2021-05-10T00:00:00.000","12","20","13"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2021-05-04T00:00:00.000","2021-05-04T21:53:00.000","13","27","16","2021-05-10T00:00:00.000","11","21","13"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2021-05-04T00:00:00.000","2021-05-04T19:30:00.000","21","33","22","2021-05-06T00:00:00.000","18","23","18"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2021-05-04T00:00:00.000","2021-05-04T19:09:00.000","42","40","39","2021-05-07T00:00:00.000","51","47","47"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2021-05-04T00:00:00.000","2021-05-04T18:28:00.000","18","31","21","2021-05-06T00:00:00.000","14","22","18"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2021-05-04T00:00:00.000","2021-05-04T17:25:00.000","40","39","35","2021-05-05T00:00:00.000","65","48","54"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2021-05-04T00:00:00.000","2021-05-05T16:21:00.000","38","33","31","2021-05-10T00:00:00.000","45","41","41"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2021-02-02T00:00:00.000","2021-02-04T17:08:00.000","26","42","37","2021-02-06T00:00:00.000","40","50","43"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2021-02-02T00:00:00.000","2021-02-03T15:48:00.000","23","32","30","2021-02-04T00:00:00.000","40","41","41"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2021-02-02T00:00:00.000","2021-02-03T19:43:00.000","33","48","47","2021-02-06T00:00:00.000","50","41","42"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2021-02-02T00:00:00.000","2021-02-03T16:47:00.000","28","42","39","2021-02-06T00:00:00.000","45","48","48"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2021-02-02T00:00:00.000","2021-02-03T19:23:00.000","31","38","36","2021-02-06T00:00:00.000","47","45","46"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2021-02-02T00:00:00.000","2021-02-03T19:04:00.000","35","43","42","2021-02-06T00:00:00.000","49","40","41"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2021-02-02T00:00:00.000","2021-02-03T16:27:00.000","26","33","31","2021-02-05T00:00:00.000","49","48","48"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2021-02-02T00:00:00.000","2021-02-03T15:28:00.000","31","38","35","2021-02-03T00:00:00.000","49","48","49"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2021-02-02T00:00:00.000","2021-02-03T15:09:00.000","28","45","41","2021-02-06T00:00:00.000","47","49","45"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2021-02-02T00:00:00.000","2021-02-04T17:27:00.000","28","43","39","2021-02-06T00:00:00.000","47","50","47"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2021-02-02T00:00:00.000","2021-02-03T18:44:00.000","30","46","42","2021-02-05T00:00:00.000","50","44","43"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2021-02-02T00:00:00.000","2021-02-04T16:28:00.000","14","35","29","2021-02-06T00:00:00.000","13","28","20"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2021-02-02T00:00:00.000","2021-02-04T16:09:00.000","13","35","27","2021-02-06T00:00:00.000","12","33","21"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2021-02-02T00:00:00.000","2021-02-03T18:25:00.000","18","39","33","2021-02-04T00:00:00.000","20","34","24"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2021-02-02T00:00:00.000","2021-02-03T18:05:00.000","30","40","37","2021-02-05T00:00:00.000","49","48","47"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2021-02-02T00:00:00.000","2021-02-04T18:07:00.000","18","38","31","2021-02-04T00:00:00.000","20","31","23"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2021-02-02T00:00:00.000","2021-02-03T16:08:00.000","26","37","36","2021-02-04T00:00:00.000","47","46","44"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2021-02-02T00:00:00.000","2021-02-03T20:02:00.000","23","37","33","2021-02-06T00:00:00.000","42","39","39"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2021-02-02T00:00:00.000","2021-02-03T20:22:00.000","23","31","29","2021-02-04T00:00:00.000","41","40","40"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2021-02-02T00:00:00.000","2021-02-03T17:06:00.000","16","36","29","2021-02-04T00:00:00.000","27","41","31"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2020-11-04T00:00:00.000","2020-11-04T22:12:00.000","29","38","39","2020-11-06T00:00:00.000","32","45","42"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2020-11-04T00:00:00.000","2020-11-04T19:34:00.000","29","31","34","2020-11-10T00:00:00.000","36","40","40"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2020-11-04T00:00:00.000","2020-11-04T17:11:00.000","50","51","52","2020-11-10T00:00:00.000","24","38","34"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2020-11-04T00:00:00.000","2020-11-04T20:53:00.000","38","40","44","2020-11-05T00:00:00.000","48","48","49"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2020-11-04T00:00:00.000","2020-11-04T16:51:00.000","33","37","39","2020-11-10T00:00:00.000","36","44","43"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2020-11-04T00:00:00.000","2020-11-04T17:31:00.000","36","42","44","2020-11-06T00:00:00.000","32","38","36"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2020-11-04T00:00:00.000","2020-11-04T20:13:00.000","32","32","35","2020-11-06T00:00:00.000","40","46","45"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2020-11-04T00:00:00.000","2020-11-04T19:54:00.000","32","35","38","2020-11-05T00:00:00.000","43","45","46"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2020-11-04T00:00:00.000","2020-11-04T16:31:00.000","39","45","48","2020-11-10T00:00:00.000","38","49","46"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2020-11-04T00:00:00.000","2020-11-04T19:14:00.000","44","44","47","2020-11-05T00:00:00.000","36","50","47"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2020-11-04T00:00:00.000","2020-11-04T18:35:00.000","42","42","46","2020-11-05T00:00:00.000","38","51","49"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2020-11-04T00:00:00.000","2020-11-04T17:16:00.000","42","45","49","2020-11-05T00:00:00.000","34","43","40"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2020-11-04T00:00:00.000","2020-11-04T18:15:00.000","25","38","38","2020-11-05T00:00:00.000","15","36","29"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2020-11-04T00:00:00.000","2020-11-04T17:55:00.000","24","38","38","2020-11-05T00:00:00.000","16","41","34"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2020-11-04T00:00:00.000","2020-11-04T17:35:00.000","27","41","41","2020-11-06T00:00:00.000","17","40","33"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2020-11-04T00:00:00.000","2020-11-04T16:56:00.000","41","39","43","2020-11-10T00:00:00.000","38","48","46"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2020-11-04T00:00:00.000","2020-11-04T16:36:00.000","31","40","41","2020-11-06T00:00:00.000","22","36","31"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2020-11-04T00:00:00.000","2020-11-04T20:33:00.000","35","37","39","2020-11-05T00:00:00.000","39","46","44"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2020-11-04T00:00:00.000","2020-11-04T21:13:00.000","34","37","39","2020-11-06T00:00:00.000","31","38","36"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2020-11-04T00:00:00.000","2020-11-04T18:30:00.000","24","30","31","2020-11-06T00:00:00.000","33","38","38"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2020-08-04T00:00:00.000","2020-08-04T20:06:00.000","55","38","42","2020-08-06T00:00:00.000","42","44","47"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2020-08-04T00:00:00.000","2020-08-04T16:40:00.000","43","31","35","2020-08-07T00:00:00.000","48","39","43"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2020-08-04T00:00:00.000","2020-08-04T16:34:00.000","70","49","56","2020-08-07T00:00:00.000","42","41","43"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2020-08-04T00:00:00.000","2020-08-04T19:46:00.000","60","40","46","2020-08-05T00:00:00.000","53","44","49"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2020-08-04T00:00:00.000","2020-08-04T16:53:00.000","47","37","40","2020-08-07T00:00:00.000","53","43","48"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2020-08-04T00:00:00.000","2020-08-04T17:12:00.000","62","42","49","2020-08-07T00:00:00.000","35","39","39"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2020-08-04T00:00:00.000","2020-08-04T20:25:00.000","39","31","34","2020-08-06T00:00:00.000","55","44","50"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2020-08-04T00:00:00.000","2020-08-04T16:20:00.000","47","35","39","2020-08-07T00:00:00.000","53","43","47"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2020-08-04T00:00:00.000","2020-08-04T21:23:00.000","68","48","52","2020-08-05T00:00:00.000","48","48","51"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2020-08-04T00:00:00.000","2020-08-04T18:36:00.000","55","43","46","2020-08-06T00:00:00.000","56","49","55"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2020-08-04T00:00:00.000","2020-08-04T18:17:00.000","53","44","45","2020-08-06T00:00:00.000","55","50","55"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2020-08-04T00:00:00.000","2020-08-04T17:31:00.000","64","45","51","2020-08-07T00:00:00.000","38","41","44"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2020-08-04T00:00:00.000","2020-08-04T17:57:00.000","62","42","47","2020-08-06T00:00:00.000","39","40","42"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2020-08-04T00:00:00.000","2020-08-04T17:38:00.000","59","42","47","2020-08-06T00:00:00.000","43","45","47"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2020-08-04T00:00:00.000","2020-08-04T17:51:00.000","67","46","51","2020-08-05T00:00:00.000","38","43","46"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2020-08-04T00:00:00.000","2020-08-04T18:10:00.000","45","39","40","2020-08-06T00:00:00.000","51","46","51"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2020-08-04T00:00:00.000","2020-08-04T18:29:00.000","57","44","46","2020-08-06T00:00:00.000","30","38","38"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2020-08-04T00:00:00.000","2020-08-04T21:43:00.000","51","38","41","2020-08-06T00:00:00.000","40","38","40"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2020-08-04T00:00:00.000","2020-08-04T16:59:00.000","45","32","35","2020-08-13T00:00:00.000","44","38","41"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2020-08-04T00:00:00.000","2020-08-04T13:53:00.000","55","42","45","2020-08-07T00:00:00.000","39","45","46"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2020-05-05T00:00:00.000","2020-05-07T20:08:00.000","32","33","29","2020-05-07T00:00:00.000","42","37","37"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2020-05-05T00:00:00.000","2020-05-07T19:27:00.000","34","33","29","2020-05-07T00:00:00.000","41","36","37"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2020-05-05T00:00:00.000","2020-05-07T19:48:00.000","39","47","41","2020-05-08T00:00:00.000","47","41","42"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2020-05-05T00:00:00.000","2020-05-08T10:54:00.000","40","39","35","2020-05-09T00:00:00.000","47","40","43"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2020-05-05T00:00:00.000","2020-05-08T14:35:00.000","41","41","36","2020-05-09T00:00:00.000","45","38","41"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2020-05-05T00:00:00.000","2020-05-08T14:15:00.000","40","41","37","2020-05-09T00:00:00.000","45","40","42"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2020-05-05T00:00:00.000","2020-05-08T13:55:00.000","35","33","30","2020-05-09T00:00:00.000","46","41","42"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2020-05-05T00:00:00.000","2020-05-07T19:07:00.000","40","38","33","2020-05-07T00:00:00.000","46","39","41"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2020-05-05T00:00:00.000","2020-05-07T18:46:00.000","44","49","42","2020-05-06T00:00:00.000","61","45","51"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2020-05-05T00:00:00.000","2020-05-07T21:10:00.000","46","47","41","2020-05-07T00:00:00.000","59","43","50"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2020-05-05T00:00:00.000","2020-05-08T13:35:00.000","45","50","42","2020-05-09T00:00:00.000","65","46","53"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2020-05-05T00:00:00.000","2020-05-06T14:48:00.000","46","42","40","2020-05-07T00:00:00.000","54","39","45"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2020-05-05T00:00:00.000","2020-05-07T20:49:00.000","38","42","36","2020-05-09T00:00:00.000","46","40","42"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2020-05-05T00:00:00.000","2020-05-07T20:29:00.000","45","43","39","2020-05-09T00:00:00.000","61","45","50"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2020-05-05T00:00:00.000","2020-05-06T14:28:00.000","44","46","41","2020-05-07T00:00:00.000","61","40","49"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2020-05-05T00:00:00.000","2020-05-06T14:09:00.000","44","47","39","2020-05-07T00:00:00.000","55","40","47"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2020-05-05T00:00:00.000","2020-05-06T13:49:00.000","46","48","41","2020-05-07T00:00:00.000","51","36","43"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2020-05-05T00:00:00.000","2020-05-08T12:02:00.000","44","42","39","2020-05-07T00:00:00.000","64","43","51"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2020-05-05T00:00:00.000","2020-05-06T13:30:00.000","32","40","33","2020-05-08T00:00:00.000","54","42","47"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2020-05-05T00:00:00.000","2020-05-08T12:55:00.000","38","40","35","2020-05-08T00:00:00.000","42","36","38"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 12""","2020-02-04T00:00:00.000","2020-02-04T19:08:00.000","24","42","37","2020-02-05T00:00:00.000","43","38","37"
"77650","SS - W/S 207th St, OPP 110-52 E/S 207th St, 6""","2020-02-04T00:00:00.000","2020-02-05T18:45:00.000","19","31","29","2020-02-06T00:00:00.000","34","36","35"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2020-02-04T00:00:00.000","2020-02-05T11:05:00.000","44","45","48","2020-02-06T00:00:00.000","40","39","39"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2020-02-04T00:00:00.000","2020-02-05T18:05:00.000","23","37","35","2020-02-06T00:00:00.000","42","38","39"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2020-02-04T00:00:00.000","2020-02-05T10:45:00.000","25","40","37","2020-02-06T00:00:00.000","40","36","37"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2020-02-04T00:00:00.000","2020-02-04T18:48:00.000","31","39","39","2020-02-06T00:00:00.000","41","37","39"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Cheshire Ave, 20""","2020-02-04T00:00:00.000","2020-02-05T17:44:00.000","21","30","29","2020-02-06T00:00:00.000","42","40","40"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2020-02-04T00:00:00.000","2020-02-05T18:25:00.000","21","36","33","2020-02-06T00:00:00.000","37","38","37"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2020-02-04T00:00:00.000","2020-02-05T17:04:00.000","29","49","46","2020-02-05T00:00:00.000","48","40","42"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2020-02-04T00:00:00.000","2020-02-05T12:27:00.000","29","46","42","2020-02-07T00:00:00.000","47","43","40"
"38250","SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""","2020-02-04T00:00:00.000","2020-02-05T12:06:00.000","27","49","45","2020-02-07T00:00:00.000","44","43","41"
"37950","SS - IFO 325 N/S E 12th Street, 2nd SS E/O 2nd Ave, 12""","2020-02-04T00:00:00.000","2020-02-05T13:48:00.000","28","43","38","2020-02-05T00:00:00.000","45","36","37"
"33950","SS - N/S E 104th Street, 2nd SS E/O 3rd Avenue, 12""","2020-02-04T00:00:00.000","2020-02-05T11:46:00.000","26","40","39","2020-02-07T00:00:00.000","44","40","39"
"33450","SS - IFO 135 N/S W 112th St, 2nd SS W/O St Nicholas Ave, 12""","2020-02-04T00:00:00.000","2020-02-05T11:26:00.000","25","40","38","2020-02-07T00:00:00.000","42","42","40"
"32350","SS - IFO 116 E/S Ave C, 2nd SS N/O E 7th St, 12""","2020-02-04T00:00:00.000","2020-02-05T13:27:00.000","27","46","42","2020-02-05T00:00:00.000","45","37","36"
"31850","SS - IFO 82 S/S Warren St, 2nd SS E/O Greenwich St, 12""","2020-02-04T00:00:00.000","2020-02-05T13:07:00.000","27","43","43","2020-02-06T00:00:00.000","48","37","39"
"31750","SS - IFO 427 N/S W 26th St, 2nd SS W/O 9th Ave, 12""","2020-02-04T00:00:00.000","2020-02-05T12:47:00.000","24","46","42","2020-02-06T00:00:00.000","42","35","34"
"24350","SS - W/S Brighton 11th Street, 2nd SS S/O Cass Place, 12""","2020-02-04T00:00:00.000","2020-02-05T17:24:00.000","27","40","39","2020-02-06T00:00:00.000","48","40","41"
"23450","SS - N/S Jefferson Avenue, 2nd SS W/O Lewis Avenue, 20""","2020-02-04T00:00:00.000","2020-02-04T16:47:00.000","23","39","37","2020-02-05T00:00:00.000","39","36","35"
"18650","SS - N/S Dewey Ave, BTW Quincy & Swinton Aves, 12""","2020-02-04T00:00:00.000","2020-02-04T18:28:00.000","18","33","30","2020-02-07T00:00:00.000","33","37","34"
"15150","SS - IFO 1420 E/S Grand Concourse, 1st SS S/O E 171st St, 20""","2019-11-06T00:00:00.000","2019-11-06T22:37:00.000","44","43","47","2019-11-09T00:00:00.000","32","38","36"
"77650","SS - OPP 110-52 E/S 207th St","2019-11-06T00:00:00.000","2019-11-06T21:57:00.000","28","33","33","2019-11-08T00:00:00.000","31","38","36"
"58650","SS - IFO 510 W/S Main St, 2nd SS S/O Hylan Blvd, 12""","2019-11-06T00:00:00.000","2019-11-08T13:52:00.000","41","43","45","2019-11-08T00:00:00.000","34","41","37"
"52050","SS - IFO 218 W/S Nicholas Ave, 1st SS S/O Charles Ave, 12""","2019-11-06T00:00:00.000","2019-11-06T21:18:00.000","35","39","40","2019-11-09T00:00:00.000","34","39","36"
"50850","SS - IFO 512 W/S Arlene St, 1st SS N/O Dawson Ct, 12""","2019-11-06T00:00:00.000","2019-11-06T19:40:00.000","36","40","42","2019-11-08T00:00:00.000","33","37","34"
"50750","SS - E/S Woodhull Ave, 1st SS S/O Albourne Ave, 8""","2019-11-06T00:00:00.000","2019-11-06T19:59:00.000","35","38","40","2019-11-08T00:00:00.000","36","37","35"
"50250","SS - IFO 937 N/S Victory Blvd, 2nd SS E/O Highland Ave, 20""","2019-11-06T00:00:00.000","2019-11-06T20:58:00.000","27","31","32","2019-11-09T00:00:00.000","32","40","38"
"45250","SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Drive, 12""","2019-11-06T00:00:00.000","2019-11-06T21:38:00.000","31","36","38","2019-11-08T00:00:00.000","34","39","38"
"44350","SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""","2019-11-06T00:00:00.000","2019-11-08T11:11:00.000","52","50","55","2019-11-13T00:00:00.000","33","39","36"
"39650","SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""","2019-11-06T00:00:00.000","2019-11-06T19:00:00.000","41","46","49","2019-11-07T00:00:00.000","34","43","40"
