"title_description","o_c_or_prom","list_title_code","exam_no","list_agency_code","agency_desc","list_div_code","list_est_date","aac_cnt","aol_cnt","dce_cnt","dea_cnt","dlx_cnt","fra_cnt","frh_cnt","fri_cnt","frm_cnt","frp_cnt","ftr_cnt","nfp_cnt","nle_cnt","ova_cnt","rli_cnt","tin_cnt","unf_cnt","appt_cnt","cns_cnt","cns_restored_cnt","elig_restored_cnt"
"ENVIRONMENTAL ENGINEER","Open Competitive","20618","7036","000",,,"2017-05-10T00:00:00.000","0","0","0","3","0","0","0","0","0","0","8","0","0","0","0","0","0","2","0","0","1"
"FIRE MARSHAL (UNIFORMED)","Promotional","70392","4502","057","FIRE DEPARTMENT",,"2014-08-06T00:00:00.000","0","8","0","12","0","0","0","0","0","0","0","0","11","0","0","0","0","25","0","0","3"
"FIRE PROTECTION INSPECTOR","Open Competitive","31661","5031","000",,,"2016-01-20T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"FIRE PROTECTION INSPECTOR","Open Competitive","31661","7023","000",,,"2018-03-07T00:00:00.000","0","0","0","36","0","0","0","40","27","0","0","0","0","0","0","0","0","64","2","0","4"
"FIREFIGHTER","Open Competitive","70310","7001","000",,,"2019-02-27T00:00:00.000","0","1","0","226","0","1","0","72","44","1","0","0","0","37","0","0","2","559","0","0","23"
"FIREFIGHTER","Promotional","70310","7501","057","FIRE DEPARTMENT",,"2017-10-11T00:00:00.000","0","0","0","16","0","0","0","0","6","0","0","0","4","0","0","0","0","34","0","0","12"
"FORESTER","Open Competitive","81361","8035","000",,,"2018-12-26T00:00:00.000","0","0","0","2","0","0","0","0","0","0","7","1","0","0","0","0","0","33","0","0","1"
"FRAUD INVESTIGATOR","Open Competitive","31113","6044","000",,,"2017-10-11T00:00:00.000","0","0","0","37","0","3","0","0","0","0","109","1","0","0","0","0","0","32","0","0","46"
"GENERAL SUPERINTENDENT (SANITATION)","Promotional","70196","5500","827","DEPARTMENT OF SANITATION",,"2015-05-06T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0"
"GENERAL SUPERINTENDENT (SANITATION)","Promotional","70196","9538","827","DEPARTMENT OF SANITATION",,"2019-11-27T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","27","1","0","0"
"HEALTH SERVICES MANAGER","Open Competitive","10069","6047","000",,,"2017-05-24T00:00:00.000","0","0","0","7","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","18"
"HEATING AND AIR CONDITIONING MAINTAINER","Open Competitive","90844","7616","000",,,"2018-08-29T00:00:00.000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1"
"HEATING AND AIR CONDITIONING MAINTAINER","Open Competitive","90844","9602","000",,,"2019-10-02T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0"
"HEATING PLANT TECHNICIAN (HOUSING AUTHORITY)","Open Competitive","91619","8072","000",,,"2019-07-17T00:00:00.000","0","0","0","1","0","1","0","0","0","0","7","0","0","0","0","0","0","10","2","0","0"
"HEATING PLANT TECHNICIAN (HOUSING AUTHORITY)","Promotional","91619","8553","996","N.Y.C. HOUSING AUTHORITY",,"2019-04-10T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","26","4","0","0"
"HOUSING EXTERMINATOR","Open Competitive","90511","8054","000",,,"2019-02-06T00:00:00.000","0","0","0","6","0","0","0","0","0","0","7","0","0","0","0","0","0","5","0","0","1"
"HOUSING MANAGER","Promotional","80210","8516","996","N.Y.C. HOUSING AUTHORITY",,"2018-12-05T00:00:00.000","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","92","23","15","4"
"INSPECTOR (HOUSING)","Open Competitive","31670","8011","000",,,"2019-03-13T00:00:00.000","0","0","0","3","0","0","0","0","0","0","32","0","0","0","0","0","0","69","0","0","0"
"INVESTIGATOR","Open Competitive","31105","6007","000",,,"2016-10-26T00:00:00.000","0","0","0","44","0","1","0","0","0","0","290","2","0","0","0","0","0","38","0","0","42"
"JOB OPPORTUNITY SPECIALIST","Open Competitive","52314","2347","000",,,"2014-12-31T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",,,,
"JOB OPPORTUNITY SPECIALIST","Open Competitive","52314","3347","000",,,"2015-12-09T00:00:00.000","0","0","0","3","0","0","0","0","0","0","18","0","0","0","0","0","0","1","0","0","15"
"JOB OPPORTUNITY SPECIALIST","Open Competitive","52314","3348","000",,,"2018-01-10T00:00:00.000","0","0","0","32","0","6","0","0","0","0","295","5","0","0","0","0","0","37","0","0","41"
"JOB OPPORTUNITY SPECIALIST","Open Competitive","52314","3349","000",,,"2019-05-29T00:00:00.000","0","0","0","47","0","16","0","0","0","0","430","51","0","0","0","0","0","37","0","0","26"
"JUVENILE COUNSELOR","Open Competitive","52295","6066","000",,,"2017-05-10T00:00:00.000","0","0","0","5","0","7","0","0","0","0","68","0","0","0","1","0","0","0","19","0","9"
"LANDSCAPE ARCHITECT","Open Competitive","21315","5035","000",,,"2015-05-06T00:00:00.000","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",,,,
"LANDSCAPE ARCHITECT","Promotional","21315","5533","826","DEPARTMENT OF ENVIRONMENTAL PROTECTION",,"2015-05-06T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",,,,
"LEAD ABATEMENT WORKER","Open Competitive","31311","5007","000",,,"2015-08-12T00:00:00.000","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","2","0","0","1"
"LIEUTENANT (FIRE)","Promotional","70360","5534","057","FIRE DEPARTMENT",,"2016-08-24T00:00:00.000","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","191","1","0","3"
"LIGHT MAINTAINER","Open Competitive","91725","7608","000",,,"2019-01-23T00:00:00.000","0","0","0","0","0","0","0","0","9","0","19","0","0","0","0","0","0","118","0","0","0"
"MAINTAINER'S HELPER-GROUP B","Open Competitive","90724","6604","000",,,"2018-01-31T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1"
"MAINTAINER'S HELPER-GROUP B","Open Competitive","90724","8602","000",,,"2019-07-24T00:00:00.000","0","0","0","1","0","0","0","0","0","0","33","0","0","0","0","0","0","26","0","0","0"
"MAINTAINER'S HELPER-GROUP B","Promotional","90724","8711","998","N.Y.C. TRANSIT AUTHORITY",,"2019-04-10T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0",,,,
"MAINTENANCE SUPERVISOR (CAR EQUIPMENT)","Promotional","91875","6718","998","N.Y.C. TRANSIT AUTHORITY",,"2018-09-12T00:00:00.000","0","0","0","3","0","0","0","0","0","0","8","0","0","0","0","0","0","11","1","0","0"
"MAINTENANCE SUPERVISOR (SIGNALS)","Promotional","91883","6717","998","N.Y.C. TRANSIT AUTHORITY",,"2018-01-03T00:00:00.000","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","23","5","0","0"
"MAINTENANCE SUPERVISOR (STRUCTURES-GROUP B-MASONRY)","Promotional","91887","8705","998","N.Y.C. TRANSIT AUTHORITY",,"2019-08-28T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","20","3","0","0"
"MAINTENANCE SUPERVISOR (STRUCTURES-GROUP C-IRON WORK)","Promotional","91888","8706","998","N.Y.C. TRANSIT AUTHORITY",,"2019-05-29T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","16","0","0","0"
"MAINTENANCE SUPERVISOR (STRUCTURES-GROUP C-IRON WORK)","Promotional","91888","9724","998","N.Y.C. TRANSIT AUTHORITY",,"2019-10-30T00:00:00.000","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","8","2","0","0"
"MAINTENANCE SUPERVISOR (STRUCTURES-GROUP D-SHEET METAL)","Promotional","91889","8707","998","N.Y.C. TRANSIT AUTHORITY",,"2019-07-31T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0"
"MAINTENANCE SUPERVISOR (SURFACE)","Open Competitive","91893","4604","000",,,"2016-06-15T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0"
"MAINTENANCE SUPERVISOR (SURFACE)","Open Competitive","91893","5605","000",,,"2019-05-22T00:00:00.000","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","2","0","0","1"
"MAINTENANCE SUPERVISOR (SURFACE)","Promotional","91893","5708","998","N.Y.C. TRANSIT AUTHORITY",,"2018-01-10T00:00:00.000","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","8","3","1","1"
"MAINTENANCE WORKER","Open Competitive","90698","6033","000",,,"2017-05-10T00:00:00.000","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","7","0","0","2"
"MAINTENANCE WORKER","Open Competitive","90698","8004","000",,,"2018-08-22T00:00:00.000","0","0","0","5","0","2","0","0","0","0","39","1","0","0","0","0","0","14","0","0","7"
"MANAGEMENT AUDITOR","Open Competitive","40502","6017","000",,,"2017-01-25T00:00:00.000","0","0","0","6","0","3","0","0","0","0","21","1","0","0","0","0","0","5","0","0","11"
"MANAGEMENT AUDITOR TRAINEE","Open Competitive","40501","4036","000",,,"2015-11-25T00:00:00.000","0","0","0","3","0","0","0","0","0","0","16","0","0","0","0","0","0","5","1","0","7"
"MARINE OILER (FERRY OPERATIONS)","Open Competitive","91547","8029","000",,,"2019-01-16T00:00:00.000","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","33","0","0","0"
"MARINER","Open Competitive","91501","5049","000",,,"2015-12-02T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,,,
"MASON'S HELPER","Open Competitive","92225","4064","000",,,"2015-12-23T00:00:00.000","0","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","0","3","0","0","0"
"MECHANICAL ENGINEER","Open Competitive","20415","7038","000",,,"2017-06-28T00:00:00.000","0","0","0","0","0","1","0","0","0","0","8","0","0","0","0","0","0","0","0","0","6"
"MOTOR VEHICLE OPERATOR","Open Competitive","91212","2324","000",,,"2015-12-02T00:00:00.000","0","0","0","12","0","0","0","0","0","0","87","6","0","0","0","0","0","3","0","0","22"
"MOTOR VEHICLE OPERATOR","Open Competitive","91212","3306","000",,,"2018-08-01T00:00:00.000","0","0","0","1","0","1","0","0","1","0","77","2","0","0","0","0","0","5","0","0","10"
"OILER","Open Competitive","91628","4010","000",,,"2015-11-18T00:00:00.000","0","0","0","8","0","0","0","0","0","0","54","1","0","0","0","0","0","15","0","0","15"
"PAINTER","Open Competitive","91830","4012","000",,,"2016-07-20T00:00:00.000","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"PARALEGAL AIDE","Open Competitive","30080","6001","000",,,"2016-08-10T00:00:00.000","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","2","0","0","2"
"PARALEGAL AIDE","Open Competitive","30080","7046","000",,,"2018-02-28T00:00:00.000","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","30","0","0","19"
"PARK SUPERVISOR","Promotional","81111","4516","846","DEPARTMENT OF PARKS & RECREATION",,"2015-01-28T00:00:00.000","0","0","0","1","0","0","0","0","0","0","3","0","2","0","0","0","0","5","1","0","2"
"PLASTERER","Open Competitive","92235","6024","000",,,"2017-02-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","7","0","0","0"
"PLUMBER","Open Competitive","91915","4056","000",,,"2016-03-02T00:00:00.000","0","0","0","3","0","1","0","0","0","0","7","0","0","0","1","0","0","2","0","0","4"
"PLUMBER","Open Competitive","91915","8022","000",,,"2019-06-26T00:00:00.000","0","1","0","12","0","2","0","0","0","0","34","1","0","0","0","0","0","10","0","0","4"
"PLUMBER","Promotional","91915","8546","846","DEPARTMENT OF PARKS & RECREATION",,"2019-06-05T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
"PLUMBER'S HELPER","Open Competitive","91916","4037","000",,,"2016-03-16T00:00:00.000","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1"
"POLICE ADMINISTRATIVE AIDE","Open Competitive","10144","4059","000",,,"2015-08-05T00:00:00.000","0","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","11"
"POLICE ADMINISTRATIVE AIDE","Open Competitive","10144","8069","000",,,"2019-03-06T00:00:00.000","0","0","0","57","0","8","0","0","0","0","316","0","0","0","0","0","0","145","0","0","25"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","4336","000",,,"2016-03-09T00:00:00.000","0","0","0","8","0","0","0","3","0","0","6","0","0","0","0","0","0","2","4","0","22"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","4337","000",,,"2016-09-14T00:00:00.000","0","0","0","3","0","1","0","2","0","0","3","0","0","0","0","0","0","0","2","0","5"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","5330","000",,,"2016-09-15T00:00:00.000","0","0","0","23","0","1","0","14","3","1","16","0","0","0","0","0","0","3","3","0","39"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","5331","000",,,"2016-09-28T00:00:00.000","0","0","0","22","0","0","0","19","1","2","6","0","0","0","0","0","0","3","4","0","33"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","6310","000",,,"2016-12-28T00:00:00.000","0","0","0","17","0","0","0","23","1","4","8","0","0","0","0","0","0","4","2","0","31"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","6321","000",,,"2017-02-01T00:00:00.000","0","0","0","35","0","0","0","38","0","2","12","0","0","0","0","0","0","7","1","0","43"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","7321","000",,,"2017-11-29T00:00:00.000","0","0","0","51","0","0","0","42","2","11","14","0","0","0","0","0","0","7","6","0","49"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","7325","000",,,"2018-07-18T00:00:00.000","0","0","0","46","0","0","0","58","2","2","10","0","0","0","0","0","0","11","2","0","45"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","8311","000",,,"2018-09-12T00:00:00.000","0","0","0","140","0","1","0","79","22","29","93","1","0","0","0","0","0","20","8","0","86"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","8331","000",,,"2018-10-17T00:00:00.000","0","0","0","325","0","1","0","136","26","17","497","23","0","0","0","0","0","91","9","0","74"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","9079","000",,,"2019-05-29T00:00:00.000","0","1","0","64","0","0","0","15","6","4","79","6","0","0","0","0","0","32","3","0","7"
"POLICE COMMUNICATIONS TECHNICIAN","Open Competitive","71012","9087","000",,,"2019-11-06T00:00:00.000","0","0","0","14","0","0","0","2","0","0","5","2","0","0","0","0","0","4","1","0","0"
"POLICE OFFICER","Open Competitive","70210","308","000",,,"2012-06-06T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"POLICE OFFICER","Open Competitive","70210","2053","000",,,"2015-06-17T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1"
"POLICE OFFICER","Open Competitive","70210","2326","000",,,"2014-07-02T00:00:00.000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",,,,
"POLICE OFFICER","Open Competitive","70210","2344","000",,,"2015-06-19T00:00:00.000","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","5"
"POLICE OFFICER","Open Competitive","70210","3048","000",,,"2015-12-11T00:00:00.000","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","4","1","0","0"
"POLICE OFFICER","Open Competitive","70210","3068","000",,,"2015-12-18T00:00:00.000","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","5","0","0","3"
"POLICE OFFICER","Open Competitive","70210","3308","000",,,"2015-06-22T00:00:00.000","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","1"
"POLICE OFFICER","Open Competitive","70210","3309","000",,,"2015-06-23T00:00:00.000","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"POLICE OFFICER","Open Competitive","70210","3311","000",,,"2015-06-29T00:00:00.000","0","0","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","2","0","0","2"
"POLICE OFFICER","Open Competitive","70210","3312","000",,,"2015-09-23T00:00:00.000","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0",,,,
"POLICE OFFICER","Open Competitive","70210","3313","000",,,"2015-09-24T00:00:00.000","0","0","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","0","0"
"POLICE OFFICER","Open Competitive","70210","3314","000",,,"2015-12-09T00:00:00.000","0","0","0","6","0","0","0","1","0","0","1","0","0","0","0","0","0","6","0","0","3"
"POLICE OFFICER","Open Competitive","70210","3315","000",,,"2015-12-10T00:00:00.000","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0"
"POLICE OFFICER","Open Competitive","70210","3316","000",,,"2015-12-14T00:00:00.000","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","6","0","0","1"
"POLICE OFFICER","Open Competitive","70210","3317","000",,,"2015-12-16T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"POLICE OFFICER","Open Competitive","70210","3318","000",,,"2015-12-17T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","3"
"POLICE OFFICER","Open Competitive","70210","3319","000",,,"2015-12-21T00:00:00.000","0","0","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","0","2"
"POLICE OFFICER","Open Competitive","70210","4300","000",,,"2015-12-22T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","6"
"POLICE OFFICER","Open Competitive","70210","4306","000",,,"2015-12-23T00:00:00.000","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1"
"POLICE OFFICER","Open Competitive","70210","4310","000",,,"2015-12-28T00:00:00.000","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","7","0","0","5"
"POLICE OFFICER","Open Competitive","70210","4312","000",,,"2016-06-22T00:00:00.000","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","3"
"POLICE OFFICER","Open Competitive","70210","4316","000",,,"2016-08-24T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2"
"POLICE OFFICER","Open Competitive","70210","4320","000",,,"2016-08-25T00:00:00.000","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","2"
"POLICE OFFICER","Open Competitive","70210","4323","000",,,"2016-08-26T00:00:00.000","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","4","1","0","1"
"POLICE OFFICER","Open Competitive","70210","4324","000",,,"2016-09-14T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","5"
"POLICE OFFICER","Open Competitive","70210","4328","000",,,"2016-11-23T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","3"
"POLICE OFFICER","Open Competitive","70210","4329","000",,,"2016-11-25T00:00:00.000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","1"
"POLICE OFFICER","Open Competitive","70210","4332","000",,,"2016-12-21T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","6"
"POLICE OFFICER","Open Competitive","70210","5300","000",,,"2017-03-01T00:00:00.000","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","3"
"POLICE OFFICER","Open Competitive","70210","5305","000",,,"2017-03-02T00:00:00.000","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","3"
"POLICE OFFICER","Open Competitive","70210","5306","000",,,"2017-03-03T00:00:00.000","0","0","0","6","0","0","0","0","1","1","0","0","0","0","0","0","0","8","0","0","3"
"POLICE OFFICER","Open Competitive","70210","5310","000",,,"2017-03-06T00:00:00.000","0","0","0","4","0","0","0","3","0","0","0","0","0","0","0","0","0","7","0","0","2"
"POLICE OFFICER","Open Competitive","70210","5311","000",,,"2017-04-12T00:00:00.000","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","3"
"POLICE OFFICER","Open Competitive","70210","5314","000",,,"2017-06-28T00:00:00.000","0","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","9","0","0","2"
"POLICE OFFICER","Open Competitive","70210","5317","000",,,"2017-06-29T00:00:00.000","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","4"
"POLICE OFFICER","Open Competitive","70210","5320","000",,,"2017-06-30T00:00:00.000","0","0","0","6","0","0","1","1","1","0","0","0","0","0","0","0","0","3","0","0","3"
"POLICE OFFICER","Open Competitive","70210","5321","000",,,"2017-07-03T00:00:00.000","0","0","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","4","0","0","7"
"POLICE OFFICER","Open Competitive","70210","5325","000",,,"2017-07-05T00:00:00.000","0","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","9","0","0","8"
"POLICE OFFICER","Open Competitive","70210","5326","000",,,"2017-07-06T00:00:00.000","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","9","0","0","1"
"POLICE OFFICER","Open Competitive","70210","5329","000",,,"2017-07-07T00:00:00.000","0","0","0","18","0","0","0","3","1","1","0","0","0","0","0","0","0","18","0","0","3"
"POLICE OFFICER","Promotional","70210","5503","056","POLICE DEPARTMENT",,"2015-11-25T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","0","0","0"
"POLICE OFFICER","Promotional","70210","6502","056","POLICE DEPARTMENT",,"2016-06-22T00:00:00.000","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","7","0","0","1"
"POLICE OFFICER","Promotional","70210","6525","056","POLICE DEPARTMENT",,"2016-12-07T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","1"
"POLICE OFFICER","Open Competitive","70210","7323","000",,,"2017-12-13T00:00:00.000","0","0","0","767","0","0","2","110","173","159","2","0","0","2","0","0","0","753","3","0","54"
"POLICE OFFICER","Open Competitive","70210","7326","000",,,"2019-03-06T00:00:00.000","0","0","0","1231","0","0","0","43","0","40","0","0","2","1","0","0","0","399","0","0","1"
"POLICE OFFICER","Promotional","70210","7502","056","POLICE DEPARTMENT",,"2017-07-26T00:00:00.000","0","0","0","4","0","0","0","0","1","0","0","0","3","0","0","0","0","20","0","0","2"
"POLICE OFFICER","Promotional","70210","7503","056","POLICE DEPARTMENT",,"2017-08-30T00:00:00.000","0","0","0","13","0","0","0","0","0","0","0","0","6","0","0","0","0","48","0","0","2"
"POLICE OFFICER","Open Competitive","70210","8050","000",,,"2011-03-24T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
"POLICE OFFICER","Open Competitive","70210","8051","000",,,"2011-12-14T00:00:00.000","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"POLICE OFFICER","Open Competitive","70210","8339","000",,,"2019-08-28T00:00:00.000","0","0","0","216","0","0","0","0","0","0","0","0","1","0","0","0","0","17","0","0","0"
"POLICE OFFICER","Promotional","70210","8503","056","POLICE DEPARTMENT",,"2018-08-01T00:00:00.000","0","0","0","10","0","0","0","0","2","0","0","0","0","1","0","0","0","29","0","0","0"
"POLICE OFFICER","Promotional","70210","8521","056","POLICE DEPARTMENT",,"2019-01-16T00:00:00.000","0","0","0","148","0","0","0","3","0","4","0","0","1","0","0","0","0","155","1","0","1"
"POLICE OFFICER","Promotional","70210","9503","056","POLICE DEPARTMENT",,"2019-06-05T00:00:00.000","0","0","0","145","0","0","0","1","1","0","0","0","1","0","0","0","0","114","0","0","0"
"POWER DISTRIBUTION MAINTAINER","Open Competitive","91737","8608","000",,,"2019-08-28T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0"
"POWER DISTRIBUTION MAINTAINER","Promotional","91737","8716","998","N.Y.C. TRANSIT AUTHORITY",,"2019-07-03T00:00:00.000","0","0","0","5","0","0","0","0","0","0","3","0","3","0","0","0","0","76","2","0","0"
"POWER MAINTAINER, GROUP B","Promotional","91738","8701","998","N.Y.C. TRANSIT AUTHORITY",,"2019-04-03T00:00:00.000","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Open Competitive","10124","5039","000",,,"2017-07-19T00:00:00.000","0","0","0","140","0","8","0","0","0","0","1145","6","0","0","4","0","0","130","0","0","127"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","056","POLICE DEPARTMENT",,"2017-02-22T00:00:00.000","0","1","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","32","2","0","2"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","057","FIRE DEPARTMENT",,"2017-02-22T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",,,,
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","069","HRA/DEPARTMENT OF SOCIAL SERVICES",,"2017-02-22T00:00:00.000","0","0","0","24","0","3","0","0","0","0","19","0","21","0","0","0","0","123","28","20","23"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","072","DEPARTMENT OF CORRECTION",,"2017-02-22T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","806","HOUSING PRESERVATION & DEVELOPMENT",,"2017-02-22T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","810","DEPARTMENT OF BUILDINGS",,"2017-02-22T00:00:00.000","0","0","0","4","0","0","0","0","0","0","8","0","6","0","0","0","0","17","4","2","7"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","826","DEPARTMENT OF ENVIRONMENTAL PROTECTION",,"2017-02-22T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0"
"PRINCIPAL ADMINISTRATIVE ASSOCIATE","Promotional","10124","5537","996","N.Y.C. HOUSING AUTHORITY",,"2017-02-22T00:00:00.000","0","0","0","1","0","0","0","0","0","0","6","0","1","0","0","0","0","17","3","2","0"
"PROBATION OFFICER","Open Competitive","51810","6029","000",,,"2016-09-14T00:00:00.000","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","5"
"PROBATION OFFICER","Open Competitive","51810","8001","000",,,"2018-06-06T00:00:00.000","0","0","0","2","0","0","0","0","0","0","11","0","0","0","0","0","0","13","0","0","13"
"PROBATION OFFICER","Open Competitive","51810","8065","000",,,"2018-10-24T00:00:00.000","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","48","2","1","24"
